ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1965,1965-09-19,1,22.166,NYG,@,DAL,L 2-31,0,0,,0,0,0,,0,0,0,0,0,0,2,101,50.50,0
2,1965,1965-09-26,2,22.173,NYG,@,PHI,W 16-14,0,0,,0,2,-6,-3.00,0,0,0,0,0,0,4,166,41.50,0
3,1965,1965-10-03,3,22.180,NYG,@,PIT,W 23-13,0,0,,0,0,0,,0,0,0,1,17,0,0,0,,0
4,1965,1965-10-17,5,22.194,NYG,,PHI,W 35-27,0,0,,0,0,0,,0,0,0,1,25,0,0,0,,0
5,1965,1965-10-31,7,22.208,NYG,,STL,W 14-10,0,0,,0,0,0,,0,0,0,1,39,0,0,0,,0
6,1965,1965-12-05,12,22.243,NYG,,PIT,W 35-10,0,0,,0,0,0,,0,0,0,1,36,0,0,0,,0
7,1966,1966-09-25,3,23.172,NYG,@,PHI,L 17-35,0,0,,0,1,3,3.00,0,0,0,0,0,0,0,0,,0
8,1966,1966-10-09,5,23.186,NYG,@,STL,L 19-24,0,0,,0,3,18,6.00,0,0,0,1,0,0,0,0,,0
9,1966,1966-10-16,6,23.193,NYG,,WAS,W 13-10,0,0,,0,2,33,16.50,0,0,0,0,0,0,0,0,,0
10,1966,1966-10-23,7,23.200,NYG,,PHI,L 3-31,0,0,,0,1,4,4.00,0,0,0,0,0,0,0,0,,0
11,1966,1966-11-06,8,23.214,NYG,,STL,L 17-20,0,0,,0,2,2,1.00,0,0,0,0,0,0,0,0,,0
12,1966,1966-11-20,10,23.228,NYG,,ATL,L 16-27,0,0,,0,1,5,5.00,0,0,0,0,0,0,0,0,,0
13,1966,1966-11-27,11,23.235,NYG,@,WAS,L 41-72,0,0,,0,2,24,12.00,0,0,0,1,0,0,0,0,,0
14,1966,1966-12-04,12,23.242,NYG,@,CLE,L 40-49,0,0,,0,0,0,,0,0,0,3,14,0,0,0,,0
15,1966,1966-12-11,13,23.249,NYG,,PIT,L 28-47,0,0,,0,4,21,5.25,0,0,0,1,6,0,4,131,32.75,0
16,1966,1966-12-18,14,23.256,NYG,,DAL,L 7-17,0,0,,0,1,3,3.00,0,0,0,0,0,0,0,0,,0
17,1967,1967-09-24,2,24.171,NYG,@,DAL,L 24-38,0,0,,0,1,7,7.00,0,0,0,0,0,0,0,0,,0
18,1967,1967-10-01,3,24.178,NYG,@,WAS,L 34-38,0,0,,0,2,15,7.50,0,0,0,1,0,0,0,0,,0
19,1967,1967-10-08,4,24.185,NYG,,NOR,W 27-21,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
20,1967,1967-10-15,5,24.192,NYG,@,PIT,W 27-24,0,0,,0,3,34,11.33,0,0,0,0,0,0,0,0,,0
21,1967,1967-11-05,8,24.213,NYG,@,MIN,L 24-27,0,0,,0,1,-2,-2.00,0,0,0,2,10,0,0,0,,0
22,1967,1967-12-17,14,24.255,NYG,,STL,W 37-14,0,0,,0,0,0,,0,0,0,1,28,0,0,0,,0
23,1968,1968-09-22,2,25.169,NYG,@,PHI,W 34-25,0,0,,0,1,2,2.00,0,1,6,2,83,1,0,0,,0
24,1968,1968-09-29,3,25.176,NYG,,WAS,W 48-21,0,0,,0,2,22,11.00,0,1,6,2,47,1,0,0,,0
25,1968,1968-10-06,4,25.183,NYG,,NOR,W 38-21,0,0,,0,2,28,14.00,0,0,0,1,0,0,0,0,,0
26,1968,1968-10-13,5,25.190,NYG,@,ATL,L 21-24,0,0,,0,1,-1,-1.00,0,0,0,0,0,0,0,0,,0
27,1968,1968-10-20,6,25.197,NYG,,SFO,L 10-26,0,0,,0,0,0,,0,0,0,0,0,0,3,110,36.67,0
28,1968,1968-10-27,7,25.204,NYG,@,WAS,W 13-10,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
29,1968,1968-11-10,9,25.218,NYG,@,DAL,W 27-21,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
30,1968,1968-11-17,10,25.225,NYG,,PHI,W 7-6,0,0,,0,2,12,6.00,0,0,0,1,0,0,0,0,,0
31,1968,1968-12-01,12,25.239,NYG,@,CLE,L 10-45,0,0,,0,2,4,2.00,0,0,0,0,0,0,0,0,,0
32,1968,1968-12-08,13,25.246,NYG,,STL,L 21-28,0,0,,0,1,2,2.00,0,0,0,0,0,0,0,0,,0
33,1968,1968-12-15,14,25.253,NYG,,DAL,L 10-28,0,0,,0,1,0,0.00,0,0,0,1,0,0,0,0,,0
34,1969,1969-09-21,1,26.168,NYG,,MIN,W 24-23,0,0,,0,1,2,2.00,0,0,0,0,0,0,0,0,,0
35,1969,1969-09-28,2,26.175,NYG,@,DET,L 0-24,0,0,,0,1,7,7.00,0,0,0,0,0,0,0,0,,0
36,1969,1969-10-05,3,26.182,NYG,,CHI,W 28-24,1,19,19.00,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
37,1969,1969-10-12,4,26.189,NYG,,PIT,W 10-7,0,0,,0,1,-1,-1.00,0,0,0,1,0,0,0,0,,0
38,1969,1969-11-30,11,26.238,NYG,@,GNB,L 10-20,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
39,1969,1969-12-07,12,26.245,NYG,,STL,W 49-6,0,0,,0,4,18,4.50,0,0,0,0,0,0,0,0,,0
40,1969,1969-12-14,13,26.252,NYG,@,PIT,W 21-17,0,0,,0,1,3,3.00,0,0,0,0,0,0,0,0,,0
41,1969,1969-12-21,14,26.259,NYG,,CLE,W 27-14,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
42,1970,1970-09-19,1,27.166,NYG,,CHI,L 16-24,0,0,,0,0,0,,0,0,0,1,18,0,0,0,,0
43,1970,1970-09-27,2,27.174,NYG,@,DAL,L 10-28,0,0,,0,1,0,0.00,0,0,0,1,25,0,0,0,,0
44,1970,1970-10-04,3,27.181,NYG,@,NOR,L 10-14,0,0,,0,1,10,10.00,0,0,0,1,3,0,0,0,,0
45,1970,1970-10-11,4,27.188,NYG,,PHI,W 30-23,0,0,,0,0,0,,0,0,0,1,5,0,0,0,,0
46,1970,1970-10-25,6,27.202,NYG,,STL,W 35-17,0,0,,0,1,6,6.00,0,0,0,0,0,0,0,0,,0
47,1970,1970-11-08,8,27.216,NYG,,DAL,W 23-20,0,0,,0,3,13,4.33,0,0,0,0,0,0,0,0,,0
48,1970,1970-11-29,11,27.237,NYG,@,WAS,W 27-24,0,0,,0,1,4,4.00,0,0,0,0,0,0,0,0,,0
49,1970,1970-12-13,13,27.251,NYG,@,STL,W 34-17,0,0,,0,1,2,2.00,0,0,0,0,0,0,0,0,,0
50,1970,1970-12-20,14,27.258,NYG,,RAM,L 3-31,0,0,,0,1,-4,-4.00,0,0,0,0,0,0,0,0,,0
51,1971,1971-10-03,3,28.180,NYG,@,STL,W 21-20,0,0,,0,1,15,15.00,0,0,0,0,0,0,0,0,,0
52,1971,1971-10-11,4,28.188,NYG,@,DAL,L 13-20,0,0,,0,0,0,,0,0,0,1,17,0,0,0,,0
53,1971,1971-10-24,6,28.201,NYG,@,PHI,L 7-23,0,0,,0,1,0,0.00,0,0,0,1,12,0,0,0,,0
54,1971,1971-10-31,7,28.208,NYG,,MIN,L 10-17,0,0,,0,1,8,8.00,0,0,0,0,0,0,0,0,,0
55,1971,1971-11-07,8,28.215,NYG,,SDG,W 35-17,0,0,,0,1,1,1.00,0,0,0,1,31,0,0,0,,0
56,1972,1972-10-02,3,29.179,NYG,@,PHI,W 27-12,0,0,,0,0,0,,0,0,0,1,15,0,0,0,,0
57,1972,1972-10-08,4,29.185,NYG,,NOR,W 45-21,0,0,,0,0,0,,0,0,0,1,12,0,0,0,,0
58,1972,1972-10-22,6,29.199,NYG,,STL,W 27-21,0,0,,0,0,0,,0,1,6,1,29,1,0,0,,0
