ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,24.113,ATL,@,PIT,L 9-15,,,,,,,,,,,,,,,
2,2010,2010-09-19,2,24.120,ATL,,ARI,W 41-7,,,,,,,,,,,,,,,
3,2010,2010-09-26,3,24.127,ATL,@,NOR,W 27-24,,0,0,,0,0,0,,0,0,,,0.0,0,0
4,2010,2010-10-03,4,24.134,ATL,,SFO,W 16-14,,,,,,,,,,,,,,,
5,2010,2010-10-10,5,24.141,ATL,@,CLE,W 20-10,,,,,,,,,,,,,,,
6,2010,2010-10-17,6,24.148,ATL,@,PHI,L 17-31,,0,0,,0,0,0,,0,0,,,0.0,0,0
7,2010,2010-10-24,7,24.155,ATL,,CIN,W 39-32,,0,0,,0,0,0,,0,0,,,0.0,0,2
8,2010,2010-11-07,8,24.169,ATL,,TAM,W 27-21,,0,0,,0,0,0,,0,0,,,0.0,0,0
9,2010,2010-11-11,9,24.173,ATL,,BAL,W 26-21,,,,,,,,,,,,,,,
10,2010,2010-11-21,10,24.183,ATL,@,STL,W 34-17,,0,0,,0,0,0,,0,0,,,0.0,0,0
11,2010,2010-11-28,11,24.190,ATL,,GNB,W 20-17,,,,,,,,,,,,,,,
12,2010,2010-12-05,12,24.197,ATL,@,TAM,W 28-24,,,,,,,,,,,,,,,
13,2010,2010-12-12,13,24.204,ATL,@,CAR,W 31-10,,0,0,,0,0,0,,0,0,,,0.0,0,0
14,2010,2010-12-19,14,24.211,ATL,@,SEA,W 34-18,,,,,,,,,,,,,,,
15,2010,2010-12-27,15,24.219,ATL,,NOR,L 14-17,,,,,,,,,,,,,,,
16,2011,2011-09-11,1,25.112,ATL,@,CHI,L 12-30,,0,0,,0,0,0,,0,0,,,0.0,0,0
17,2011,2011-09-18,2,25.119,ATL,,PHI,W 35-31,,0,0,,0,0,0,,0,0,,,0.0,0,0
18,2011,2011-09-25,3,25.126,ATL,@,TAM,L 13-16,,0,0,,0,0,0,,0,0,,,0.0,0,0
19,2011,2011-10-02,4,25.133,ATL,@,SEA,W 30-28,,0,0,,0,0,0,,0,0,,,0.0,0,0
20,2011,2011-10-09,5,25.140,ATL,,GNB,L 14-25,,,,,,,,,,,,,,,
21,2011,2011-10-16,6,25.147,ATL,,CAR,W 31-17,,0,0,,0,0,0,,0,0,,,0.0,0,2
22,2011,2011-10-23,7,25.154,ATL,@,DET,W 23-16,,0,0,,0,0,0,,0,0,,,0.0,0,0
23,2011,2011-11-06,8,25.168,ATL,@,IND,W 31-7,,0,0,,0,0,0,,0,0,,,0.0,0,0
24,2011,2011-11-13,9,25.175,ATL,,NOR,L 23-26,,,,,,,,,,,,,,,
25,2011,2011-11-20,10,25.182,ATL,,TEN,W 23-17,,,,,,,,,,,,,,,
26,2011,2011-11-27,11,25.189,ATL,,MIN,W 24-14,,,,,,,,,,,,,,,
27,2011,2011-12-04,12,25.196,ATL,@,HOU,L 10-17,,,,,,,,,,,,,,,
28,2011,2011-12-11,13,25.203,ATL,@,CAR,W 31-23,,0,0,,0,0,0,,0,0,,,0.0,0,1
29,2011,2011-12-15,14,25.207,ATL,,JAX,W 41-14,,0,0,,0,0,0,,0,0,,,0.0,0,1
30,2011,2011-12-26,15,25.218,ATL,@,NOR,L 16-45,,,,,,,,,,,,,,,
31,2011,2012-01-01,16,25.224,ATL,,TAM,W 45-24,,,,,,,,,,,,,,,
32,2013,2013-09-08,1,27.109,ATL,@,NOR,L 17-23,,,,,,,,,,,,,,,
33,2013,2013-09-15,2,27.116,ATL,,STL,W 31-24,,,,,,,,,,,,,,,
34,2013,2013-09-22,3,27.123,ATL,@,MIA,L 23-27,,,,,,,,,,,,,,,
35,2013,2013-09-29,4,27.130,ATL,,NWE,L 23-30,,,,,,,,,,,,,,,
36,2013,2013-10-07,5,27.138,ATL,,NYJ,L 28-30,,1,1,100.00,-8,0,0,79.2,0,0,-8.00,-8.00,0.0,0,0
37,2013,2013-12-01,12,27.193,TEN,@,IND,L 14-22,,,,,,,,,,,,,,,
