ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2014,2014-10-05,5,23.329,DET,,BUF,L 14-17,,11,48,4.36,0,0,0,,0,0.0,1,0
2,2014,2014-10-12,6,23.336,DET,@,MIN,W 17-3,,5,16,3.20,0,0,0,,0,0.0,1,0
3,2014,2014-10-19,7,23.343,DET,,NOR,W 24-23,,,,,,,,,,,,
4,2014,2014-10-26,8,23.350,DET,@,ATL,W 22-21,,1,2,2.00,0,0,0,,0,0.0,0,0
5,2014,2014-11-09,9,23.364,DET,,MIA,W 20-16,,,,,,,,,,,,
6,2014,2014-11-16,10,24.006,DET,@,ARI,L 6-14,,,,,,,,,,,,
7,2014,2014-11-23,11,24.013,DET,@,NWE,L 9-34,,,,,,,,,,,,
8,2014,2014-11-27,12,24.017,DET,,CHI,W 34-17,,,,,,,,,,,,
9,2014,2014-12-07,13,24.027,DET,,TAM,W 34-17,,1,2,2.00,0,0,0,,0,0.0,1,0
10,2014,2014-12-14,14,24.034,DET,,MIN,W 16-14,,,,,,,,,,,,
11,2014,2014-12-21,15,24.041,DET,@,CHI,W 20-14,,1,5,5.00,0,2,28,14.00,0,0.0,0,0
12,2014,2014-12-28,16,24.048,DET,@,GNB,L 20-30,,,,,,,,,,,,
13,2015,2015-10-25,7,24.349,DET,,MIN,L 19-28,,1,0,0.00,0,0,0,,0,0.0,0,0
14,2015,2015-11-01,8,24.356,DET,@,KAN,L 10-45,,0,0,,0,0,0,,0,0.0,0,0
15,2015,2015-11-15,9,25.005,DET,@,GNB,W 18-16,,0,0,,0,0,0,,0,0.0,0,0
16,2015,2015-11-22,10,25.012,DET,,OAK,W 18-13,,0,0,,0,0,0,,0,0.0,0,0
17,2015,2015-11-26,11,25.016,DET,,PHI,W 45-14,,3,1,0.33,0,0,0,,0,0.0,0,0
18,2015,2015-12-03,12,25.023,DET,,GNB,L 23-27,,0,0,,0,0,0,,0,0.0,0,0
19,2015,2015-12-13,13,25.033,DET,@,STL,L 14-21,,0,0,,0,0,0,,0,0.0,0,0
