ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2000,2000-09-03,1,23.360,KAN,,IND,L 14-27,,3,15,5.00,0,0,0
2,2000,2000-09-10,2,24.001,KAN,@,TEN,L 14-17,,7,4,0.57,0,0,0
3,2000,2000-09-17,3,24.008,KAN,,SDG,W 42-10,,18,58,3.22,1,1,6
4,2000,2000-09-24,4,24.015,KAN,@,DEN,W 23-22,,6,8,1.33,0,0,0
5,2000,2000-10-02,5,24.023,KAN,,SEA,W 24-17,,,,,,,
6,2000,2000-10-15,6,24.036,KAN,,OAK,L 17-20,,7,18,2.57,0,0,0
7,2000,2000-10-22,7,24.043,KAN,,STL,W 54-34,,4,6,1.50,1,1,6
8,2000,2000-10-29,8,24.050,KAN,@,SEA,W 24-19,,3,4,1.33,0,0,0
9,2000,2000-12-10,14,24.092,KAN,,CAR,W 15-14,,3,3,1.00,0,0,0
10,2000,2000-12-17,15,24.099,KAN,,DEN,W 20-7,,14,59,4.21,1,1,6
11,2000,2000-12-24,16,24.106,KAN,@,ATL,L 13-29,,2,4,2.00,1,1,6
12,2001,2001-10-28,6,25.049,JAX,@,BAL,L 17-18,,2,6,3.00,0,0,0
13,2001,2001-11-04,7,25.056,JAX,@,TEN,L 24-28,,4,20,5.00,1,1,6
14,2001,2001-11-11,8,25.063,JAX,,CIN,W 30-13,*,2,1,0.50,0,0,0
