ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2010-09-12,1,21.060,OAK,@,TEN,L 13-38,*,,0,0,0.0,4,2,0,0,0
2,2010,2010-09-19,2,21.067,OAK,,STL,W 16-14,*,,0,0,0.0,3,3,0,0,0
3,2010,2010-09-26,3,21.074,OAK,@,ARI,L 23-24,*,,0,0,0.0,4,2,0,0,0
4,2010,2010-10-03,4,21.081,OAK,,HOU,L 24-31,*,,0,0,0.0,4,2,0,0,0
5,2010,2010-10-10,5,21.088,OAK,,SDG,W 35-27,*,,0,0,0.0,5,2,0,0,0
6,2010,2010-10-17,6,21.095,OAK,@,SFO,L 9-17,*,,0,0,0.0,1,1,0,0,0
7,2010,2010-10-24,7,21.102,OAK,@,DEN,W 59-14,*,,0,0,0.5,1,1,0,0,0
8,2010,2010-10-31,8,21.109,OAK,,SEA,W 33-3,*,,0,0,0.0,3,2,0,0,0
9,2010,2010-11-07,9,21.116,OAK,,KAN,W 23-20,*,,0,0,0.0,1,1,0,0,0
10,2010,2010-11-21,10,21.130,OAK,@,PIT,L 3-35,*,,0,0,0.0,4,3,0,0,0
11,2010,2010-11-28,11,21.137,OAK,,MIA,L 17-33,*,,0,0,0.0,7,1,1,10,0
12,2010,2010-12-05,12,21.144,OAK,@,SDG,W 28-13,*,,0,0,0.0,7,0,0,0,0
13,2010,2010-12-19,14,21.158,OAK,,DEN,W 39-23,*,,0,0,0.0,4,3,0,0,0
14,2010,2010-12-26,15,21.165,OAK,,IND,L 26-31,*,,0,0,0.0,3,2,0,0,0
15,2010,2011-01-02,16,21.172,OAK,@,KAN,W 31-10,*,,0,0,0.0,8,1,0,0,0
16,2011,2011-09-12,1,22.060,OAK,@,DEN,W 23-20,*,,0,0,0.0,0,1,0,0,0
17,2011,2011-09-18,2,22.066,OAK,@,BUF,L 35-38,*,,0,0,1.0,7,3,0,0,0
18,2011,2011-09-25,3,22.073,OAK,,NYJ,W 34-24,*,,0,0,0.0,7,5,0,0,0
19,2011,2011-10-02,4,22.080,OAK,,NWE,L 19-31,*,,0,0,0.0,5,2,0,0,0
20,2011,2011-10-09,5,22.087,OAK,@,HOU,W 25-20,*,,0,0,0.0,4,0,0,0,0
21,2011,2011-10-16,6,22.094,OAK,,CLE,W 24-17,*,,0,0,0.0,8,0,0,0,0
22,2011,2011-10-23,7,22.101,OAK,,KAN,L 0-28,*,,0,0,0.0,1,1,0,0,0
23,2011,2011-11-10,9,22.119,OAK,@,SDG,W 24-17,*,,0,0,0.0,3,2,0,0,0
24,2011,2011-11-20,10,22.129,OAK,@,MIN,W 27-21,*,,0,0,0.0,2,1,0,0,0
25,2011,2011-11-27,11,22.136,OAK,,CHI,W 25-20,*,,0,0,1.0,5,1,0,0,0
26,2011,2011-12-04,12,22.143,OAK,@,MIA,L 14-34,,,0,0,0.0,7,1,0,0,0
27,2011,2011-12-11,13,22.150,OAK,@,GNB,L 16-46,*,1,0,2,2.0,7,0,0,0,0
28,2011,2011-12-18,14,22.157,OAK,,DET,L 27-28,*,,0,0,1.0,7,2,0,0,0
29,2011,2011-12-24,15,22.163,OAK,@,KAN,W 16-13,*,,0,0,0.0,7,1,0,0,0
30,2011,2012-01-01,16,22.171,OAK,,SDG,L 26-38,*,,0,0,0.0,9,1,0,0,0
31,2012,2012-09-10,1,23.058,OAK,,SDG,L 14-22,*,,0,0,0.0,4,1,0,0,0
32,2012,2012-09-16,2,23.064,OAK,@,MIA,L 13-35,*,,0,0,0.0,2,0,0,0,0
33,2012,2012-09-23,3,23.071,OAK,,PIT,W 34-31,*,,0,0,0.0,3,6,0,0,0
34,2012,2012-09-30,4,23.078,OAK,@,DEN,L 6-37,*,,0,0,0.0,6,2,0,0,0
35,2012,2012-10-14,5,23.092,OAK,@,ATL,L 20-23,*,,0,0,0.0,2,1,0,0,0
36,2012,2012-10-21,6,23.099,OAK,,JAX,W 26-23,*,,0,0,0.0,4,1,0,0,0
37,2012,2012-10-28,7,23.106,OAK,@,KAN,W 26-16,,,0,0,1.0,4,0,0,0,0
38,2012,2012-11-04,8,23.113,OAK,,TAM,L 32-42,,,0,0,0.0,5,1,0,0,0
39,2012,2012-11-11,9,23.120,OAK,@,BAL,L 20-55,*,,0,0,0.0,2,0,0,0,0
40,2012,2012-11-18,10,23.127,OAK,,NOR,L 17-38,*,,0,0,0.0,3,7,0,0,0
41,2012,2012-11-25,11,23.134,OAK,@,CIN,L 10-34,*,,0,0,0.0,2,4,0,0,0
42,2014,2014-09-07,1,25.055,DAL,,SFO,L 17-28,*,,0,0,0.0,7,1,0,0,0
