ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2016,2016-09-11,1,22.067,CLE,@,PHI,L 10-29,*,5,2,69,34.50,0,40.0%,13.80,0,0,,0,0,0
2,2016,2016-09-18,2,22.074,CLE,,BAL,L 20-25,*,8,5,104,20.80,2,62.5%,13.00,0,0,,0,2,12
3,2016,2016-11-06,9,22.123,CLE,,DAL,L 10-35,*,7,3,41,13.67,0,42.9%,5.86,0,0,,0,0,0
4,2016,2016-11-10,10,22.127,CLE,@,BAL,L 7-28,*,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0
5,2016,2016-11-20,11,22.137,CLE,,PIT,L 9-24,*,12,4,39,9.75,0,33.3%,3.25,0,0,,0,0,0
6,2016,2016-11-27,12,22.144,CLE,,NYG,L 13-27,*,7,3,38,12.67,1,42.9%,5.43,0,0,,0,1,6
7,2016,2016-12-11,13,22.158,CLE,,CIN,L 10-23,*,11,3,26,8.67,0,27.3%,2.36,1,1,1.00,0,0,0
8,2016,2016-12-18,14,22.165,CLE,@,BUF,L 13-33,*,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0
9,2016,2016-12-24,15,22.171,CLE,,SDG,W 20-17,*,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0
10,2016,2017-01-01,16,22.179,CLE,@,PIT,L 24-27,*,9,5,40,8.00,0,55.6%,4.44,1,9,9.00,0,0,0
11,2017,2017-09-10,1,23.066,CLE,,PIT,L 18-21,*,6,5,53,10.60,1,83.3%,8.83,0,0,,0,1,6
12,2017,2017-09-17,2,23.073,CLE,@,BAL,L 10-24,*,7,1,9,9.00,0,14.3%,1.29,0,0,,0,0,0
13,2017,2017-11-19,10,23.136,CLE,,JAX,L 7-19,*,11,6,80,13.33,0,54.5%,7.27,0,0,,0,0,0
14,2017,2017-11-26,11,23.143,CLE,@,CIN,L 16-30,*,8,3,64,21.33,0,37.5%,8.00,0,0,,0,0,0
15,2017,2017-12-03,12,23.150,CLE,@,LAC,L 10-19,*,4,0,0,,0,0.0%,0.00,0,0,,0,0,0
16,2017,2017-12-10,13,23.157,CLE,,GNB,L 21-27,*,6,5,62,12.40,1,83.3%,10.33,0,0,,0,1,6
17,2017,2017-12-17,14,23.164,CLE,,BAL,L 10-27,,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0
18,2017,2017-12-24,15,23.171,CLE,@,CHI,L 3-20,*,6,1,3,3.00,0,16.7%,0.50,0,0,,0,0,0
19,2017,2017-12-31,16,23.178,CLE,@,PIT,L 24-28,*,6,1,18,18.00,0,16.7%,3.00,0,0,,0,0,0
