ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2007,2007-09-09,1,24.099,BUF,,DEN,L 14-15,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
2,2007,2007-09-16,2,24.106,BUF,@,PIT,L 3-26,,,,,,,,,,,0.0%,,,,,
3,2007,2007-09-23,3,24.113,BUF,@,NWE,L 7-38,,6,36,6.00,0,0,0,0,,0,0.0%,,0,0,,0
4,2007,2007-09-30,4,24.120,BUF,,NYJ,W 17-14,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0
5,2007,2007-10-08,5,24.128,BUF,,DAL,L 24-25,,1,2,2.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0
6,2007,2007-10-21,6,24.141,BUF,,BAL,W 19-14,,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,,0
7,2007,2007-10-28,7,24.148,BUF,@,NYJ,W 13-3,,12,25,2.08,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0
8,2007,2007-11-04,8,24.155,BUF,,CIN,W 33-21,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0
9,2007,2007-11-11,9,24.162,BUF,@,MIA,W 13-10,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0
10,2007,2007-11-18,10,24.169,BUF,,NWE,L 10-56,,1,1,1.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0
11,2007,2007-11-25,11,24.176,BUF,@,JAX,L 14-36,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
12,2007,2007-12-02,12,24.183,BUF,@,WAS,W 17-16,,2,14,7.00,0,0,0,0,,0,0.0%,,1,0,0.00,0
13,2007,2007-12-09,13,24.190,BUF,,MIA,W 38-17,,,,,,,,,,,0.0%,,,,,
14,2007,2007-12-16,14,24.197,BUF,@,CLE,L 0-8,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
15,2007,2007-12-23,15,24.204,BUF,,NYG,L 21-38,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0
16,2007,2007-12-30,16,24.211,BUF,@,PHI,L 9-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
