ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,30.149,DET,@,GNB,W 45-7,2,48,24.00,0
2,1950,1950-09-24,2,30.156,DET,,PIT,W 10-7,2,16,8.00,0
3,1950,1950-09-29,3,30.161,DET,@,NYY,L 21-44,4,54,13.50,0
4,1950,1950-10-08,4,30.170,DET,,SFO,W 24-7,1,14,14.00,0
5,1950,1950-10-15,5,30.177,DET,,RAM,L 28-30,2,21,10.50,0
6,1950,1950-10-22,6,30.184,DET,@,SFO,L 27-28,1,3,3.00,0
7,1950,1950-10-29,7,30.191,DET,@,RAM,L 24-65,5,124,24.80,2
8,1950,1950-11-19,9,30.212,DET,,GNB,W 24-21,1,32,32.00,0
9,1950,1950-11-23,10,30.216,DET,,NYY,W 49-14,2,42,21.00,0
10,1950,1950-12-03,11,30.226,DET,@,BAL,W 45-21,2,10,5.00,0
