ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1980,1980-10-19,7,23.066,NYG,@,SDG,L 7-44,1,1,1.00,0,0,0,,0,0,0
2,1980,1980-10-26,8,23.073,NYG,,DEN,L 9-14,1,9,9.00,0,0,0,,0,0,0
3,1980,1980-11-02,9,23.080,NYG,@,TAM,L 13-30,1,5,5.00,0,0,0,,0,0,0
4,1980,1980-11-09,10,23.087,NYG,,DAL,W 38-35,14,52,3.71,1,0,0,,0,1,6
5,1980,1980-11-16,11,23.094,NYG,,GNB,W 27-21,4,18,4.50,0,0,0,,0,0,0
6,1980,1980-11-23,12,23.101,NYG,@,SFO,L 0-12,0,0,,0,2,12,6.00,0,0,0
7,1980,1980-11-30,13,23.108,NYG,,STL,L 7-23,4,12,3.00,0,0,0,,0,0,0
8,1980,1980-12-07,14,23.115,NYG,@,SEA,W 27-21,8,24,3.00,0,2,30,15.00,0,0,0
9,1980,1980-12-13,15,23.121,NYG,@,WAS,L 13-16,10,53,5.30,0,1,21,21.00,0,0,0
10,1980,1980-12-21,16,23.129,NYG,,OAK,L 17-33,16,98,6.13,0,3,21,7.00,1,1,6
11,1981,1981-09-06,1,24.023,NYG,,PHI,L 10-24,5,13,2.60,0,4,49,12.25,1,1,6
12,1981,1981-09-13,2,24.030,NYG,@,WAS,W 17-7,8,23,2.88,0,1,8,8.00,0,0,0
13,1981,1981-09-20,3,24.037,NYG,,NOR,W 20-7,9,17,1.89,0,1,5,5.00,0,0,0
14,1981,1981-09-27,4,24.044,NYG,@,DAL,L 10-18,5,15,3.00,0,2,12,6.00,0,0,0
15,1981,1981-10-04,5,24.051,NYG,,GNB,L 14-27,3,7,2.33,0,0,0,,0,0,0
16,1981,1981-10-11,6,24.058,NYG,,STL,W 34-14,5,30,6.00,0,1,24,24.00,0,0,0
17,1981,1981-10-18,7,24.065,NYG,@,SEA,W 32-0,8,21,2.63,0,1,5,5.00,0,0,0
18,1981,1981-10-25,8,24.072,NYG,@,ATL,W 27-24,0,0,,0,0,0,,0,0,
19,1981,1981-11-01,9,24.079,NYG,,NYJ,L 7-26,0,0,,0,0,0,,0,0,
20,1981,1981-11-08,10,24.086,NYG,@,GNB,L 24-26,5,18,3.60,0,1,9,9.00,0,0,0
21,1981,1981-11-15,11,24.093,NYG,,WAS,L 27-30,11,67,6.09,0,1,12,12.00,0,0,0
22,1981,1981-11-22,12,24.100,NYG,@,PHI,W 20-10,0,0,,0,0,0,,0,0,
23,1981,1981-11-29,13,24.107,NYG,@,SFO,L 10-17,0,0,,0,0,0,,0,0,
24,1981,1981-12-06,14,24.114,NYG,,RAM,W 10-7,3,3,1.00,0,0,0,,0,0,0
25,1981,1981-12-13,15,24.121,NYG,@,STL,W 20-10,4,21,5.25,0,0,0,,0,0,0
26,1981,1981-12-19,16,24.127,NYG,,DAL,W 13-10,6,22,3.67,0,1,16,16.00,0,0,0
27,1982,1982-09-12,1,25.029,NYG,,ATL,L 14-16,3,14,4.67,0,1,-1,-1.00,0,0,0
28,1982,1982-11-25,4,25.103,NYG,@,DET,W 13-6,0,0,,0,0,0,,0,0,
