ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-09-08,1,21.281,HOU,,DAL,W 19-10,*,6,1,-3,-3.00,0,16.7%,-0.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,
2,2002,2002-09-15,2,21.288,HOU,@,SDG,L 3-24,*,6,2,37,18.50,0,33.3%,6.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,
3,2002,2002-09-22,3,21.295,HOU,,IND,L 3-23,*,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,
4,2002,2002-09-29,4,21.302,HOU,@,PHI,L 17-35,*,7,5,49,9.80,0,71.4%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,
5,2002,2002-10-13,5,21.316,HOU,,BUF,L 24-31,*,5,3,48,16.00,1,60.0%,9.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,
6,2002,2002-10-20,6,21.323,HOU,@,CLE,L 17-34,*,6,4,47,11.75,0,66.7%,7.83,0,0,,0,1,1,100.00,39,1,0,158.3,0,0,39.00,59.00,0,0,,0,0,0,,0,,0,0,0.0,,
7,2002,2002-10-27,7,21.330,HOU,@,JAX,W 21-19,*,3,3,60,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,-4,-4.00,0,,0,0,0.0,,
8,2002,2002-11-03,8,21.337,HOU,,CIN,L 3-38,*,6,3,35,11.67,0,50.0%,5.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,
9,2002,2002-11-10,9,21.344,HOU,@,TEN,L 10-17,*,7,3,26,8.67,0,42.9%,3.71,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,
10,2002,2002-11-17,10,21.351,HOU,,JAX,L 21-24,*,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,1,1.00,0,,0,0,0.0,,
