ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,2010,2010-10-17,6,24.071,STL,,SDG,W 20-17,,5,4,72,18.00,1,80.0%,14.40,0,0,,0,0,0,,,,,,1,6
2,2010,2010-10-24,7,24.078,STL,@,TAM,L 17-18,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0
3,2010,2010-11-28,11,24.113,STL,@,DEN,W 36-33,,6,4,95,23.75,0,66.7%,15.83,0,0,,0,0,0,,,,,,0,0
4,2010,2010-12-05,12,24.120,STL,@,ARI,W 19-6,,7,2,20,10.00,0,28.6%,2.86,0,0,,0,0,0,,,,,,0,0
5,2010,2010-12-12,13,24.127,STL,@,NOR,L 13-31,,1,,,,,0.0%,,,,,,,,,,,,,,
6,2010,2010-12-19,14,24.134,STL,,KAN,L 13-27,,4,,,,,0.0%,,,,,,,,,,,,,,
7,2010,2010-12-26,15,24.141,STL,,SFO,W 25-17,*,7,6,99,16.50,0,85.7%,14.14,0,0,,0,0,0,,,,,,0,0
8,2010,2011-01-02,16,24.148,STL,@,SEA,L 6-16,*,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,,,,,0,0
9,2011,2011-09-19,2,25.043,STL,@,NYG,L 16-28,,7,3,122,40.67,1,42.9%,17.43,0,0,,0,0,0,,0,0,,,1,6
10,2011,2011-09-25,3,25.049,STL,,BAL,L 7-37,,8,2,28,14.00,0,25.0%,3.50,0,0,,0,0,0,,0,0,,,0,0
11,2011,2011-10-02,4,25.056,STL,,WAS,L 10-17,,8,3,46,15.33,0,37.5%,5.75,0,0,,0,0,0,,0,0,,,0,0
12,2011,2011-10-16,5,25.070,STL,@,GNB,L 3-24,*,10,6,91,15.17,0,60.0%,9.10,0,0,,0,0,0,,0,0,,,0,0
13,2011,2011-10-23,6,25.077,STL,@,DAL,L 7-34,*,6,2,9,4.50,0,33.3%,1.50,0,0,,0,0,0,,0,0,,,0,0
14,2011,2011-12-04,12,25.119,STL,@,SFO,L 0-26,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,0,0
15,2011,2011-12-12,13,25.127,STL,@,SEA,L 13-30,,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,0,,,0,0
16,2011,2011-12-18,14,25.133,STL,,CIN,L 13-20,*,3,3,52,17.33,1,100.0%,17.33,0,0,,0,0,0,,0,0,,,1,6
17,2011,2011-12-24,15,25.139,STL,@,PIT,L 0-27,*,5,2,25,12.50,0,40.0%,5.00,0,0,,0,0,0,,0,0,,,0,0
18,2011,2012-01-01,16,25.147,STL,,SFO,L 27-34,*,7,3,36,12.00,0,42.9%,5.14,0,0,,0,0,0,,0,0,,,0,0
19,2012,2012-10-28,7,26.082,SDG,@,CLE,L 6-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0
20,2012,2012-11-01,8,26.086,SDG,,KAN,W 31-13,,3,3,61,20.33,0,100.0%,20.33,0,0,,0,0,0,,0,0,,,0,0
21,2012,2012-11-11,9,26.096,SDG,@,TAM,L 24-34,*,7,5,134,26.80,1,71.4%,19.14,0,0,,0,0,0,,0,0,,,1,6
22,2012,2012-11-18,10,26.103,SDG,@,DEN,L 23-30,,11,7,96,13.71,2,63.6%,8.73,0,0,,0,0,0,,0,0,,,2,12
23,2012,2012-11-25,11,26.110,SDG,,BAL,L 13-16,*,8,5,74,14.80,0,62.5%,9.25,0,0,,0,0,0,,0,0,,,0,0
24,2012,2012-12-02,12,26.117,SDG,,CIN,L 13-20,*,10,6,102,17.00,0,60.0%,10.20,0,0,,0,0,0,,0,0,,,0,0
25,2012,2012-12-09,13,26.124,SDG,@,PIT,W 34-24,,11,7,88,12.57,2,63.6%,8.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,12
26,2012,2012-12-16,14,26.131,SDG,,CAR,L 7-31,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0
27,2012,2012-12-23,15,26.138,SDG,@,NYJ,W 27-17,*,6,3,69,23.00,1,50.0%,11.50,0,0,,0,0,0,,0,0,,,1,6
28,2012,2012-12-30,16,26.145,SDG,,OAK,W 24-21,*,2,1,34,34.00,1,50.0%,17.00,0,0,,0,0,0,,0,0,,,1,6
