ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1999,1999-09-12,1,23.099,NWE,@,NYJ,W 30-28,*,10,17,1.70,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,3,69,23.00,0,0,0,,0,0,0,0.0,,
2,1999,1999-09-19,2,23.106,NWE,,IND,W 31-28,*,5,9,1.80,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,,,,,4,64,16.00,0,0,0,,0,0,0,0.0,,
3,1999,1999-10-10,5,23.127,NWE,@,KAN,L 14-16,,3,2,0.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,3,68,22.67,0,1,-1,-1.00,0,0,0,0.0,,
4,1999,1999-10-17,6,23.134,NWE,,MIA,L 30-31,,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,5,143,28.60,0,3,17,5.67,0,0,0,0.0,,
5,1999,1999-10-24,7,23.141,NWE,,DEN,W 24-23,,5,24,4.80,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,6,140,23.33,0,4,70,17.50,0,1,6,0.0,,
6,1999,1999-10-31,8,23.148,NWE,@,ARI,W 27-3,,17,42,2.47,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,14,14.00,0,2,4,2.00,0,0,0,0.0,,
7,1999,1999-11-15,9,23.163,NWE,,NYJ,L 17-24,,2,7,3.50,0,3,2,21,10.50,1,66.7%,7.00,0,0,,0,0,0,,,,,,4,170,42.50,0,0,0,,0,1,6,0.0,,
8,1999,1999-11-21,10,23.169,NWE,@,MIA,L 17-27,,5,61,12.20,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,,,,,6,115,19.17,0,0,0,,0,0,0,0.0,,
9,1999,1999-11-28,11,23.176,NWE,@,BUF,L 7-17,,7,22,3.14,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,3,62,20.67,0,0,0,,0,0,0,0.0,,
10,1999,1999-12-05,12,23.183,NWE,,DAL,W 13-6,,9,36,4.00,0,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,,,,,,2,50,25.00,0,0,0,,0,0,0,0.0,,
11,1999,1999-12-12,13,23.190,NWE,@,IND,L 15-20,,2,4,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,2,48,24.00,0,0,0,,0,0,0,0.0,,
12,2000,2000-09-03,1,24.090,NWE,,TAM,L 16-21,*,10,21,2.10,0,14,11,62,5.64,0,78.6%,4.43,0,0,,0,0,0,,,,,,3,85,28.33,0,0,0,,0,0,0,0.0,,
13,2000,2000-09-11,2,24.098,NWE,@,NYJ,L 19-20,*,21,82,3.90,0,5,4,23,5.75,0,80.0%,4.60,0,0,,0,0,0,,,,,,3,75,25.00,0,0,0,,0,0,0,0.0,,
14,2000,2000-09-17,3,24.104,NWE,,MIN,L 13-21,*,13,80,6.15,1,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,,,,,,2,56,28.00,0,3,22,7.33,0,1,6,0.0,,
15,2000,2000-09-24,4,24.111,NWE,@,MIA,L 3-10,,21,46,2.19,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,,,,,1,14,14.00,0,0,0,,0,0,0,0.0,,
16,2000,2000-10-01,5,24.118,NWE,@,DEN,W 28-19,,9,40,4.44,0,2,1,26,26.00,0,50.0%,13.00,0,0,,0,0,0,,,,,,3,73,24.33,0,0,0,,0,0,0,0.0,,
17,2000,2000-10-08,6,24.125,NWE,,IND,W 24-16,*,12,64,5.33,0,4,4,25,6.25,0,100.0%,6.25,0,0,,0,0,0,,,,,,3,44,14.67,0,0,0,,0,0,0,0.0,,
18,2000,2000-10-15,7,24.132,NWE,,NYJ,L 17-34,*,9,26,2.89,1,9,5,27,5.40,0,55.6%,3.00,0,0,,0,0,0,,,,,,5,105,21.00,0,0,0,,0,1,6,0.0,,
19,2000,2000-10-22,8,24.139,NWE,@,IND,L 23-30,,12,41,3.42,0,3,3,27,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,3,55,18.33,0,0,0,,0,0,0,0.0,,
20,2000,2000-11-05,9,24.153,NWE,,BUF,L 13-16,*,2,2,1.00,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,,0,0,0,,,,,,1,28,28.00,0,0,0,,0,0,0,0.0,,
21,2000,2000-11-12,10,24.160,NWE,@,CLE,L 11-19,,5,26,5.20,0,11,8,96,12.00,0,72.7%,8.73,0,0,,0,0,0,,,,,,5,109,21.80,0,0,0,,0,0,0,0.0,,
22,2000,2000-11-19,11,24.167,NWE,,CIN,W 16-13,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,61,20.33,0,0,0,,0,0,0,0.0,,
23,2000,2000-11-23,12,24.171,NWE,@,DET,L 9-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,6,111,18.50,0,1,2,2.00,0,0,0,0.0,,
24,2000,2000-12-04,13,24.182,NWE,,KAN,W 30-24,,22,52,2.36,1,6,5,32,6.40,0,83.3%,5.33,0,0,,0,0,0,,,,,,0,0,,0,2,34,17.00,0,1,6,0.0,,
25,2000,2000-12-10,14,24.188,NWE,@,CHI,L 17-24,,1,0,0.00,0,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
26,2000,2000-12-17,15,24.195,NWE,@,BUF,W 13-10,,14,52,3.71,1,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,,
27,2000,2000-12-24,16,24.202,NWE,,MIA,L 24-27,,12,34,2.83,0,4,2,80,40.00,1,50.0%,20.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,,
28,2001,2001-09-23,2,25.110,NWE,,NYJ,L 3-10,,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,2,50,25.00,0,0,0,,0,0,0,0.0,,
29,2001,2001-09-30,3,25.117,NWE,,IND,W 44-13,,9,48,5.33,1,2,2,38,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,,,,1,25,25.00,0,1,10,10.00,0,1,6,0.0,,
30,2001,2001-10-07,4,25.124,NWE,@,MIA,L 10-30,,4,10,2.50,0,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,,,,2,42,21.00,0,0,0,,0,0,0,0.0,,
31,2001,2001-10-14,5,25.131,NWE,,SDG,W 29-26,,2,0,0.00,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,,,,5,99,19.80,0,0,0,,0,0,0,0.0,,
32,2001,2001-10-21,6,25.138,NWE,@,IND,W 38-17,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,4,87,21.75,0,0,0,,0,0,0,0.0,,
33,2001,2001-10-28,7,25.145,NWE,@,DEN,L 20-31,,5,12,2.40,0,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,0,,,,6,135,22.50,0,1,2,2.00,0,0,0,0.0,,
