ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2014,2014-09-28,4,22.309,NYJ,,DET,L 17-24,,0,0,0,,0,0.0%,,0,0,,0,4,17,4.25,0
2,2014,2014-10-05,5,22.316,NYJ,@,SDG,L 0-31,,0,0,0,,0,0.0%,,0,0,,0,2,5,2.50,0
3,2014,2014-10-12,6,22.323,NYJ,,DEN,L 17-31,,0,0,0,,0,0.0%,,6,153,25.50,0,4,18,4.50,0
4,2014,2014-10-16,7,22.327,NYJ,@,NWE,L 25-27,,0,0,0,,0,0.0%,,2,80,40.00,0,2,8,4.00,0
5,2015,2015-12-27,15,24.034,BUF,,DAL,W 16-6,,0,0,0,,0,0.0%,,1,25,25.00,0,0,0,,0
6,2015,2016-01-03,16,24.041,BUF,,NYJ,W 22-17,,0,0,0,,0,0.0%,,2,52,26.00,0,1,16,16.00,0
7,2016,2016-09-15,2,24.297,BUF,,NYJ,L 31-37,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
8,2016,2016-09-25,3,24.307,BUF,,ARI,W 33-18,,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0
9,2016,2016-10-02,4,24.314,BUF,@,NWE,W 16-0,,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,0
10,2016,2016-10-09,5,24.321,BUF,@,LAR,W 30-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
11,2016,2016-10-16,6,24.328,BUF,,SFO,W 45-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
12,2016,2016-10-23,7,24.335,BUF,@,MIA,L 25-28,*,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0
13,2016,2016-10-30,8,24.342,BUF,,NWE,L 25-41,*,8,3,59,19.67,0,37.5%,7.38,0,0,,0,0,0,,0
14,2016,2016-11-07,9,24.350,BUF,@,SEA,L 25-31,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0
15,2016,2016-11-27,11,25.004,BUF,,JAX,W 28-21,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0
