ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1969,1969-09-28,2,22.262,STL,,CHI,W 20-17,1,7,7.00,0,2,54,27.00,0,0,0,,0,0,0,0,0,0
2,1969,1969-11-02,7,22.297,STL,,NOR,L 42-51,0,0,,0,0,0,,0,0,0,,0,0,0,1,21,0
3,1969,1969-11-09,8,22.304,STL,,NYG,W 42-17,0,0,,0,3,42,14.00,0,0,0,,0,0,0,0,0,0
4,1969,1969-11-16,9,22.311,STL,@,DET,L 0-20,0,0,,0,5,100,20.00,0,0,0,,0,0,0,0,0,0
5,1969,1969-11-23,10,22.318,STL,,PHI,L 30-34,0,0,,0,3,69,23.00,0,0,0,,0,0,0,0,0,0
6,1969,1969-11-30,11,22.325,STL,,PIT,W 47-10,0,0,,0,0,0,,0,1,35,35.00,0,0,0,0,0,0
7,1969,1969-12-07,12,22.332,STL,@,NYG,L 6-49,0,0,,0,1,27,27.00,0,0,0,,0,0,0,0,0,0
8,1969,1969-12-14,13,22.339,STL,,CLE,L 21-27,0,0,,0,0,0,,0,5,4,0.80,0,0,0,0,0,0
9,1969,1969-12-21,14,22.346,STL,@,GNB,L 28-45,0,0,,0,1,28,28.00,0,0,0,,0,0,0,0,0,0
10,1970,1970-10-18,5,23.282,STL,@,PHI,W 35-20,,,,,,,,,,,,,,,,,
11,1970,1970-10-25,6,23.289,STL,@,NYG,L 17-35,,,,,,,,,,,,,,,,,
12,1970,1970-11-01,7,23.296,STL,,HOU,W 44-0,,,,,,,,,,,,,,,,,
13,1970,1970-11-08,8,23.303,STL,,BOS,W 31-0,,,,,,,,,,,,,,,,,
14,1970,1970-11-16,9,23.311,STL,@,DAL,W 38-0,,,,,,,,,,,,,,,,,
15,1970,1970-11-22,10,23.317,STL,@,KAN,T 6-6,0,0,,0,1,14,14.00,0,0,0,,0,0,0,0,0,0
16,1970,1970-11-29,11,23.324,STL,,PHI,W 23-14,,,,,,,,,,,,,,,,,
17,1970,1970-12-06,12,23.331,STL,@,DET,L 3-16,,,,,,,,,,,,,,,,,
18,1970,1970-12-13,13,23.338,STL,,NYG,L 17-34,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0,0,0
19,1970,1970-12-20,14,23.345,STL,@,WAS,L 27-28,,,,,,,,,,,,,,,,,
20,1972,1972-10-29,7,25.294,MIN,@,GNB,W 27-13,,,,,,,,,,,,,,,,,
21,1972,1972-11-05,8,25.301,MIN,,NOR,W 37-6,,,,,,,,,,,,,,,,,
22,1972,1972-11-12,9,25.308,MIN,,DET,W 16-14,,,,,,,,,,,,,,,,,
23,1972,1972-11-19,10,25.315,MIN,@,RAM,W 45-41,,,,,,,,,,,,,,,,,
24,1972,1972-11-26,11,25.322,MIN,@,PIT,L 10-23,,,,,,,,,,,,,,,,,
25,1972,1972-12-03,12,25.329,MIN,,CHI,W 23-10,,,,,,,,,,,,,,,,,
26,1972,1972-12-10,13,25.336,MIN,,GNB,L 7-23,,,,,,,,,,,,,,,,,
27,1972,1972-12-16,14,25.342,MIN,@,SFO,L 17-20,,,,,,,,,,,,,,,,,
28,1973,1973-09-16,1,26.250,MIN,,OAK,W 24-16,,,,,,,,,,,,,,,,,
29,1973,1973-09-23,2,26.257,MIN,@,CHI,W 22-13,,,,,,,,,,,,,,,,,
