ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2013,2013-09-08,1,23.346,MIN,@,DET,L 24-34,,0,0,,0,5,211,42.20,0
2,2013,2013-09-15,2,23.353,MIN,@,CHI,L 30-31,,0,0,,0,3,170,56.67,0
3,2013,2013-09-22,3,23.360,MIN,,CLE,L 27-31,,0,0,,0,7,325,46.43,0
4,2013,2013-09-29,4,24.002,MIN,,PIT,W 34-27,,0,0,,0,4,167,41.75,0
5,2013,2013-10-13,5,24.016,MIN,,CAR,L 10-35,,0,0,,0,4,199,49.75,0
6,2013,2013-10-21,6,24.024,MIN,@,NYG,L 7-23,,0,0,,0,7,312,44.57,0
7,2013,2013-10-27,7,24.030,MIN,,GNB,L 31-44,,0,0,,0,4,186,46.50,0
8,2013,2013-11-03,8,24.037,MIN,@,DAL,L 23-27,,0,0,,0,3,113,37.67,0
9,2013,2013-11-07,9,24.041,MIN,,WAS,W 34-27,,0,0,,0,1,50,50.00,0
10,2013,2013-11-17,10,24.051,MIN,@,SEA,L 20-41,,0,0,,0,3,127,42.33,0
11,2013,2013-11-24,11,24.058,MIN,@,GNB,T 26-26,,0,0,,0,6,257,42.83,0
12,2013,2013-12-01,12,24.065,MIN,,CHI,W 23-20,,0,0,,0,6,264,44.00,0
13,2013,2013-12-08,13,24.072,MIN,@,BAL,L 26-29,,0,0,,0,9,397,44.11,0
14,2013,2013-12-15,14,24.079,MIN,,PHI,W 48-30,,0,0,,0,2,97,48.50,0
15,2013,2013-12-22,15,24.086,MIN,@,CIN,L 14-42,,0,0,,0,5,197,39.40,0
16,2013,2013-12-29,16,24.093,MIN,,DET,W 14-13,,0,0,,0,6,244,40.67,0
17,2014,2014-09-07,1,24.345,MIN,@,STL,W 34-6,,0,0,,0,5,237,47.40,0
18,2014,2014-09-14,2,24.352,MIN,,NWE,L 7-30,,0,0,,0,5,228,45.60,0
19,2014,2014-09-21,3,24.359,MIN,@,NOR,L 9-20,,0,0,,0,4,181,45.25,0
20,2014,2014-09-28,4,25.001,MIN,,ATL,W 41-28,,0,0,,0,2,86,43.00,0
21,2014,2014-10-02,5,25.005,MIN,@,GNB,L 10-42,,0,0,,0,7,304,43.43,0
22,2014,2014-10-12,6,25.015,MIN,,DET,L 3-17,,0,0,,0,7,296,42.29,0
23,2014,2014-10-19,7,25.022,MIN,@,BUF,L 16-17,,0,0,,0,6,284,47.33,0
24,2014,2014-10-26,8,25.029,MIN,@,TAM,W 19-13,,0,0,,0,8,358,44.75,0
25,2014,2014-11-02,9,25.036,MIN,,WAS,W 29-26,,0,0,,0,6,243,40.50,0
26,2014,2014-11-16,10,25.050,MIN,@,CHI,L 13-21,,0,0,,0,4,165,41.25,0
27,2014,2014-11-23,11,25.057,MIN,,GNB,L 21-24,,0,0,,0,4,179,44.75,0
28,2014,2014-11-30,12,25.064,MIN,,CAR,W 31-13,,0,0,,0,6,251,41.83,0
29,2014,2014-12-07,13,25.071,MIN,,NYJ,W 30-24,,0,0,,0,3,148,49.33,0
30,2014,2014-12-14,14,25.078,MIN,@,DET,L 14-16,,0,0,,0,2,101,50.50,0
31,2014,2014-12-21,15,25.085,MIN,@,MIA,L 35-37,,0,0,,0,3,151,50.33,1
32,2014,2014-12-28,16,25.092,MIN,,CHI,W 13-9,,0,0,,0,3,106,35.33,0
33,2015,2015-09-14,1,25.352,MIN,@,SFO,L 3-20,,0,0,,0,4,150,37.50,0
34,2015,2015-09-20,2,25.358,MIN,,DET,W 26-16,,0,0,,0,3,134,44.67,0
35,2015,2015-09-27,3,26.000,MIN,,SDG,W 31-14,,0,0,,0,4,165,41.25,0
36,2015,2015-10-04,4,26.007,MIN,@,DEN,L 20-23,,0,0,,0,5,217,43.40,0
37,2015,2015-10-18,5,26.021,MIN,,KAN,W 16-10,,0,0,,0,4,181,45.25,0
38,2015,2015-10-25,6,26.028,MIN,@,DET,W 28-19,,1,-6,-6.00,0,2,90,45.00,0
39,2015,2015-11-01,7,26.035,MIN,@,CHI,W 23-20,,0,0,,0,4,134,33.50,0
40,2015,2015-11-08,8,26.042,MIN,,STL,W 21-18,,0,0,,0,8,334,41.75,0
41,2015,2015-11-15,9,26.049,MIN,@,OAK,W 30-14,,0,0,,0,3,143,47.67,0
42,2015,2015-11-22,10,26.056,MIN,,GNB,L 13-30,,0,0,,0,6,245,40.83,0
43,2015,2015-11-29,11,26.063,MIN,@,ATL,W 20-10,,0,0,,0,2,95,47.50,0
44,2015,2015-12-06,12,26.070,MIN,,SEA,L 7-38,,0,0,,0,7,281,40.14,0
45,2015,2015-12-10,13,26.074,MIN,@,ARI,L 20-23,,0,0,,0,2,91,45.50,0
