ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-09-14,2,23.130,CIN,,TEN,L 7-24,,,,,,,,,,,
2,2008,2008-09-21,3,23.137,CIN,@,NYG,L 23-26,,0,0,,0,0.0,1,2,0,0,0
3,2008,2008-09-28,4,23.144,CIN,,CLE,L 12-20,,0,0,,0,0.0,2,0,0,0,0
4,2008,2008-10-05,5,23.151,CIN,@,DAL,L 22-31,,0,0,,0,0.0,0,1,0,0,0
5,2008,2008-10-12,6,23.158,CIN,@,NYJ,L 14-26,,0,0,,0,0.0,0,0,1,6,0
6,2008,2008-10-19,7,23.165,CIN,,PIT,L 10-38,,0,0,,0,0.0,0,1,0,0,0
7,2008,2008-10-26,8,23.172,CIN,@,HOU,L 6-35,,0,0,,0,0.0,0,0,0,0,0
8,2009,2009-09-27,3,24.143,TAM,,NYG,L 0-24,,,,,,,,,,,
9,2009,2009-10-04,4,24.150,TAM,@,WAS,L 13-16,,0,0,,0,0.0,0,1,0,0,0
10,2009,2009-10-18,6,24.164,TAM,,CAR,L 21-28,,,,,,,,,,,
11,2009,2009-10-25,7,24.171,TAM,,NWE,L 7-35,,,,,,,,,,,
12,2009,2009-11-08,8,24.185,TAM,,GNB,W 38-28,,0,0,,0,0.0,0,0,0,0,0
13,2009,2009-11-15,9,24.192,TAM,@,MIA,L 23-25,,,,,,,,,,,
14,2009,2009-11-22,10,24.199,TAM,,NOR,L 7-38,,0,0,,0,0.0,0,1,0,0,0
15,2009,2009-11-29,11,24.206,TAM,@,ATL,L 17-20,,0,0,,0,0.0,0,0,0,0,0
16,2009,2009-12-06,12,24.213,TAM,@,CAR,L 6-16,,0,0,,0,0.0,0,0,0,0,0
17,2009,2009-12-13,13,24.220,TAM,,NYJ,L 3-26,,,,,,,,,,,
18,2009,2009-12-20,14,24.227,TAM,@,SEA,W 24-7,,0,0,,0,0.0,1,0,0,0,0
19,2009,2009-12-27,15,24.234,TAM,@,NOR,W 20-17,,,,,,,,,,,
20,2009,2010-01-03,16,24.241,TAM,,ATL,L 10-20,,0,0,,0,0.0,0,0,0,0,0
21,2010,2010-09-12,1,25.128,TAM,,CLE,W 17-14,,,,,,,,,,,
22,2010,2010-09-19,2,25.135,TAM,@,CAR,W 20-7,,0,0,,0,0.0,0,1,0,0,0
23,2010,2010-09-26,3,25.142,TAM,,PIT,L 13-38,,,,,,,,,,,
24,2010,2010-10-10,4,25.156,TAM,@,CIN,W 24-21,,0,0,,0,0.0,0,1,0,0,0
25,2010,2010-10-17,5,25.163,TAM,,NOR,L 6-31,,,,,,,,,,,
26,2010,2010-10-24,6,25.170,TAM,,STL,W 18-17,,,,,,,,,,,
27,2010,2010-10-31,7,25.177,TAM,@,ARI,W 38-35,,0,0,,0,0.0,0,0,0,0,0
28,2010,2010-11-07,8,25.184,TAM,@,ATL,L 21-27,,,,,,,,,,,
29,2010,2010-11-14,9,25.191,TAM,,CAR,W 31-16,,0,0,,0,0.0,0,0,0,0,0
30,2010,2010-11-21,10,25.198,TAM,@,SFO,W 21-0,,0,0,,0,0.0,0,0,0,0,0
31,2010,2010-11-28,11,25.205,TAM,@,BAL,L 10-17,,,,,,,,,,,
32,2010,2010-12-05,12,25.212,TAM,,ATL,L 24-28,*,0,0,,0,0.0,2,1,1,0,0
33,2010,2010-12-12,13,25.219,TAM,@,WAS,W 17-16,*,0,0,,0,0.0,6,3,0,0,0
34,2010,2010-12-19,14,25.226,TAM,,DET,L 20-23,*,0,0,,0,0.0,6,2,0,0,0
35,2010,2010-12-26,15,25.233,TAM,,SEA,W 38-15,*,0,0,,0,0.0,0,0,0,0,0
36,2010,2011-01-02,16,25.240,TAM,@,NOR,W 23-13,*,0,0,,0,0.0,1,2,0,0,0
37,2011,2011-09-11,1,26.127,TAM,,DET,L 20-27,,,,,,,,,,,
38,2011,2011-09-18,2,26.134,TAM,@,MIN,W 24-20,,0,0,,0,0.0,0,0,0,0,0
39,2011,2011-09-25,3,26.141,TAM,,ATL,W 16-13,,0,0,,0,0.0,2,0,0,0,0
40,2011,2011-10-03,4,26.149,TAM,,IND,W 24-17,*,0,0,,0,0.0,3,0,0,0,0
41,2011,2011-10-09,5,26.155,TAM,@,SFO,L 3-48,*,0,0,,0,0.0,5,0,0,0,0
42,2011,2011-10-16,6,26.162,TAM,,NOR,W 26-20,,0,0,,0,0.0,1,1,0,0,0
43,2011,2011-10-23,7,26.169,TAM,,CHI,L 18-24,,0,0,,0,0.0,2,1,1,14,0
44,2011,2011-11-06,8,26.183,TAM,@,NOR,L 16-27,,,,,,,,,,,
45,2011,2011-11-13,9,26.190,TAM,,HOU,L 9-37,,,,,,,,,,,
46,2011,2011-11-20,10,26.197,TAM,@,GNB,L 26-35,*,0,0,,0,0.0,3,1,0,0,0
47,2011,2011-11-27,11,26.204,TAM,@,TEN,L 17-23,,0,0,,0,0.0,0,1,0,0,0
48,2011,2011-12-04,12,26.211,TAM,,CAR,L 19-38,,0,0,,0,0.0,1,0,0,0,0
49,2011,2011-12-11,13,26.218,TAM,@,JAX,L 14-41,,,,,,,,,,,
50,2011,2011-12-17,14,26.224,TAM,,DAL,L 15-31,,0,0,,0,0.0,0,0,0,0,0
51,2011,2011-12-24,15,26.231,TAM,@,CAR,L 16-48,,,,,,,,,,,
