ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1976,1976-09-12,1,23.210,STL,@,SEA,W 30-24,3,56,18.67,1,0,0,,0,2,28,14.00,0,1,6
2,1976,1976-09-19,2,23.217,STL,,GNB,W 29-0,2,23,11.50,0,0,0,,0,7,77,11.00,0,0,0
3,1976,1976-09-26,3,23.224,STL,@,SDG,L 24-43,1,11,11.00,0,0,0,,0,1,12,12.00,0,0,0
4,1976,1976-10-03,4,23.231,STL,,NYG,W 27-21,1,5,5.00,0,0,0,,0,1,0,0.00,0,0,0
5,1976,1976-10-10,5,23.238,STL,,PHI,W 33-14,2,32,16.00,0,0,0,,0,2,12,6.00,0,0,0
6,1976,1976-10-25,7,23.253,STL,@,WAS,L 10-20,1,43,43.00,0,0,0,,0,0,0,,0,0,0
7,1976,1976-10-31,8,23.259,STL,,SFO,W 23-20,,,,,,,,,,,,,,
8,1976,1976-11-07,9,23.266,STL,@,PHI,W 17-14,6,72,12.00,0,0,0,,0,2,17,8.50,0,0,0
9,1976,1976-11-14,10,23.273,STL,@,RAM,W 30-28,6,120,20.00,0,0,0,,0,0,0,,0,0,0
10,1976,1976-11-21,11,23.280,STL,,WAS,L 10-16,,,,,,,,,,,,,,
11,1976,1976-11-25,12,23.284,STL,@,DAL,L 14-19,2,19,9.50,0,0,0,,0,0,0,,0,0,0
12,1976,1976-12-04,13,23.293,STL,,BAL,W 24-17,1,17,17.00,0,0,0,,0,0,0,,0,0,0
13,1976,1976-12-12,14,23.301,STL,@,NYG,W 17-14,1,9,9.00,0,0,0,,0,0,0,,0,0,0
14,1977,1977-09-18,1,24.215,STL,@,DEN,L 0-7,3,49,16.33,0,0,0,,0,4,17,4.25,0,0,0
15,1977,1977-09-25,2,24.222,STL,,CHI,W 16-13,0,0,,0,0,0,,0,2,17,8.50,0,0,0
16,1977,1977-10-02,3,24.229,STL,@,WAS,L 14-24,2,15,7.50,0,0,0,,0,0,0,,0,0,0
17,1977,1977-10-09,4,24.236,STL,,DAL,L 24-30,,,,,,,,,,,,,,
18,1977,1977-10-16,5,24.243,STL,@,PHI,W 21-17,0,0,,0,0,0,,0,1,3,3.00,0,0,0
19,1977,1977-10-23,6,24.250,STL,,NOR,W 49-31,,,,,,,,,,,,,,
20,1977,1977-10-31,7,24.258,STL,,NYG,W 28-0,,,,,,,,,,,,,,
21,1977,1977-11-06,8,24.264,STL,@,MIN,W 27-7,0,0,,0,0,0,,0,2,32,16.00,0,0,0
22,1977,1977-11-14,9,24.272,STL,@,DAL,W 24-17,0,0,,0,0,0,,0,1,21,21.00,0,0,0
23,1977,1977-11-20,10,24.278,STL,,PHI,W 21-16,0,0,,0,0,0,,0,2,16,8.00,0,0,0
24,1977,1977-11-24,11,24.282,STL,,MIA,L 14-55,,,,,,,,,,,,,,
25,1977,1977-12-04,12,24.292,STL,@,NYG,L 7-27,0,0,,0,0,0,,0,1,5,5.00,0,0,0
26,1977,1977-12-10,13,24.298,STL,,WAS,L 20-26,,,,,,,,,,,,,,
27,1977,1977-12-18,14,24.306,STL,@,TAM,L 7-17,,,,,,,,,,,,,,
28,1978,1978-09-03,1,25.200,STL,@,CHI,L 10-17,4,24,6.00,0,0,0,,0,2,8,4.00,0,0,0
29,1978,1978-09-10,2,25.207,STL,,NWE,L 6-16,2,37,18.50,0,0,0,,0,0,0,,0,0,0
30,1978,1978-09-17,3,25.214,STL,,WAS,L 10-28,7,123,17.57,0,0,0,,0,0,0,,0,0,0
31,1978,1978-09-24,4,25.221,STL,@,DAL,L 12-21,2,24,12.00,0,0,0,,0,0,0,,0,0,0
32,1978,1978-10-01,5,25.228,STL,@,MIA,L 10-24,7,85,12.14,0,0,0,,0,0,0,,0,0,0
33,1978,1978-10-08,6,25.235,STL,,BAL,L 17-30,2,30,15.00,0,0,0,,0,0,0,,0,0,0
34,1978,1978-10-15,7,25.242,STL,,DAL,L 21-24,3,60,20.00,0,0,0,,0,0,0,,0,0,0
35,1978,1978-10-22,8,25.249,STL,@,NYJ,L 10-23,0,0,,0,1,32,32.00,0,0,0,,0,0,0
36,1978,1978-10-29,9,25.256,STL,@,PHI,W 16-10,4,63,15.75,0,0,0,,0,0,0,,0,0,0
37,1978,1978-11-05,10,25.263,STL,,NYG,W 20-10,4,101,25.25,0,0,0,,0,0,0,,0,0,0
38,1978,1978-11-12,11,25.270,STL,@,SFO,W 16-10,5,76,15.20,1,0,0,,0,0,0,,0,1,6
39,1978,1978-11-19,12,25.277,STL,@,WAS,W 27-17,4,66,16.50,0,0,0,,0,0,0,,0,0,0
40,1978,1978-11-26,13,25.284,STL,,PHI,L 10-14,7,70,10.00,1,0,0,,0,0,0,,0,1,6
41,1978,1978-12-03,14,25.291,STL,,DET,W 21-14,3,29,9.67,0,0,0,,0,0,0,,0,0,0
42,1978,1978-12-10,15,25.298,STL,@,NYG,L 0-17,1,7,7.00,0,0,0,,0,0,0,,0,0,0
43,1978,1978-12-17,16,25.305,STL,,ATL,W 42-21,7,105,15.00,1,0,0,,0,0,0,,0,1,6
44,1979,1979-09-02,1,26.199,STL,,DAL,L 21-22,2,31,15.50,1,0,0,,0,0,0,,0,1,6
45,1979,1979-09-09,2,26.206,STL,@,NYG,W 27-14,1,9,9.00,0,0,0,,0,0,0,,0,0,0
46,1979,1979-09-16,3,26.213,STL,,PIT,L 21-24,2,39,19.50,0,0,0,,0,0,0,,0,0,0
47,1979,1979-09-23,4,26.220,STL,,WAS,L 7-17,7,114,16.29,0,0,0,,0,0,0,,0,0,0
48,1979,1979-09-30,5,26.227,STL,@,RAM,L 0-21,2,46,23.00,0,0,0,,0,0,0,,0,0,0
49,1979,1979-10-07,6,26.234,STL,@,HOU,W 24-17,6,69,11.50,0,0,0,,0,0,0,,0,0,0
50,1979,1979-10-14,7,26.241,STL,,PHI,L 20-24,4,62,15.50,0,0,0,,0,0,0,,0,0,0
51,1979,1979-10-21,8,26.248,STL,@,DAL,L 13-22,1,24,24.00,0,0,0,,0,0,0,,0,0,0
52,1979,1979-10-28,9,26.255,STL,,CLE,L 20-38,2,41,20.50,1,0,0,,0,0,0,,0,1,6
53,1979,1979-11-04,10,26.262,STL,,MIN,W 37-7,2,27,13.50,0,0,0,,0,0,0,,0,0,0
54,1979,1979-11-11,11,26.269,STL,@,WAS,L 28-30,4,66,16.50,0,0,0,,0,0,0,,0,0,0
55,1979,1979-11-18,12,26.276,STL,@,PHI,L 13-16,6,83,13.83,0,0,0,,0,0,0,,0,0,0
56,1979,1979-11-25,13,26.283,STL,@,CIN,L 28-34,5,134,26.80,2,0,0,,0,0,0,,0,2,12
57,1979,1979-12-02,14,26.290,STL,,SFO,W 13-10,4,47,11.75,0,0,0,,0,0,0,,0,0,0
58,1979,1979-12-09,15,26.297,STL,,NYG,W 29-20,6,94,15.67,1,0,0,,0,0,0,,0,1,6
59,1979,1979-12-16,16,26.304,STL,@,CHI,L 6-42,3,52,17.33,1,0,0,,0,0,0,,0,1,6
60,1980,1980-09-07,1,27.205,STL,,NYG,L 35-41,4,97,24.25,1,0,0,,0,0,0,,0,1,6
61,1980,1980-09-14,2,27.212,STL,@,SFO,L 21-24,5,41,8.20,0,0,0,,0,0,0,,0,0,0
62,1980,1980-09-21,3,27.219,STL,@,DET,L 7-20,10,128,12.80,0,0,0,,0,0,0,,0,0,0
63,1980,1980-09-28,4,27.226,STL,,PHI,W 24-14,5,68,13.60,0,0,0,,0,0,0,,0,0,0
64,1980,1980-10-05,5,27.233,STL,@,NOR,W 40-7,3,22,7.33,1,0,0,,0,0,0,,0,1,6
65,1980,1980-10-12,6,27.240,STL,,RAM,L 13-21,4,36,9.00,0,0,0,,0,0,0,,0,0,0
66,1980,1980-10-19,7,27.247,STL,@,WAS,L 0-23,5,67,13.40,0,0,0,,0,0,0,,0,0,0
67,1980,1980-10-26,8,27.254,STL,@,BAL,W 17-10,6,36,6.00,1,0,0,,0,0,0,,0,1,6
68,1980,1980-11-02,9,27.261,STL,,DAL,L 24-27,5,145,29.00,1,0,0,,0,0,0,,0,1,6
69,1980,1980-11-09,10,27.268,STL,,ATL,L 27-33,6,120,20.00,1,0,0,,0,0,0,,0,1,6
70,1980,1980-11-16,11,27.275,STL,@,DAL,L 21-31,3,75,25.00,1,0,0,,0,0,0,,0,1,6
71,1980,1980-11-23,12,27.282,STL,,KAN,L 13-21,6,59,9.83,0,0,0,,0,0,0,,0,0,0
72,1980,1980-11-30,13,27.289,STL,@,NYG,W 23-7,5,59,11.80,0,0,0,,0,0,0,,0,0,0
73,1980,1980-12-07,14,27.296,STL,,DET,W 24-23,1,13,13.00,0,0,0,,0,0,0,,0,0,0
74,1981,1981-09-06,1,28.203,STL,,MIA,L 7-20,4,62,15.50,0,0,0,,0,0,0,,0,0,0
75,1981,1981-09-13,2,28.210,STL,@,DAL,L 17-30,3,46,15.33,0,0,0,,0,0,0,,0,0,0
76,1981,1981-09-20,3,28.217,STL,,WAS,W 40-30,0,0,,0,,,,,,,,,,
77,1981,1981-09-27,4,28.224,STL,@,TAM,L 10-20,1,11,11.00,0,0,0,,0,0,0,,0,0,0
78,1981,1981-10-04,5,28.231,STL,,DAL,W 20-17,5,73,14.60,0,0,0,,0,0,0,,0,0,0
79,1981,1981-10-11,6,28.238,STL,@,NYG,L 14-34,2,31,15.50,0,0,0,,0,0,0,,0,0,0
80,1981,1981-10-18,7,28.245,STL,@,ATL,L 20-41,8,100,12.50,0,0,0,,0,0,0,,0,0,0
81,1981,1981-10-25,8,28.252,STL,,MIN,W 30-17,5,98,19.60,1,0,0,,0,0,0,,0,1,6
82,1981,1981-11-01,9,28.259,STL,@,WAS,L 21-42,8,96,12.00,2,0,0,,0,0,0,,0,2,12
83,1981,1981-11-08,10,28.266,STL,,PHI,L 10-52,6,84,14.00,0,0,0,,0,0,0,,0,0,0
84,1981,1981-11-15,11,28.273,STL,,BUF,W 24-0,2,25,12.50,0,0,0,,0,0,0,,0,0,0
85,1981,1981-11-22,12,28.280,STL,@,BAL,W 35-24,5,158,31.60,0,0,0,,0,0,0,,0,0,0
86,1981,1981-11-29,13,28.287,STL,@,NWE,W 27-20,5,76,15.20,0,0,0,,0,0,0,,0,0,0
87,1981,1981-12-06,14,28.294,STL,,NOR,W 30-3,4,75,18.75,0,0,0,,0,0,0,,0,0,0
88,1981,1981-12-13,15,28.301,STL,,NYG,L 10-20,3,44,14.67,0,0,0,,0,0,0,,0,0,0
89,1981,1981-12-20,16,28.308,STL,@,PHI,L 0-38,5,61,12.20,0,0,0,,0,0,0,,0,0,0
90,1982,1982-09-12,1,29.209,STL,@,NOR,W 21-7,4,26,6.50,1,0,0,,0,0,0,,0,1,6
91,1982,1982-09-19,2,29.216,STL,,DAL,L 7-24,4,29,7.25,1,0,0,,0,0,0,,0,1,6
92,1982,1982-11-21,3,29.279,STL,,SFO,L 20-31,4,53,13.25,0,0,0,,0,0,0,,0,0,0
93,1982,1982-11-28,4,29.286,STL,@,ATL,W 23-20,4,64,16.00,0,0,0,,0,0,0,,0,0,0
94,1982,1982-12-05,5,29.293,STL,@,PHI,W 23-20,4,63,15.75,0,0,0,,0,0,0,,0,0,0
95,1982,1982-12-12,6,29.300,STL,,WAS,L 7-12,6,95,15.83,0,0,0,,0,0,0,,0,0,0
96,1982,1982-12-19,7,29.307,STL,@,CHI,W 10-7,3,31,10.33,0,0,0,,0,0,0,,0,0,0
97,1982,1982-12-26,8,29.314,STL,,NYG,W 24-21,3,39,13.00,0,0,0,,0,0,0,,0,0,0
98,1982,1983-01-02,9,29.321,STL,@,WAS,L 0-28,4,65,16.25,0,0,0,,0,0,0,,0,0,0
99,1983,1983-09-04,1,30.201,STL,@,NOR,L 17-28,4,65,16.25,1,0,0,,0,0,0,,0,1,6
100,1983,1983-09-11,2,30.208,STL,,DAL,L 17-34,7,105,15.00,0,0,0,,0,0,0,,0,0,0
101,1983,1983-09-18,3,30.215,STL,,SFO,L 27-42,2,20,10.00,1,0,0,,0,0,0,,0,1,6
102,1983,1983-09-25,4,30.222,STL,@,PHI,W 14-11,2,26,13.00,0,0,0,,0,0,0,,0,0,0
103,1983,1983-10-02,5,30.229,STL,@,KAN,L 14-38,0,0,,0,,,,,,,,,,
104,1983,1983-10-09,6,30.236,STL,,WAS,L 14-38,3,77,25.67,0,0,0,,0,0,0,,0,0,0
105,1983,1983-10-16,7,30.243,STL,@,TAM,W 34-27,2,25,12.50,0,0,0,,0,0,0,,0,0,0
106,1983,1983-10-24,8,30.251,STL,,NYG,T 20-20,4,44,11.00,0,0,0,,0,0,0,,0,0,0
107,1983,1983-10-30,9,30.257,STL,,MIN,W 41-31,5,48,9.60,1,0,0,,0,0,0,,0,1,6
108,1983,1983-11-06,10,30.264,STL,@,WAS,L 7-45,2,50,25.00,0,0,0,,0,0,0,,0,0,0
109,1983,1983-11-13,11,30.271,STL,,SEA,W 33-28,4,41,10.25,0,0,0,,0,0,0,,0,0,0
110,1983,1983-11-20,12,30.278,STL,,SDG,W 44-14,3,90,30.00,1,0,0,,0,0,0,,0,1,6
111,1983,1983-11-24,13,30.282,STL,@,DAL,L 17-35,2,28,14.00,0,0,0,,0,0,0,,0,0,0
112,1983,1983-12-04,14,30.292,STL,@,NYG,W 10-6,0,0,,0,,,,,,,,,,
113,1983,1983-12-11,15,30.299,STL,@,RAI,W 34-24,2,40,20.00,1,0,0,,0,0,0,,0,1,6
114,1983,1983-12-18,16,30.306,STL,,PHI,W 31-7,2,31,15.50,0,0,0,,0,0,0,,0,0,0
115,1984,1984-09-02,1,31.200,STL,@,GNB,L 23-24,6,60,10.00,1,0,0,,0,0,0,,0,1,6
116,1984,1984-09-09,2,31.207,STL,,BUF,W 37-7,5,79,15.80,0,0,0,,0,0,0,,0,0,0
117,1984,1984-09-16,3,31.214,STL,@,IND,W 34-33,2,33,16.50,0,0,0,,0,0,0,,0,0,0
118,1984,1984-09-23,4,31.221,STL,@,NOR,L 24-34,4,62,15.50,0,0,0,,0,0,0,,0,0,0
119,1984,1984-09-30,5,31.228,STL,,MIA,L 28-36,5,69,13.80,0,0,0,,0,0,0,,0,0,0
120,1984,1984-10-07,6,31.235,STL,@,DAL,W 31-20,4,82,20.50,0,0,0,,0,0,0,,0,0,0
121,1984,1984-10-14,7,31.242,STL,,CHI,W 38-21,2,57,28.50,0,0,0,,0,0,0,,0,0,0
122,1984,1984-10-21,8,31.249,STL,,WAS,W 26-24,2,46,23.00,0,0,0,,0,0,0,,0,0,0
123,1984,1984-10-28,9,31.256,STL,@,PHI,W 34-14,3,32,10.67,1,0,0,,0,0,0,,0,1,6
124,1984,1984-11-04,10,31.263,STL,,RAM,L 13-16,2,41,20.50,0,0,0,,0,0,0,,0,0,0
125,1984,1984-11-11,11,31.270,STL,,DAL,L 17-24,5,76,15.20,1,0,0,,0,0,0,,0,1,6
126,1984,1984-11-18,12,31.277,STL,@,NYG,L 10-16,2,30,15.00,0,0,0,,0,0,0,,0,0,0
127,1984,1984-11-25,13,31.284,STL,,PHI,W 17-16,3,30,10.00,1,0,0,,0,0,0,,0,1,6
128,1984,1984-12-02,14,31.291,STL,@,NWE,W 33-10,1,6,6.00,0,0,0,,0,0,0,,0,0,0
129,1984,1984-12-09,15,31.298,STL,,NYG,W 31-21,2,20,10.00,1,0,0,,0,0,0,,0,1,6
130,1984,1984-12-16,16,31.305,STL,@,WAS,L 27-29,4,35,8.75,0,0,0,,0,0,0,,0,0,0
131,1985,1985-09-08,1,32.205,STL,@,CLE,W 27-24,1,5,5.00,1,0,0,,0,0,0,,0,1,6
132,1985,1985-09-15,2,32.212,STL,,CIN,W 41-27,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0
133,1985,1985-09-22,3,32.219,STL,@,NYG,L 17-27,0,0,,0,,,,,0,0,,0,,
134,1985,1985-09-29,4,32.226,STL,,GNB,W 43-28,3,38,12.67,1,0,0,,0,0,0,,0,1,6
135,1985,1985-10-07,5,32.234,STL,@,WAS,L 10-27,3,33,11.00,0,0,0,,0,0,0,,0,0,0
136,1985,1985-10-13,6,32.240,STL,@,PHI,L 7-30,4,81,20.25,1,0,0,,0,0,0,,0,1,6
137,1985,1985-10-20,7,32.247,STL,@,PIT,L 10-23,3,31,10.33,0,0,0,,0,0,0,,0,0,0
138,1985,1985-10-27,8,32.254,STL,,HOU,L 10-20,5,62,12.40,1,0,0,,0,0,0,,0,1,6
139,1985,1985-11-04,9,32.262,STL,,DAL,W 21-10,6,113,18.83,1,0,0,,0,0,0,,0,1,6
140,1985,1985-11-10,10,32.268,STL,@,TAM,L 0-16,2,20,10.00,0,0,0,,0,0,0,,0,0,0
141,1985,1985-11-17,11,32.275,STL,,PHI,L 14-24,4,55,13.75,0,0,0,,0,0,0,,0,0,0
142,1985,1985-11-24,12,32.282,STL,,NYG,L 3-34,6,93,15.50,0,0,0,,0,0,0,,0,0,0
143,1985,1985-11-28,13,32.286,STL,@,DAL,L 17-35,6,115,19.17,0,0,0,,0,0,0,,0,0,0
144,1985,1985-12-08,14,32.296,STL,,NOR,W 28-16,3,42,14.00,1,0,0,,0,0,0,,0,1,6
145,1985,1985-12-15,15,32.303,STL,@,RAM,L 14-46,1,14,14.00,0,0,0,,0,0,0,,0,0,0
146,1985,1985-12-21,16,32.309,STL,,WAS,L 16-27,2,24,12.00,0,0,0,,0,0,0,,0,0,0
147,1986,1986-09-07,1,33.204,STL,,RAM,L 10-16,3,51,17.00,0,0,0,,0,0,0,,0,0,0
