ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2003,2003-09-14,2,23.243,JAX,,BUF,L 17-38,,7,8,87.50,92,1,0,154.2,0,0,11.50,14.00,0,0,,0,0,0,0,,0,0.0%,,0,0
2,2003,2003-09-21,3,23.250,JAX,@,IND,L 13-23,,4,5,80.00,32,1,0,132.9,0,0,6.40,10.40,0,0,,0,0,0,0,,0,0.0%,,0,0
3,2003,2003-09-28,4,23.257,JAX,@,HOU,L 20-24,*,17,36,47.22,231,1,3,42.7,0,0,6.42,3.22,2,11,5.50,0,0,0,0,,0,0.0%,,0,0
4,2003,2003-10-05,5,23.264,JAX,,SDG,W 27-21,*,19,28,67.86,336,2,0,132.4,3,23,12.00,13.43,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0
5,2003,2003-10-12,6,23.271,JAX,,MIA,L 10-24,*,24,42,57.14,256,0,3,45.3,4,12,6.10,2.88,5,24,4.80,1,0,0,0,,0,0.0%,,1,6
6,2003,2003-10-26,7,23.285,JAX,,TEN,L 17-30,*,15,27,55.56,158,1,2,54.2,2,5,5.85,3.26,0,0,,0,0,0,0,,0,0.0%,,0,0
7,2003,2003-11-02,8,23.292,JAX,@,BAL,L 17-24,*,22,34,64.71,208,1,1,79.0,4,22,6.12,5.38,0,0,,0,0,0,0,,0,0.0%,,0,0
8,2003,2003-11-09,9,23.299,JAX,,IND,W 28-23,*,12,22,54.55,179,1,0,96.6,0,0,8.14,9.05,3,6,2.00,1,0,0,0,,0,0.0%,,1,6
9,2003,2003-11-16,10,23.306,JAX,@,TEN,L 3-10,*,15,31,48.39,151,0,2,35.8,1,6,4.87,1.97,1,1,1.00,0,0,0,0,,0,0.0%,,0,0
10,2003,2003-11-23,11,23.313,JAX,@,NYJ,L 10-13,*,17,33,51.52,172,0,1,54.1,1,0,5.21,3.85,0,0,,0,0,0,0,,0,0.0%,,0,0
11,2003,2003-11-30,12,23.320,JAX,,TAM,W 17-10,*,20,34,58.82,224,2,0,98.2,0,0,6.59,7.76,3,3,1.00,0,0,0,0,,0,0.0%,,0,0
12,2003,2003-12-07,13,23.327,JAX,,HOU,W 27-0,*,18,29,62.07,194,1,0,93.2,1,12,6.69,7.38,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0
13,2003,2003-12-14,14,23.334,JAX,@,NWE,L 13-27,*,21,40,52.50,288,1,2,63.3,1,6,7.20,5.45,3,10,3.33,0,0,0,0,,0,0.0%,,0,0
14,2003,2003-12-21,15,23.341,JAX,,NOR,W 20-19,*,9,17,52.94,131,1,2,58.3,1,0,7.71,3.59,2,23,11.50,0,0,0,0,,0,0.0%,,0,0
15,2003,2003-12-28,16,23.348,JAX,@,ATL,L 14-21,*,19,32,59.38,167,1,0,83.7,1,4,5.22,5.84,3,33,11.00,0,0,0,0,,0,0.0%,,0,0
