ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-09-09,1,22.014,CLE,,PIT,L 7-34,,,,,,,,,,,,,
2,2007,2007-09-16,2,22.021,CLE,,CIN,W 51-45,,,,,,,,,,,,,
3,2007,2007-09-23,3,22.028,CLE,@,OAK,L 24-26,,,,,,,,,,,,,
4,2007,2007-09-30,4,22.035,CLE,,BAL,W 27-13,,,,,,,,,,,,,
5,2007,2007-10-07,5,22.042,CLE,@,NWE,L 17-34,,,,,,,,,,,,,
6,2007,2007-10-14,6,22.049,CLE,,MIA,W 41-31,,,,,,,,,,,,,
7,2007,2007-10-28,7,22.063,CLE,@,STL,W 27-20,,,,,,,,,,,,,
8,2007,2007-11-04,8,22.070,CLE,,SEA,W 33-30,,,,,,,,,,,,,
9,2007,2007-11-11,9,22.077,CLE,@,PIT,L 28-31,,,,,,,,,,,,,
10,2007,2007-11-18,10,22.084,CLE,@,BAL,W 33-30,,,,,,,,,,,,,
11,2007,2007-11-25,11,22.091,CLE,,HOU,W 27-17,,0,0,,0,0,0,0.0,,,1,0,0
12,2007,2007-12-02,12,22.098,CLE,@,ARI,L 21-27,,,,,,,,,,,,,
13,2007,2007-12-09,13,22.105,CLE,@,NYJ,W 24-18,*,0,0,,0,0,0,0.0,,,1,0,0
14,2007,2007-12-16,14,22.112,CLE,,BUF,W 8-0,,,,,,,,,,,,,
15,2007,2007-12-23,15,22.119,CLE,@,CIN,L 14-19,*,,,,,,,,,,,,
16,2007,2007-12-30,16,22.126,CLE,,SFO,W 20-7,,,,,,,,,,,,,
17,2008,2008-09-07,1,23.012,CLE,,DAL,L 10-28,*,0,0,,0,0,0,0.0,5,1,0,0,0
18,2008,2008-09-14,2,23.019,CLE,,PIT,L 6-10,*,0,0,,0,0,0,0.0,1,0,0,0,0
19,2008,2008-09-21,3,23.026,CLE,@,BAL,L 10-28,*,0,0,,0,0,0,0.0,4,0,0,0,0
20,2008,2008-09-28,4,23.033,CLE,@,CIN,W 20-12,*,0,0,,0,0,0,0.0,7,0,0,0,0
21,2008,2008-10-13,5,23.048,CLE,,NYG,W 35-14,*,0,0,,0,0,0,0.0,3,0,1,21,0
22,2008,2008-10-19,6,23.054,CLE,@,WAS,L 11-14,*,0,0,,0,0,0,0.0,1,0,0,0,0
23,2008,2008-10-26,7,23.061,CLE,@,JAX,W 23-17,*,0,0,,0,0,0,0.0,7,0,0,0,0
24,2008,2008-11-02,8,23.068,CLE,,BAL,L 27-37,*,0,0,,0,0,0,0.0,7,0,0,0,0
25,2008,2008-11-06,9,23.072,CLE,,DEN,L 30-34,*,0,0,,0,0,0,0.0,2,0,0,0,0
26,2008,2008-11-17,10,23.083,CLE,@,BUF,W 29-27,,0,0,,0,0,0,0.0,1,3,1,3,0
27,2008,2008-11-23,11,23.089,CLE,,HOU,L 6-16,*,0,0,,0,0,0,0.0,5,2,0,0,0
28,2008,2008-11-30,12,23.096,CLE,,IND,L 6-10,*,0,0,,0,0,0,0.0,4,1,1,0,0
29,2008,2008-12-07,13,23.103,CLE,@,TEN,L 9-28,*,0,0,,0,0,0,0.0,2,1,0,0,0
30,2008,2008-12-15,14,23.111,CLE,@,PHI,L 10-30,*,0,0,,0,1,6,0.0,6,0,2,122,1
31,2008,2008-12-21,15,23.117,CLE,,CIN,L 0-14,*,0,0,,0,0,0,0.0,2,0,0,0,0
