ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-18,2,24.012,CHI,@,NOR,L 13-30,,,,,,,
2,2011,2011-10-16,6,24.040,CHI,,MIN,W 39-10,,,,,,,
3,2011,2011-11-13,9,24.068,CHI,,DET,W 37-13,,,,,,,
4,2011,2011-11-20,10,24.075,CHI,,SDG,W 31-20,,,,,,,
5,2011,2011-12-04,12,24.089,IND,@,NWE,L 24-31,,,0,0,0.0,0,5
6,2011,2011-12-11,13,24.096,IND,@,BAL,L 10-24,,,0,0,0.0,1,0
7,2011,2011-12-18,14,24.103,IND,,TEN,W 27-13,,,,,,,
8,2012,2012-09-09,1,25.003,IND,@,CHI,L 21-41,,,,,,,
9,2012,2012-09-16,2,25.010,IND,,MIN,W 23-20,,,0,0,0.0,0,0
10,2012,2012-09-23,3,25.017,IND,,JAX,L 17-22,,,,,,,
11,2012,2012-10-14,6,25.038,WAS,,MIN,W 38-26,,,,,,,
12,2012,2012-10-21,7,25.045,WAS,@,NYG,L 23-27,,,0,0,0.0,0,0
13,2012,2012-10-28,8,25.052,WAS,@,PIT,L 12-27,,,0,0,0.0,0,0
14,2012,2012-11-04,9,25.059,WAS,,CAR,L 13-21,,,,,,,
15,2012,2012-11-22,11,25.077,WAS,@,DAL,W 38-31,,,,,,,
16,2012,2012-12-09,13,25.094,CAR,,ATL,W 30-20,,,,,,,
17,2012,2012-12-16,14,25.101,CAR,@,SDG,W 31-7,,,0,0,1.0,1,0
18,2012,2012-12-23,15,25.108,CAR,,OAK,W 17-6,*,,0,0,0.0,3,0
19,2012,2012-12-30,16,25.115,CAR,@,NOR,W 44-38,,,,,,,
20,2013,2013-09-08,1,26.002,CAR,,SEA,L 7-12,,,0,0,0.0,1,1
21,2013,2013-09-15,2,26.009,CAR,@,BUF,L 23-24,,,0,0,0.0,2,0
22,2013,2013-09-22,3,26.016,CAR,,NYG,W 38-0,,,0,0,0.0,2,1
23,2013,2013-10-06,4,26.030,CAR,@,ARI,L 6-22,,,0,0,0.5,1,1
24,2013,2013-10-13,5,26.037,CAR,@,MIN,W 35-10,,,0,0,0.0,0,0
25,2013,2013-10-20,6,26.044,CAR,,STL,W 30-15,,,0,0,0.0,1,0
26,2013,2013-10-24,7,26.048,CAR,@,TAM,W 31-13,,,0,0,0.0,0,0
27,2013,2013-11-03,8,26.058,CAR,,ATL,W 34-10,,,0,0,0.0,2,0
28,2013,2013-11-10,9,26.065,CAR,@,SFO,W 10-9,,,,,,,
29,2013,2013-11-18,10,26.073,CAR,,NWE,W 24-20,,,0,0,0.0,0,2
30,2013,2013-11-24,11,26.079,CAR,@,MIA,W 20-16,*,,0,0,1.0,2,0
31,2013,2013-12-01,12,26.086,CAR,,TAM,W 27-6,*,,,,,,
32,2013,2013-12-08,13,26.093,CAR,@,NOR,L 13-31,,,0,0,0.5,2,1
33,2013,2013-12-15,14,26.100,CAR,,NYJ,W 30-20,,,,,,,
34,2013,2013-12-22,15,26.107,CAR,,NOR,W 17-13,,,0,0,0.5,0,2
35,2013,2013-12-29,16,26.114,CAR,@,ATL,W 21-20,,,,,,,
36,2014,2014-09-07,1,27.001,CAR,@,TAM,W 20-14,,,,,,,
37,2014,2014-09-14,2,27.008,CAR,,DET,W 24-7,,,0,0,2.5,2,1
38,2014,2014-09-21,3,27.015,CAR,,PIT,L 19-37,,,0,0,1.0,1,1
39,2014,2014-09-28,4,27.022,CAR,@,BAL,L 10-38,,,,,,,
40,2014,2014-10-05,5,27.029,CAR,,CHI,W 31-24,,,0,0,0.5,0,1
41,2014,2014-10-12,6,27.036,CAR,@,CIN,T 37-37,,,0,0,0.0,0,1
42,2014,2014-10-19,7,27.043,CAR,@,GNB,L 17-38,,,0,0,0.0,2,0
43,2014,2014-10-26,8,27.050,CAR,,SEA,L 9-13,,,0,0,0.0,0,1
44,2014,2014-10-30,9,27.054,CAR,,NOR,L 10-28,,,0,0,0.0,1,3
45,2014,2014-11-10,10,27.065,CAR,@,PHI,L 21-45,,,0,0,0.0,0,2
46,2014,2014-11-16,11,27.071,CAR,,ATL,L 17-19,,,0,0,1.0,1,1
47,2014,2014-11-30,12,27.085,CAR,@,MIN,L 13-31,,,0,0,0.0,1,0
48,2014,2014-12-07,13,27.092,CAR,@,NOR,W 41-10,,,0,0,1.0,1,0
49,2014,2014-12-14,14,27.099,CAR,,TAM,W 19-17,,,0,0,0.5,0,2
50,2014,2014-12-21,15,27.106,CAR,,CLE,W 17-13,,,,,,,
51,2014,2014-12-28,16,27.113,CAR,@,ATL,W 34-3,,,0,0,0.0,1,0
52,2015,2015-09-13,1,28.007,CAR,@,JAX,W 20-9,,,0,0,2.0,2,0
53,2015,2015-09-20,2,28.014,CAR,,HOU,W 24-17,,,0,0,0.0,0,1
54,2015,2015-09-27,3,28.021,CAR,,NOR,W 27-22,,,0,0,0.0,2,2
55,2015,2015-10-04,4,28.028,CAR,@,TAM,W 37-23,,,0,0,0.0,0,0
56,2015,2015-10-18,5,28.042,CAR,@,SEA,W 27-23,,,0,0,0.0,0,1
57,2015,2015-10-25,6,28.049,CAR,,PHI,W 27-16,,,0,0,1.0,1,1
58,2015,2015-11-08,8,28.063,CAR,,GNB,W 37-29,,,0,0,0.0,0,1
59,2015,2015-11-15,9,28.070,CAR,@,TEN,W 27-10,,,0,0,0.0,0,0
60,2015,2015-11-22,10,28.077,CAR,,WAS,W 44-16,,,0,0,1.5,1,1
61,2015,2015-11-26,11,28.081,CAR,@,DAL,W 33-14,,,0,0,0.0,1,0
62,2015,2015-12-13,13,28.098,CAR,,ATL,W 38-0,,,0,0,0.5,1,1
63,2015,2015-12-20,14,28.105,CAR,@,NYG,W 38-35,,,0,0,0.0,0,0
64,2015,2015-12-27,15,28.112,CAR,@,ATL,L 13-20,,,0,0,0.0,2,0
65,2015,2016-01-03,16,28.119,CAR,,TAM,W 38-10,,,0,0,1.0,1,0
66,2016,2016-09-08,1,29.002,CAR,@,DEN,L 20-21,,,0,0,0.0,0,0
67,2016,2016-09-18,2,29.012,CAR,,SFO,W 46-27,,,0,0,1.0,1,2
68,2016,2016-09-25,3,29.019,CAR,,MIN,L 10-22,,,0,0,0.0,1,0
69,2016,2016-10-02,4,29.026,CAR,@,ATL,L 33-48,,,0,0,0.0,0,0
70,2016,2016-10-10,5,29.034,CAR,,TAM,L 14-17,,,0,0,0.0,2,0
71,2016,2016-10-16,6,29.040,CAR,@,NOR,L 38-41,,,0,0,0.5,1,1
72,2016,2016-10-30,7,29.054,CAR,,ARI,W 30-20,,,0,0,0.0,1,0
73,2016,2016-11-06,8,29.061,CAR,@,LAR,W 13-10,,,0,0,2.0,3,0
74,2016,2016-11-13,9,29.068,CAR,,KAN,L 17-20,,,0,0,1.0,1,0
75,2016,2016-11-17,10,29.072,CAR,,NOR,W 23-20,,,0,0,2.0,2,1
76,2016,2016-12-11,13,29.096,CAR,,SDG,W 28-16,,1,0,2,1.0,1,0
77,2016,2016-12-19,14,29.104,CAR,@,WAS,W 26-15,,,0,0,0.0,2,0
78,2016,2016-12-24,15,29.109,CAR,,ATL,L 16-33,,,0,0,1.0,4,0
79,2016,2017-01-01,16,29.117,CAR,@,TAM,L 16-17,*,,0,0,1.0,3,0
80,2017,2017-09-10,1,30.004,CAR,@,SFO,W 23-3,*,,0,0,0.0,2,0
81,2017,2017-09-17,2,30.011,CAR,,BUF,W 9-3,*,,0,0,1.0,4,0
82,2017,2017-09-24,3,30.018,CAR,,NOR,L 13-34,*,,0,0,1.0,2,4
83,2017,2017-10-01,4,30.025,CAR,@,NWE,W 33-30,*,,0,0,0.0,0,0
84,2017,2017-10-08,5,30.032,CAR,@,DET,W 27-24,*,,0,0,1.0,1,1
85,2017,2017-10-12,6,30.036,CAR,,PHI,L 23-28,*,,0,0,0.0,0,2
86,2017,2017-10-22,7,30.046,CAR,@,CHI,L 3-17,*,,0,0,1.0,3,1
87,2017,2017-10-29,8,30.053,CAR,@,TAM,W 17-3,*,,0,0,1.5,3,2
88,2017,2017-11-05,9,30.060,CAR,,ATL,W 20-17,*,,0,0,1.0,2,0
89,2017,2017-11-13,10,30.068,CAR,,MIA,W 45-21,*,,0,0,0.0,1,1
90,2017,2017-11-26,11,30.081,CAR,@,NYJ,W 35-27,*,,0,0,1.0,1,1
91,2017,2017-12-03,12,30.088,CAR,@,NOR,L 21-31,*,,0,0,1.0,2,0
92,2017,2017-12-10,13,30.095,CAR,,MIN,W 31-24,*,,0,0,1.0,2,1
93,2017,2017-12-17,14,30.102,CAR,,GNB,W 31-24,*,,0,0,0.5,2,1
94,2017,2017-12-24,15,30.109,CAR,,TAM,W 22-19,*,,0,0,0.5,1,2
95,2017,2017-12-31,16,30.116,CAR,@,ATL,L 10-22,*,,0,0,0.5,1,1
96,2018,2018-09-09,1,31.003,CAR,,DAL,W 16-8,*,,0,0,1.5,1,2
97,2018,2018-09-16,2,31.010,CAR,@,ATL,L 24-31,*,,0,0,0.0,3,1
98,2018,2018-09-23,3,31.017,CAR,,CIN,W 31-21,*,,0,0,1.0,1,0
