ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1981,1981-09-06,1,23.070,OAK,@,DEN,L 7-9,0,0,,0,0,0,,0,3,71,23.67,0,0,0
2,1981,1981-09-14,2,23.078,OAK,@,MIN,W 36-10,1,61,61.00,1,0,0,,0,0,0,,0,1,6
3,1981,1981-09-20,3,23.084,OAK,,SEA,W 20-10,0,0,,0,0,0,,0,1,22,22.00,0,0,0
4,1981,1981-09-27,4,23.091,OAK,@,DET,L 0-16,0,0,,0,0,0,,0,2,13,6.50,0,0,0
5,1981,1981-10-04,5,23.098,OAK,,DEN,L 0-17,0,0,,0,,,,,0,0,,0,,
6,1981,1981-10-11,6,23.105,OAK,@,KAN,L 0-27,1,13,13.00,0,0,0,,0,1,24,24.00,0,0,0
7,1981,1981-10-18,7,23.112,OAK,,TAM,W 18-16,0,0,,0,,,,,0,0,,0,,
8,1981,1981-10-25,8,23.119,OAK,,KAN,L 17-28,0,0,,0,,,,,0,0,,0,,
9,1981,1981-11-01,9,23.126,OAK,,NWE,W 27-17,0,0,,0,,,,,0,0,,0,,
10,1981,1981-11-08,10,23.133,OAK,@,HOU,L 16-17,0,0,,0,,,,,0,0,,0,,
11,1981,1981-11-15,11,23.140,OAK,@,MIA,W 33-17,1,19,19.00,0,0,0,,0,0,0,,0,0,0
12,1981,1981-11-22,12,23.147,OAK,,SDG,L 21-55,0,0,,0,0,0,,0,3,48,16.00,0,0,0
13,1981,1981-11-29,13,23.154,OAK,@,SEA,W 32-31,0,0,,0,,,,,0,0,,0,,
14,1981,1981-12-07,14,23.162,OAK,,PIT,W 30-27,0,0,,0,,,,,0,0,,0,,
15,1981,1981-12-13,15,23.168,OAK,,CHI,L 6-23,4,54,13.50,0,0,0,,0,2,44,22.00,0,0,0
16,1981,1981-12-21,16,23.176,OAK,@,SDG,L 10-23,2,43,21.50,0,0,0,,0,3,43,14.33,0,0,0
17,1982,1982-09-12,1,24.076,RAI,@,SFO,W 23-17,,,,,,,,,,,,,,
18,1982,1982-09-19,2,24.083,RAI,@,ATL,W 38-14,3,50,16.67,0,0,0,,0,0,0,,0,0,0
19,1982,1982-11-22,3,24.147,RAI,,SDG,W 28-24,1,4,4.00,0,1,14,14.00,0,0,0,,0,0,0
20,1982,1982-11-28,4,24.153,RAI,@,CIN,L 17-31,4,84,21.00,0,0,0,,0,0,0,,0,0,0
21,1982,1982-12-05,5,24.160,RAI,,SEA,W 28-23,1,6,6.00,0,1,4,4.00,0,0,0,,0,0,0
22,1982,1982-12-12,6,24.167,RAI,@,KAN,W 21-16,4,43,10.75,0,0,0,,0,0,0,,0,0,0
23,1982,1982-12-18,7,24.173,RAI,,RAM,W 37-31,3,53,17.67,0,0,0,,0,0,0,,0,0,0
24,1982,1982-12-26,8,24.181,RAI,,DEN,W 27-10,3,78,26.00,0,0,0,,0,0,0,,0,0,0
25,1982,1983-01-02,9,24.188,RAI,@,SDG,W 41-34,4,69,17.25,0,0,0,,0,0,0,,0,0,0
26,1983,1983-09-04,1,25.068,RAI,@,CIN,W 20-10,5,66,13.20,0,0,0,,0,0,0,,0,0,0
27,1983,1983-09-11,2,25.075,RAI,,HOU,W 20-6,2,31,15.50,0,0,0,,0,0,0,,0,0,0
28,1983,1983-09-19,3,25.083,RAI,,MIA,W 27-14,2,35,17.50,0,0,0,,0,0,0,,0,0,0
29,1983,1983-09-25,4,25.089,RAI,@,DEN,W 22-7,2,25,12.50,0,0,0,,0,0,0,,0,0,0
30,1983,1983-10-02,5,25.096,RAI,@,WAS,L 35-37,3,75,25.00,0,0,0,,0,0,0,,0,0,0
31,1983,1983-10-09,6,25.103,RAI,,KAN,W 21-20,,,,,,,,,,,,,,
32,1983,1983-10-16,7,25.110,RAI,@,SEA,L 36-38,1,19,19.00,0,0,0,,0,0,0,,0,0,0
33,1983,1983-10-23,8,25.117,RAI,@,DAL,W 40-38,2,26,13.00,0,0,0,,0,0,0,,0,0,0
34,1983,1983-10-30,9,25.124,RAI,,SEA,L 21-34,2,22,11.00,0,1,12,12.00,0,0,0,,0,0,0
35,1983,1983-11-06,10,25.131,RAI,@,KAN,W 28-20,3,33,11.00,0,0,0,,0,0,0,,0,0,0
36,1983,1983-11-13,11,25.138,RAI,,DEN,W 22-20,1,10,10.00,0,0,0,,0,0,0,,0,0,0
37,1983,1983-11-20,12,25.145,RAI,@,BUF,W 27-24,2,15,7.50,0,0,0,,0,0,0,,0,0,0
38,1983,1983-11-27,13,25.152,RAI,,NYG,W 27-12,5,82,16.40,1,0,0,,0,0,0,,0,1,6
39,1983,1983-12-01,14,25.156,RAI,@,SDG,W 42-10,1,8,8.00,0,0,0,,0,0,0,,0,0,0
40,1983,1983-12-11,15,25.166,RAI,,STL,L 24-34,2,12,6.00,0,0,0,,0,0,0,,0,0,0
41,1983,1983-12-18,16,25.173,RAI,,SDG,W 30-14,2,54,27.00,0,0,0,,0,0,0,,0,0,0
42,1984,1984-09-02,1,26.066,RAI,@,HOU,W 24-14,,,,,,,,,,,,,,
43,1984,1984-09-09,2,26.073,RAI,,GNB,W 28-7,3,54,18.00,0,0,0,,0,0,0,,0,0,0
44,1984,1984-09-16,3,26.080,RAI,@,KAN,W 22-20,8,129,16.13,0,0,0,,0,0,0,,0,0,0
45,1984,1984-09-24,4,26.088,RAI,,SDG,W 33-30,3,62,20.67,0,0,0,,0,0,0,,0,0,0
46,1984,1984-09-30,5,26.094,RAI,@,DEN,L 13-16,1,48,48.00,0,0,0,,0,0,0,,0,0,0
47,1984,1984-10-07,6,26.101,RAI,,SEA,W 28-14,4,66,16.50,0,0,0,,0,0,0,,0,0,0
48,1984,1984-10-14,7,26.108,RAI,,MIN,W 23-20,6,86,14.33,0,0,0,,0,0,0,,0,0,0
49,1984,1984-10-21,8,26.115,RAI,@,SDG,W 44-37,2,96,48.00,2,0,0,,0,0,0,,0,2,12
50,1984,1984-10-28,9,26.122,RAI,,DEN,L 19-22,4,77,19.25,0,0,0,,0,0,0,,0,0,0
51,1984,1984-11-04,10,26.129,RAI,@,CHI,L 6-17,,,,,,,,,,,,,,
52,1984,1984-11-12,11,26.137,RAI,@,SEA,L 14-17,2,57,28.50,0,0,0,,0,0,0,,0,0,0
53,1984,1984-11-18,12,26.143,RAI,,KAN,W 17-7,,,,,,,,,,,,,,
54,1984,1984-11-25,13,26.150,RAI,,IND,W 21-7,4,46,11.50,0,0,0,,0,0,0,,0,0,0
55,1984,1984-12-02,14,26.157,RAI,@,MIA,W 45-34,2,24,12.00,0,0,0,,0,0,0,,0,0,0
56,1984,1984-12-10,15,26.165,RAI,@,DET,W 24-3,3,54,18.00,0,0,0,,0,0,0,,0,0,0
57,1984,1984-12-16,16,26.171,RAI,,PIT,L 7-13,3,52,17.33,0,0,0,,0,0,0,,0,0,0
58,1985,1985-09-09,1,27.073,WAS,@,DAL,L 14-44,2,15,7.50,0,0,0,,0,0,0,,0,0,0
59,1985,1985-10-07,5,27.101,WAS,,STL,W 27-10,1,13,13.00,0,0,0,,0,0,0,,0,0,0
60,1985,1985-10-13,6,27.107,WAS,,DET,W 24-3,0,0,,0,,,,,,,,,,
