ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2016,2016-09-11,1,22.114,SEA,,MIA,W 12-10,,1,-2,-2.00,0,1,1,13,13.00,0,100.0%,13.00,0,0
2,2016,2016-10-23,6,22.156,SEA,@,ARI,T 6-6,,1,0,0.00,0,3,2,17,8.50,0,66.7%,5.67,0,0
3,2016,2016-10-30,7,22.163,SEA,@,NOR,L 20-25,,4,23,5.75,0,4,4,80,20.00,0,100.0%,20.00,0,0
4,2016,2016-11-07,8,22.171,SEA,,BUF,W 31-25,,3,9,3.00,0,1,1,6,6.00,0,100.0%,6.00,0,0
5,2016,2016-11-13,9,22.177,SEA,@,NWE,W 31-24,*,17,66,3.88,0,7,7,87,12.43,0,100.0%,12.43,0,0
6,2016,2016-11-20,10,22.184,SEA,,PHI,W 26-15,*,4,76,19.00,1,3,2,5,2.50,0,66.7%,1.67,1,6
7,2017,2017-09-10,1,23.113,SEA,@,GNB,L 9-17,,4,11,2.75,0,0,0,0,,0,0.0%,,0,0
8,2017,2017-09-17,2,23.120,SEA,,SFO,W 12-9,,0,0,,0,6,3,22,7.33,0,50.0%,3.67,0,0
9,2017,2017-09-24,3,23.127,SEA,@,TEN,L 27-33,,4,9,2.25,0,5,3,65,21.67,0,60.0%,13.00,0,0
10,2017,2017-10-22,6,23.155,SEA,@,NYG,W 24-7,,0,0,,0,0,0,0,,0,0.0%,,0,0
11,2017,2017-11-09,9,23.173,SEA,@,ARI,W 22-16,,3,3,1.00,0,0,0,0,,0,0.0%,,0,0
12,2018,2018-09-09,1,24.112,SEA,@,DEN,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,0,0
13,2018,2018-09-17,2,24.120,SEA,@,CHI,L 17-24,,0,0,,0,3,3,22,7.33,0,100.0%,7.33,0,0
