ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-09-08,1,21.007,DEN,,STL,W 23-16,,5,34,6.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,,
2,2002,2002-09-15,2,21.014,DEN,@,SFO,W 24-14,,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,,
3,2002,2002-09-22,3,21.021,DEN,,BUF,W 28-23,,18,103,5.72,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,1,6,0.0,,
4,2002,2002-09-30,4,21.029,DEN,@,BAL,L 23-34,,8,55,6.88,0,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,,,,,0,0,0.0,,
5,2002,2002-10-06,5,21.035,DEN,,SDG,W 26-9,*,20,102,5.10,0,3,2,17,8.50,1,66.7%,5.67,0,0,,0,0,0,,,,,,1,6,0.0,,
6,2002,2002-10-13,6,21.042,DEN,,MIA,L 22-24,*,18,75,4.17,0,7,6,67,11.17,0,85.7%,9.57,0,0,,0,0,0,,,,,,0,0,0.0,,
7,2002,2002-10-20,7,21.049,DEN,@,KAN,W 37-34,*,15,70,4.67,1,6,3,14,4.67,0,50.0%,2.33,0,0,,0,0,0,,,,,,1,6,0.0,,
8,2002,2002-10-27,8,21.056,DEN,@,NWE,W 24-16,*,26,111,4.27,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,12,0.0,,
9,2002,2002-11-11,9,21.071,DEN,,OAK,L 10-34,*,14,50,3.57,1,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,,,,,1,6,0.0,,
10,2002,2002-11-17,10,21.077,DEN,@,SEA,W 31-9,*,23,136,5.91,0,3,2,52,26.00,0,66.7%,17.33,0,0,,0,0,0,,,,,,0,0,0.0,,
11,2002,2002-11-24,11,21.084,DEN,,IND,L 20-23,*,18,88,4.89,2,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,2,12,0.0,,
12,2002,2002-12-01,12,21.091,DEN,@,SDG,L 27-30,*,23,159,6.91,2,5,3,34,11.33,0,60.0%,6.80,0,0,,0,0,0,,,,,,2,12,0.0,,
13,2002,2002-12-08,13,21.098,DEN,@,NYJ,L 13-19,*,24,103,4.29,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,,,,,0,0,0.0,,
14,2002,2002-12-15,14,21.105,DEN,,KAN,W 31-24,*,21,130,6.19,3,3,3,75,25.00,1,100.0%,25.00,0,0,,0,0,0,,,,,,4,24,0.0,,
15,2002,2002-12-22,15,21.112,DEN,@,OAK,L 16-28,*,12,52,4.33,1,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,,,,,1,6,0.0,,
16,2002,2002-12-29,16,21.119,DEN,,ARI,W 37-7,*,24,228,9.50,2,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,2,12,0.0,,
17,2003,2003-09-07,1,22.006,DEN,@,CIN,W 30-10,*,24,120,5.00,2,5,5,39,7.80,0,100.0%,7.80,0,0,,0,0,0,,,,,,2,12,0.0,,
18,2003,2003-09-14,2,22.013,DEN,@,SDG,W 37-13,*,12,129,10.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,,
19,2003,2003-09-22,3,22.021,DEN,,OAK,W 31-10,*,10,42,4.20,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,,,,,0,0,0.0,,
20,2003,2003-10-05,5,22.034,DEN,@,KAN,L 23-24,*,23,141,6.13,1,7,5,79,15.80,0,71.4%,11.29,0,0,,0,0,0,,,,,,1,6,0.0,,
21,2003,2003-10-12,6,22.041,DEN,,PIT,W 17-14,*,15,47,3.13,0,5,5,26,5.20,0,100.0%,5.20,0,0,,0,0,0,,,,,,0,0,0.0,,
22,2003,2003-10-19,7,22.048,DEN,@,MIN,L 20-28,*,25,117,4.68,1,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,,,,,,1,6,0.0,,
23,2003,2003-10-26,8,22.055,DEN,@,BAL,L 6-26,*,22,86,3.91,0,7,6,29,4.83,0,85.7%,4.14,0,0,,0,0,0,,,,,,0,0,0.0,,
24,2003,2003-11-03,9,22.063,DEN,,NWE,L 26-30,*,26,111,4.27,1,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,,,,,1,6,0.0,,
25,2003,2003-11-16,10,22.076,DEN,,SDG,W 37-8,*,25,106,4.24,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0,0.0,,
26,2003,2003-11-23,11,22.083,DEN,,CHI,L 10-19,*,14,165,11.79,0,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,,,,,0,0,0.0,,
27,2003,2003-11-30,12,22.090,DEN,@,OAK,W 22-8,*,34,170,5.00,2,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,,,,2,12,0.0,,
28,2003,2003-12-07,13,22.097,DEN,,KAN,W 45-27,*,22,218,9.91,5,3,2,36,18.00,0,66.7%,12.00,0,0,,0,0,0,,,,,,5,30,0.0,,
29,2003,2003-12-14,14,22.104,DEN,,CLE,W 23-20,*,38,139,3.66,2,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,,,,,2,12,0.0,,
30,2004,2004-09-12,1,23.011,WAS,,TAM,W 16-10,*,29,148,5.10,1,5,4,15,3.75,0,80.0%,3.00,0,0,,0,0,0,,0,,,,1,6,0.0,,
31,2004,2004-09-19,2,23.018,WAS,@,NYG,L 14-20,*,20,69,3.45,0,5,2,29,14.50,1,40.0%,5.80,0,0,,0,0,0,,0,,,,1,6,0.0,,
32,2004,2004-09-27,3,23.026,WAS,,DAL,L 18-21,*,23,94,4.09,0,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,0,,,,0,0,0.0,,
33,2004,2004-10-03,4,23.032,WAS,@,CLE,L 13-17,*,20,58,2.90,1,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,,,,1,6,0.0,,
34,2004,2004-10-10,5,23.039,WAS,,BAL,L 10-17,*,25,53,2.12,0,6,4,16,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,,,,0,0,0.0,,
35,2004,2004-10-17,6,23.046,WAS,@,CHI,W 13-10,*,36,171,4.75,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
36,2004,2004-10-31,7,23.060,WAS,,GNB,L 14-28,*,17,70,4.12,0,9,7,17,2.43,0,77.8%,1.89,0,0,,0,0,0,,0,,,,0,0,0.0,,
37,2004,2004-11-07,8,23.067,WAS,@,DET,W 17-10,*,34,147,4.32,0,2,1,11,11.00,0,50.0%,5.50,1,1,100.00,15,1,0,158.3,0,0,15.00,35.00,0,0,0.0,,
38,2004,2004-11-14,9,23.074,WAS,,CIN,L 10-17,*,17,81,4.76,0,6,4,32,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,,,,0,0,0.0,,
39,2004,2004-11-21,10,23.081,WAS,@,PHI,L 6-28,*,17,37,2.18,0,3,1,-4,-4.00,0,33.3%,-1.33,0,0,,0,0,0,,0,,,,0,0,0.0,,
40,2004,2004-11-28,11,23.088,WAS,@,PIT,L 7-16,*,6,17,2.83,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
41,2004,2004-12-05,12,23.095,WAS,,NYG,W 31-7,*,31,148,4.77,1,3,3,14,4.67,1,100.0%,4.67,0,0,,0,0,0,,0,,,,2,12,0.0,,
42,2004,2004-12-12,13,23.102,WAS,,PHI,L 14-17,*,23,80,3.48,2,5,4,22,5.50,0,80.0%,4.40,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,12,0.0,,
43,2004,2004-12-18,14,23.108,WAS,@,SFO,W 26-16,*,35,110,3.14,0,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
44,2004,2004-12-26,15,23.116,WAS,@,DAL,L 10-13,*,10,32,3.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,0.0,,
45,2005,2005-09-11,1,24.010,WAS,,CHI,W 9-7,*,21,121,5.76,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
46,2005,2005-09-19,2,24.018,WAS,@,DAL,W 14-13,*,17,52,3.06,0,5,4,25,6.25,0,80.0%,5.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
47,2005,2005-10-02,3,24.031,WAS,,SEA,W 20-17,*,25,90,3.60,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
48,2005,2005-10-09,4,24.038,WAS,@,DEN,L 19-21,*,20,103,5.15,0,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
49,2005,2005-10-16,5,24.045,WAS,@,KAN,L 21-28,*,21,77,3.67,0,4,4,51,12.75,0,100.0%,12.75,0,0,,0,0,0,,0,,,,0,0,0.0,,
50,2005,2005-10-23,6,24.052,WAS,,SFO,W 52-17,*,19,101,5.32,3,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,,,,3,18,0.0,,
51,2005,2005-10-30,7,24.059,WAS,@,NYG,L 0-36,*,4,9,2.25,0,4,3,13,4.33,0,75.0%,3.25,0,0,,0,0,0,,0,,,,0,0,0.0,,
52,2005,2005-11-06,8,24.066,WAS,,PHI,W 17-10,*,21,67,3.19,1,3,3,8,2.67,0,100.0%,2.67,0,0,,0,0,0,,0,,,,1,6,0.0,,
53,2005,2005-11-13,9,24.073,WAS,@,TAM,L 35-36,*,23,144,6.26,1,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,,,,1,6,0.0,,
54,2005,2005-11-20,10,24.080,WAS,,OAK,L 13-16,*,22,92,4.18,0,3,1,-6,-6.00,0,33.3%,-2.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
55,2005,2005-11-27,11,24.087,WAS,,SDG,L 17-23,*,29,87,3.00,0,3,1,23,23.00,0,33.3%,7.67,0,0,,0,0,0,,0,,,,0,0,0.0,,
56,2005,2005-12-04,12,24.094,WAS,@,STL,W 24-9,*,27,136,5.04,2,1,1,1,1.00,0,100.0%,1.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,12,0.0,,
57,2005,2005-12-11,13,24.101,WAS,@,ARI,W 17-13,*,26,105,4.04,1,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,,,,1,6,0.0,,
58,2005,2005-12-18,14,24.108,WAS,,DAL,W 35-7,*,23,112,4.87,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
59,2005,2005-12-24,15,24.114,WAS,,NYG,W 35-20,*,27,108,4.00,1,1,1,10,10.00,0,100.0%,10.00,1,1,100.00,17,1,0,158.3,0,0,17.00,37.00,1,6,0.0,,
60,2005,2006-01-01,16,24.122,WAS,@,PHI,W 31-20,*,27,112,4.15,2,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,,,2,12,0.0,,
61,2006,2006-09-11,1,25.010,WAS,,MIN,L 16-19,,10,39,3.90,1,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,,,,,1,6,0.0,,
62,2006,2006-09-24,3,25.023,WAS,@,HOU,W 31-15,*,16,86,5.38,2,2,2,78,39.00,0,100.0%,39.00,0,0,,0,0,0,,,,,,2,12,0.0,,
63,2006,2006-10-01,4,25.030,WAS,,JAX,W 36-30,*,27,112,4.15,1,4,2,28,14.00,0,50.0%,7.00,0,0,,0,0,0,,,,,,1,6,0.0,,
64,2006,2006-10-08,5,25.037,WAS,@,NYG,L 3-19,*,19,76,4.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,0.0,,
65,2006,2006-10-15,6,25.044,WAS,,TEN,L 22-25,*,14,58,4.14,2,6,5,17,3.40,0,83.3%,2.83,0,0,,0,0,0,,,,,,2,12,0.0,,
66,2006,2006-10-22,7,25.051,WAS,@,IND,L 22-36,*,12,43,3.58,0,6,4,21,5.25,0,66.7%,3.50,0,0,,0,0,0,,,,,,0,0,0.0,,
67,2006,2006-11-05,8,25.065,WAS,,DAL,W 22-19,*,23,84,3.65,1,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,,,,,1,6,0.0,,
68,2006,2006-11-12,9,25.072,WAS,@,PHI,L 3-27,*,6,25,4.17,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,0.0,,
69,2007,2007-09-09,1,26.008,WAS,,MIA,W 16-13,*,17,98,5.76,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,6,0.0,,
70,2007,2007-09-17,2,26.016,WAS,@,PHI,W 20-12,*,17,69,4.06,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,,,1,6,0.0,,
71,2007,2007-09-23,3,26.022,WAS,,NYG,L 17-24,*,14,60,4.29,1,7,6,37,6.17,0,85.7%,5.29,0,0,,0,0,0,,0,,,,1,6,0.0,,
72,2007,2007-10-07,4,26.036,WAS,,DET,W 34-3,*,18,72,4.00,0,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,,,,0,0,0.0,,
73,2007,2007-10-14,5,26.043,WAS,@,GNB,L 14-17,*,20,64,3.20,0,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,,,,0,0,0.0,,
74,2007,2007-10-21,6,26.050,WAS,,ARI,W 21-19,*,18,43,2.39,2,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,,,,2,12,0.0,,
75,2007,2007-10-28,7,26.057,WAS,@,NWE,L 7-52,*,11,27,2.45,0,6,5,54,10.80,0,83.3%,9.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
76,2007,2007-11-04,8,26.064,WAS,@,NYJ,W 23-20,*,36,196,5.44,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,1,6,0.0,,
77,2007,2007-11-11,9,26.071,WAS,,PHI,L 25-33,*,30,137,4.57,0,5,4,20,5.00,0,80.0%,4.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
78,2007,2007-11-18,10,26.078,WAS,@,DAL,L 23-28,*,12,36,3.00,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
79,2007,2007-11-25,11,26.085,WAS,@,TAM,L 13-19,*,20,68,3.40,0,8,5,33,6.60,0,62.5%,4.13,0,0,,0,0,0,,0,,,,0,0,0.0,,
80,2007,2007-12-02,12,26.092,WAS,,BUF,L 16-17,*,25,50,2.00,1,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,1,6,0.0,,
81,2007,2007-12-06,13,26.096,WAS,,CHI,W 24-16,*,17,36,2.12,0,6,6,86,14.33,0,100.0%,14.33,0,0,,0,0,0,,0,,,,0,0,0.0,,
82,2007,2007-12-16,14,26.106,WAS,@,NYG,W 22-10,*,25,126,5.04,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,1,6,0.0,,
83,2007,2007-12-23,15,26.113,WAS,@,MIN,W 32-21,*,20,76,3.80,1,5,5,48,9.60,0,100.0%,9.60,1,1,100.00,15,1,0,158.3,1,2,15.00,35.00,1,6,0.0,,
84,2007,2007-12-30,16,26.120,WAS,,DAL,W 27-6,*,25,104,4.16,2,5,4,27,6.75,0,80.0%,5.40,0,0,,0,0,0,,0,,,,2,12,0.0,,
85,2008,2008-09-04,1,27.003,WAS,@,NYG,L 7-16,*,23,84,3.65,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,0,0
86,2008,2008-09-14,2,27.013,WAS,,NOR,W 29-24,*,21,96,4.57,2,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,,,,,2,12,0.0,0,0
87,2008,2008-09-21,3,27.020,WAS,,ARI,W 24-17,*,21,68,3.24,1,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,,,,,1,6,0.0,0,0
88,2008,2008-09-28,4,27.027,WAS,@,DAL,W 26-24,*,21,121,5.76,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,0.0,0,0
89,2008,2008-10-05,5,27.034,WAS,@,PHI,W 23-17,*,29,145,5.00,1,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,1,6,0.0,0,0
90,2008,2008-10-12,6,27.041,WAS,,STL,L 17-19,*,21,129,6.14,2,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,,,,,2,12,0.0,0,0
91,2008,2008-10-19,7,27.048,WAS,,CLE,W 14-11,*,27,175,6.48,1,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,1,6,0.0,0,0
92,2008,2008-10-26,8,27.055,WAS,@,DET,W 25-17,*,24,126,5.25,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,0.0,0,0
93,2008,2008-11-03,9,27.063,WAS,,PIT,L 6-23,*,13,51,3.92,0,10,7,73,10.43,0,70.0%,7.30,0,0,,0,0,0,,,,,,0,0,0.0,1,0
94,2008,2008-11-16,10,27.076,WAS,,DAL,L 10-14,*,15,68,4.53,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0,0.0,0,0
95,2008,2008-11-23,11,27.083,WAS,@,SEA,W 20-17,*,29,143,4.93,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,0.0,0,0
96,2008,2008-11-30,12,27.090,WAS,,NYG,L 7-23,*,11,22,2.00,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,0,0,0.0,0,0
97,2008,2008-12-07,13,27.097,WAS,@,BAL,L 10-24,*,11,32,2.91,0,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,,,,,,0,0,0.0,1,0
98,2008,2008-12-14,14,27.104,WAS,@,CIN,L 13-20,*,25,77,3.08,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,0.0,0,0
99,2008,2008-12-21,15,27.111,WAS,,PHI,W 10-3,*,22,70,3.18,1,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,1,6,0.0,0,0
100,2008,2008-12-28,16,27.118,WAS,@,SFO,L 24-27,*,29,80,2.76,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6,0.0,1,0
101,2009,2009-09-13,1,28.012,WAS,@,NYG,L 17-23,*,16,62,3.88,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
102,2009,2009-09-20,2,28.019,WAS,,STL,W 9-7,*,19,79,4.16,0,3,2,9,4.50,0,66.7%,3.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0.0,0,0
103,2009,2009-09-27,3,28.026,WAS,@,DET,L 14-19,*,12,42,3.50,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
104,2009,2009-10-04,4,28.033,WAS,,TAM,W 16-13,*,25,98,3.92,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
105,2009,2009-10-11,5,28.040,WAS,@,CAR,L 17-20,*,19,57,3.00,1,3,2,17,8.50,1,66.7%,5.67,0,0,,0,0,0,,0,,,,2,12,0.0,0,0
106,2009,2009-10-18,6,28.047,WAS,,KAN,L 6-14,*,15,109,7.27,0,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
107,2009,2009-10-26,7,28.055,WAS,,PHI,L 17-27,*,14,43,3.07,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
108,2009,2009-11-08,8,28.068,WAS,@,ATL,L 17-31,*,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
109,2010,2010-09-12,1,29.011,WAS,,DAL,W 13-7,*,18,63,3.50,0,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,,,,,0,0,0.0,0,0
110,2010,2010-09-19,2,29.018,WAS,,HOU,L 27-30,*,13,33,2.54,2,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,2,12,0.0,0,0
111,2010,2010-09-26,3,29.025,WAS,@,STL,L 16-30,*,7,44,6.29,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,,,,,0,0,0.0,0,0
112,2010,2010-10-03,4,29.032,WAS,@,PHI,W 17-12,*,11,55,5.00,0,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,,,,,0,0,0.0,0,0
113,2010,2010-11-21,10,29.081,WAS,@,TEN,W 19-16,*,5,32,6.40,0,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,,,,,0,0,0.0,0,0
