ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,22.017,PIT,,DAL,L 7-37,,0,,,,,0.0%,,0,0,,0,,,,,,,,
2,1997,1997-09-07,2,22.024,PIT,,WAS,W 14-13,,,,,,,0.0%,,0,0,,0,,,,,,,,
3,1997,1997-09-22,3,22.039,PIT,@,JAX,L 21-30,,,,,,,0.0%,,0,0,,0,,,,,,,,
4,1997,1997-09-28,4,22.045,PIT,,TEN,W 37-24,,,,,,,0.0%,,0,0,,0,,,,,,,,
5,1997,1997-10-05,5,22.052,PIT,@,BAL,W 42-34,,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
6,1997,1997-10-12,6,22.059,PIT,,IND,W 24-22,,0,,,,,0.0%,,0,0,,0,,,,,,,,
7,1997,1997-10-26,8,22.073,PIT,,JAX,W 23-17,,,,,,,0.0%,,0,0,,0,,,,,,,,
8,1997,1997-11-03,9,22.081,PIT,@,KAN,L 10-13,,,,,,,0.0%,,0,0,,0,,,,,,,,
9,1997,1997-11-09,10,22.087,PIT,,BAL,W 37-0,,0,,,,,0.0%,,0,0,,0,,,,,,,,
10,1997,1997-11-16,11,22.094,PIT,,CIN,W 20-3,,,,,,,0.0%,,0,0,,0,,,,,,,,
11,1997,1997-11-23,12,22.101,PIT,@,PHI,L 20-23,,0,,,,,0.0%,,0,0,,0,,,,,,,,
12,1997,1997-11-30,13,22.108,PIT,@,ARI,W 26-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,,,0,0,0
13,1997,1997-12-07,14,22.115,PIT,,DEN,W 35-24,,0,,,,,0.0%,,0,0,,0,,,,,,,,
14,1997,1997-12-13,15,22.121,PIT,@,NWE,W 24-21,,,,,,,0.0%,,0,0,,0,,,,,,,,
15,1997,1997-12-21,16,22.129,PIT,@,TEN,L 6-16,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,,,0,0,0
16,1998,1998-09-13,2,23.030,PIT,,CHI,W 17-12,,,0,0,,0,0.0%,,0,0,,0,0,0,0.5,,,0,0,0
17,1998,1998-09-20,3,23.037,PIT,@,MIA,L 0-21,,,,,,,0.0%,,,,,,,,,,,,,
18,1998,1998-09-27,4,23.044,PIT,,SEA,W 13-10,,,,,,,0.0%,,,,,,,,,,,,,
19,1998,1998-10-11,5,23.058,PIT,@,CIN,L 20-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
20,1998,1998-10-18,6,23.065,PIT,,BAL,W 16-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
21,1998,1998-11-26,12,23.104,PIT,@,DET,L 16-19,,,,,,,0.0%,,,,,,,,,,,,,
22,1998,1998-12-06,13,23.114,PIT,,NWE,L 9-23,,,,,,,0.0%,,,,,,,,,,,,,
23,1998,1998-12-13,14,23.121,PIT,@,TAM,L 3-16,,,,,,,0.0%,,,,,,,,,,,,,
24,1998,1998-12-20,15,23.128,PIT,,CIN,L 24-25,,,,,,,0.0%,,,,,,,,,,,,,
25,1998,1998-12-28,16,23.136,PIT,@,JAX,L 3-21,,,,,,,0.0%,,,,,,,,,,,,,
26,1999,1999-10-25,7,24.072,PIT,,ATL,W 13-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
27,1999,1999-11-07,8,24.085,PIT,@,SFO,W 27-6,,0,,,,,0.0%,,,,,,,,,,,,,
28,1999,1999-11-14,9,24.092,PIT,,CLE,L 15-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
29,1999,1999-11-21,10,24.099,PIT,@,TEN,L 10-16,,,,,,,0.0%,,,,,,,,,,,,,
30,1999,1999-11-28,11,24.106,PIT,,CIN,L 20-27,,0,,,,,0.0%,,,,,,,,,,,,,
31,1999,1999-12-02,12,24.110,PIT,@,JAX,L 6-20,,0,,,,,0.0%,,,,,,,,,,,,,
32,1999,1999-12-12,13,24.120,PIT,,BAL,L 24-31,,,,,,,0.0%,,,,,,,,,,,,,
33,1999,1999-12-18,14,24.126,PIT,@,KAN,L 19-35,,0,0,0,,0,0.0%,,1,6,6.00,0,0,0,0.0,,,0,0,0
34,1999,1999-12-26,15,24.134,PIT,,CAR,W 30-20,,0,,,,,0.0%,,,,,,,,,,,,,
35,1999,2000-01-02,16,24.141,PIT,,TEN,L 36-47,,,,,,,0.0%,,,,,,,,,,,,,
36,2000,2000-09-03,1,25.020,PIT,,BAL,L 0-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
37,2000,2000-09-17,2,25.034,PIT,@,CLE,L 20-23,,,,,,,0.0%,,,,,,,,,,,,,
38,2000,2000-09-24,3,25.041,PIT,,TEN,L 20-23,,0,,,,,0.0%,,,,,,,,,,,,,
39,2000,2000-10-01,4,25.048,PIT,@,JAX,W 24-13,,0,,,,,0.0%,,,,,,,,,,,,,
40,2000,2000-10-08,5,25.055,PIT,@,NYJ,W 20-3,,0,,,,,0.0%,,,,,,,,,,,,,
41,2000,2000-10-15,6,25.062,PIT,,CIN,W 15-0,,0,,,,,0.0%,,,,,,,,,,,,,
42,2000,2000-10-22,7,25.069,PIT,,CLE,W 22-0,,0,,,,,0.0%,,,,,,,,,,,,,
43,2000,2000-10-29,8,25.076,PIT,@,BAL,W 9-6,,0,,,,,0.0%,,,,,,,,,,,,,
44,2000,2000-11-05,9,25.083,PIT,@,TEN,L 7-9,,,,,,,0.0%,,,,,,,,,,,,,
45,2000,2000-11-12,10,25.090,PIT,,PHI,L 23-26,,,,,,,0.0%,,,,,,,,,,,,,
46,2000,2000-11-19,11,25.097,PIT,,JAX,L 24-34,,0,,,,,0.0%,,,,,,,,,,,,,
47,2000,2000-11-26,12,25.104,PIT,@,CIN,W 48-28,,0,,,,,0.0%,,,,,,,,,,,,,
48,2000,2000-12-03,13,25.111,PIT,,OAK,W 21-20,,,,,,,0.0%,,,,,,,,,,,,,
49,2000,2000-12-16,15,25.124,PIT,,WAS,W 24-3,,,,,,,0.0%,,,,,,,,,,,,,
50,2000,2000-12-24,16,25.132,PIT,@,SDG,W 34-21,,0,,,,,0.0%,,,,,,,,,,,,,
51,2001,2001-09-09,1,26.026,NWE,@,CIN,L 17-23,*,0,,,,,0.0%,,,,,,,,,,,,,
52,2001,2001-09-23,2,26.040,NWE,,NYJ,L 3-10,*,0,,,,,0.0%,,,,,,,,,,,,,
53,2001,2001-09-30,3,26.047,NWE,,IND,W 44-13,*,0,,,,,0.0%,,,,,,,,,,,,,
54,2001,2001-10-07,4,26.054,NWE,@,MIA,L 10-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,1,15,0
55,2001,2001-10-14,5,26.061,NWE,,SDG,W 29-26,*,0,,,,,0.0%,,,,,,,,,,,,,
56,2001,2001-10-21,6,26.068,NWE,@,IND,W 38-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
57,2001,2001-10-28,7,26.075,NWE,@,DEN,L 20-31,,,,,,,0.0%,,,,,,,,,,,,,
