ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2001,2001-09-09,1,24.174,TEN,,MIA,L 23-31,,,,,,,,,
2,2001,2001-09-23,2,24.188,TEN,@,JAX,L 6-13,*,0,0,,0,3,58,19.33,0
3,2001,2001-10-07,3,24.202,TEN,@,BAL,L 7-26,*,0,0,,0,1,2,2.00,0
4,2001,2001-10-14,4,24.209,TEN,,TAM,W 31-28,,0,0,,0,4,49,12.25,0
5,2001,2001-10-21,5,24.216,TEN,@,DET,W 27-24,*,0,0,,0,3,1,0.33,0
6,2001,2001-10-29,6,24.224,TEN,@,PIT,L 7-34,,,,,,,,,
7,2001,2001-11-04,7,24.230,TEN,,JAX,W 28-24,,,,,,,,,
8,2001,2001-11-12,8,24.238,TEN,,BAL,L 10-16,,,,,,,,,
9,2001,2001-11-18,9,24.244,TEN,@,CIN,W 20-7,,,,,,,,,
10,2001,2001-11-25,10,24.251,TEN,,PIT,L 24-34,,,,,,,,,
11,2001,2001-12-02,11,24.258,TEN,@,CLE,W 31-15,,,,,,,,,
12,2001,2001-12-09,12,24.265,TEN,@,MIN,L 24-42,,1,19,19.00,0,0,0,,0
13,2001,2001-12-16,13,24.272,TEN,,GNB,W 26-20,,,,,,,,,
14,2001,2001-12-22,14,24.278,TEN,@,OAK,W 13-10,,,,,,,,,
15,2001,2001-12-30,15,24.286,TEN,,CLE,L 38-41,,2,14,7.00,0,1,8,8.00,0
16,2001,2002-01-06,16,24.293,TEN,,CIN,L 21-23,,0,0,,0,2,7,3.50,0
17,2002,2002-12-01,12,25.257,IND,,HOU,W 19-3,,,,,,,,,
18,2002,2002-12-08,13,25.264,IND,@,TEN,L 17-27,,2,22,11.00,0,0,0,,0
19,2002,2002-12-15,14,25.271,IND,@,CLE,W 28-23,,0,0,,0,2,6,3.00,0
20,2002,2002-12-22,15,25.278,IND,,NYG,L 27-44,,1,28,28.00,0,0,0,,0
21,2002,2002-12-29,16,25.285,IND,,JAX,W 20-13,,,,,,,,,
