ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2006,2006-09-10,1,22.312,NWE,,BUF,W 19-17,,,,,,,
2,2006,2006-09-17,2,22.319,NWE,@,NYJ,W 24-17,,,,,,,
3,2006,2006-09-24,3,22.326,NWE,,DEN,L 7-17,,,,,,,
4,2006,2006-10-01,4,22.333,NWE,@,CIN,W 38-13,,,,,,,
5,2006,2006-10-22,6,22.354,NWE,@,BUF,W 28-6,,,,,,,
6,2006,2006-10-30,7,22.362,NWE,@,MIN,W 31-7,,,,,,,
7,2006,2006-11-05,8,23.003,NWE,,IND,L 20-27,,,,,,,
8,2006,2006-11-12,9,23.010,NWE,,NYJ,L 14-17,,,,,,,
9,2006,2006-11-19,10,23.017,NWE,@,GNB,W 35-0,,,,,,,
10,2006,2006-11-26,11,23.024,NWE,,CHI,W 17-13,,,,,,,
11,2006,2006-12-03,12,23.031,NWE,,DET,W 28-21,,,,,,,
12,2006,2006-12-10,13,23.038,NWE,@,MIA,L 0-21,,,,,,,
13,2006,2006-12-17,14,23.045,NWE,,HOU,W 40-7,,,,,,,
14,2006,2006-12-24,15,23.052,NWE,@,JAX,W 24-21,,,,,,,
15,2006,2006-12-31,16,23.059,NWE,@,TEN,W 40-23,,,,,,,
16,2007,2007-09-09,1,23.311,NWE,@,NYJ,W 38-14,,,,,,,
17,2007,2007-09-16,2,23.318,NWE,,SDG,W 38-14,,,,,,,
18,2007,2007-09-23,3,23.325,NWE,,BUF,W 38-7,,,,,,,
19,2007,2007-10-01,4,23.333,NWE,@,CIN,W 34-13,,1,24,24.00,0,0,0
20,2007,2007-10-07,5,23.339,NWE,,CLE,W 34-17,,,,,,,
21,2007,2007-10-14,6,23.346,NWE,@,DAL,W 48-27,,,,,,,
22,2007,2007-10-21,7,23.353,NWE,@,MIA,W 49-28,,1,77,77.00,1,1,6
23,2007,2007-10-28,8,23.360,NWE,,WAS,W 52-7,,,,,,,
24,2007,2007-11-04,9,24.002,NWE,@,IND,W 24-20,,,,,,,
25,2007,2007-11-18,10,24.016,NWE,@,BUF,W 56-10,,1,15,15.00,0,0,0
26,2007,2007-11-25,11,24.023,NWE,,PHI,W 31-28,,,,,,,
27,2007,2007-12-03,12,24.031,NWE,@,BAL,W 27-24,,,,,,,
28,2007,2007-12-09,13,24.037,NWE,,PIT,W 34-13,,,,,,,
29,2007,2007-12-16,14,24.044,NWE,,NYJ,W 20-10,,,,,,,
30,2007,2007-12-23,15,24.051,NWE,,MIA,W 28-7,,1,33,33.00,0,0,0
