ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-13,1,21.186,CAR,,GNB,L 14-24,*,,,,,,,,,,,,
2,2004,2004-09-19,2,21.192,CAR,@,KAN,W 28-17,*,0,0,,0,0,0,0.0,,,1,13,0
3,2004,2004-10-03,3,21.206,CAR,,ATL,L 10-27,*,,,,,,,,,,,,
4,2004,2004-10-10,4,21.213,CAR,@,DEN,L 17-20,*,,,,,,,,,,,,
5,2004,2004-10-17,5,21.220,CAR,@,PHI,L 8-30,*,,,,,,,,,,,,
6,2004,2004-10-24,6,21.227,CAR,,SDG,L 6-17,*,,,,,,,,,,,,
7,2004,2004-10-31,7,21.234,CAR,@,SEA,L 17-23,*,,,,,,,,,,,,
8,2004,2004-11-07,8,21.241,CAR,,OAK,L 24-27,*,,,,,,,,,,,,
9,2004,2004-11-14,9,21.248,CAR,@,SFO,W 37-27,*,0,0,,0,0,0,0.0,,,1,0,0
10,2004,2004-11-21,10,21.255,CAR,,ARI,W 35-10,*,0,0,,0,0,0,0.0,,,1,0,0
11,2004,2004-11-28,11,21.262,CAR,,TAM,W 21-14,*,1,16,16.00,0,0,0,0.0,,,0,0,0
12,2004,2004-12-05,12,21.269,CAR,@,NOR,W 32-21,*,,,,,,,,,,,,
13,2004,2004-12-12,13,21.276,CAR,,STL,W 20-7,*,2,5,2.50,0,0,0,0.0,,,1,0,0
14,2004,2004-12-18,14,21.282,CAR,@,ATL,L 31-34,*,0,0,,0,0,0,0.0,,,2,2,0
15,2004,2004-12-26,15,21.290,CAR,@,TAM,W 37-20,*,,,,,,,,,,,,
16,2004,2005-01-02,16,21.297,CAR,,NOR,L 18-21,*,6,48,8.00,0,0,0,0.0,,,0,0,0
17,2005,2005-09-11,1,22.184,CAR,,NOR,L 20-23,*,,,,,,,,,,,,
18,2005,2005-09-18,2,22.191,CAR,,NWE,W 27-17,*,1,76,76.00,0,0,0,0.0,,,0,0,0
19,2005,2005-09-25,3,22.198,CAR,@,MIA,L 24-27,*,2,17,8.50,0,0,0,0.0,,,1,0,0
20,2005,2005-10-03,4,22.206,CAR,,GNB,W 32-29,*,2,12,6.00,0,0,0,0.0,,,0,0,0
21,2005,2005-10-09,5,22.212,CAR,@,ARI,W 24-20,*,,,,,,,,,,,,
22,2005,2005-10-30,7,22.233,CAR,,MIN,W 38-13,*,1,4,4.00,0,0,0,0.0,,,0,0,0
23,2005,2005-11-06,8,22.240,CAR,@,TAM,W 34-14,*,1,5,5.00,0,1,6,0.0,,,2,101,1
24,2005,2005-11-13,9,22.247,CAR,,NYJ,W 30-3,*,1,7,7.00,0,0,0,0.0,,,1,4,0
25,2005,2005-11-20,10,22.254,CAR,@,CHI,L 3-13,*,,,,,,,,,,,,
26,2005,2005-11-27,11,22.261,CAR,@,BUF,W 13-9,*,0,0,,0,0,0,0.0,,,1,0,0
27,2005,2005-12-04,12,22.268,CAR,,ATL,W 24-6,*,,,,,,,,,,,,
28,2005,2005-12-11,13,22.275,CAR,,TAM,L 10-20,*,2,8,4.00,0,0,0,0.0,,,0,0,0
29,2005,2005-12-18,14,22.282,CAR,@,NOR,W 27-10,*,1,7,7.00,0,0,0,0.0,,,1,52,0
30,2005,2005-12-24,15,22.288,CAR,,DAL,L 20-24,*,2,14,7.00,0,0,0,0.0,,,0,0,0
31,2005,2006-01-01,16,22.296,CAR,@,ATL,W 44-11,*,1,8,8.00,0,0,0,0.0,,,1,0,0
32,2006,2006-09-10,1,23.183,CAR,,ATL,L 6-20,*,3,13,4.33,0,0,0,0.0,,,0,0,0
33,2006,2006-09-17,2,23.190,CAR,@,MIN,L 13-16,*,3,18,6.00,0,0,0,0.0,,,0,0,0
34,2006,2006-09-24,3,23.197,CAR,@,TAM,W 26-24,*,4,30,7.50,0,0,0,0.0,,,1,11,0
35,2006,2006-10-01,4,23.204,CAR,,NOR,W 21-18,*,2,3,1.50,0,0,0,0.0,,,0,0,0
36,2006,2006-10-08,5,23.211,CAR,,CLE,W 20-12,*,3,19,6.33,0,0,0,0.0,,,0,0,0
37,2006,2006-10-15,6,23.218,CAR,@,BAL,W 23-21,*,3,8,2.67,0,0,0,0.0,,,0,0,0
