ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,24.315,DAL,@,PIT,W 37-7,,0,0,,0,0,0,,0,0,0,0.0,1,6,0
2,1997,1997-09-07,2,24.322,DAL,@,ARI,L 22-25,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
3,1997,1997-09-15,3,24.330,DAL,,PHI,W 21-20,,,,,,,,,,,,,,,
4,1997,1997-09-28,4,24.343,DAL,,CHI,W 27-3,,,,,,,,,,,,,,,
5,1997,1997-10-05,5,24.350,DAL,@,NYG,L 17-20,,,,,,,,,,,,,,,
6,1997,1997-10-13,6,24.358,DAL,@,WAS,L 16-21,,,,,,,,,,,,,,,
7,1997,1997-10-19,7,24.364,DAL,,JAX,W 26-22,,,,,,,,,,,,,,,
8,1997,1997-10-26,8,25.006,DAL,@,PHI,L 12-13,,,,,,,,,,,,,,,
9,1997,1997-11-02,9,25.013,DAL,@,SFO,L 10-17,,,,,,,,,,,,,,,
10,1997,1997-11-09,10,25.020,DAL,,ARI,W 24-6,,0,0,,0,0,0,,0,0,0,0.5,0,0,0
11,1997,1997-11-16,11,25.027,DAL,,WAS,W 17-14,,,,,,,,,,,,,,,
12,1997,1997-11-23,12,25.034,DAL,@,GNB,L 17-45,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
13,1997,1997-11-27,13,25.038,DAL,,TEN,L 14-27,,,,,,,,,,,,,,,
14,1997,1997-12-08,14,25.049,DAL,,CAR,L 13-23,,,,,,,,,,,,,,,
15,1997,1997-12-14,15,25.055,DAL,@,CIN,L 24-31,,,,,,,,,,,,,,,
16,1997,1997-12-21,16,25.062,DAL,,NYG,L 7-20,,,,,,,,,,,,,,,
17,1998,1998-10-18,7,25.363,DAL,@,CHI,L 12-13,,0,0,,0,0,0,,0,0,0,1.0,1,18,0
18,1998,1998-11-02,8,26.013,DAL,@,PHI,W 34-0,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
19,1999,1999-09-12,1,26.327,DAL,@,WAS,W 41-35,*,,,,,,,,,,,,,,
20,1999,1999-09-20,2,26.335,DAL,,ATL,W 24-7,*,0,0,,0,0,0,,0,0,0,0.0,1,43,0
21,1999,1999-10-03,3,26.348,DAL,,ARI,W 35-7,*,,,,,,,,,,,,,,
22,1999,1999-10-10,4,26.355,DAL,@,PHI,L 10-13,*,,,,,,,,,,,,,,
23,1999,1999-10-18,5,26.363,DAL,@,NYG,L 10-13,*,,,,,,,,,,,,,,
24,1999,1999-10-24,6,27.004,DAL,,WAS,W 38-20,*,,,,,,,,,,,,,,
25,1999,1999-10-31,7,27.011,DAL,@,IND,L 24-34,*,,,,,,,,,,,,,,
26,1999,1999-11-08,8,27.019,DAL,@,MIN,L 17-27,*,,,,,,,,,,,,,,
27,1999,1999-11-14,9,27.025,DAL,,GNB,W 27-13,*,,,,,,,,,,,,,,
28,1999,1999-11-21,10,27.032,DAL,@,ARI,L 9-13,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
29,1999,1999-11-25,11,27.036,DAL,,MIA,W 20-0,*,0,0,,0,0,0,,0,1,6,0.0,2,58,1
30,1999,1999-12-05,12,27.046,DAL,@,NWE,L 6-13,*,0,0,,0,0,0,,0,0,0,0.0,1,18,0
31,1999,1999-12-12,13,27.053,DAL,,PHI,W 20-10,*,,,,,,,,,,,,,,
32,1999,1999-12-19,14,27.060,DAL,,NYJ,L 21-22,*,,,,,,,,,,,,,,
33,1999,1999-12-24,15,27.065,DAL,@,NOR,L 24-31,*,,,,,,,,,,,,,,
34,1999,2000-01-02,16,27.074,DAL,,NYG,W 26-18,*,0,0,,0,1,3,3.00,0,0,0,0.0,0,0,0
35,2000,2000-09-03,1,27.319,DAL,,PHI,L 14-41,*,,,,,,,,,,,,,,
36,2000,2000-09-10,2,27.326,DAL,@,ARI,L 31-32,*,,,,,,,,,,,,,,
37,2000,2000-09-18,3,27.334,DAL,@,WAS,W 27-21,*,,,,,,,,,,,,,,
38,2000,2000-09-24,4,27.340,DAL,,SFO,L 24-41,*,1,26,26.00,0,0,0,,0,0,0,0.0,0,0,0
39,2000,2000-10-01,5,27.347,DAL,@,CAR,W 16-13,,,,,,,,,,,,,,,
40,2000,2000-10-15,6,27.361,DAL,@,NYG,L 14-19,*,,,,,,,,,,,,,,
41,2000,2000-10-22,7,28.002,DAL,,ARI,W 48-7,*,,,,,,,,,,,,,,
42,2000,2000-10-29,8,28.009,DAL,,JAX,L 17-23,*,,,,,,,,,,,,,,
43,2000,2000-11-05,9,28.016,DAL,@,PHI,L 13-16,*,,,,,,,,,,,,,,
44,2000,2000-11-12,10,28.023,DAL,,CIN,W 23-6,,,,,,,,,,,,,,,
45,2000,2000-11-19,11,28.030,DAL,@,BAL,L 0-27,,,,,,,,,,,,,,,
46,2000,2000-11-23,12,28.034,DAL,,MIN,L 15-27,,,,,,,,,,,,,,,
47,2000,2000-12-03,13,28.044,DAL,@,TAM,L 7-27,*,,,,,,,,,,,,,,
48,2000,2000-12-10,14,28.051,DAL,,WAS,W 32-13,,,,,,,,,,,,,,,
49,2000,2000-12-17,15,28.058,DAL,,NYG,L 13-17,*,,,,,,,,,,,,,,
50,2000,2000-12-25,16,28.066,DAL,@,TEN,L 0-31,*,,,,,,,,,,,,,,
51,2001,2001-09-09,1,28.324,DAL,,TAM,L 6-10,*,,,,,,,,,,,,,,
52,2001,2001-09-23,2,28.338,DAL,,SDG,L 21-32,*,,,,,,,,,,,,,,
53,2001,2001-09-30,3,28.345,DAL,@,PHI,L 18-40,*,,,,,,,,,,,,,,
54,2001,2001-10-07,4,28.352,DAL,@,OAK,L 21-28,*,,,,,,,,,,,,,,
55,2001,2001-10-15,5,28.360,DAL,,WAS,W 9-7,*,,,,,,,,,,,,,,
56,2001,2001-10-28,6,29.008,DAL,,ARI,W 17-3,*,0,0,,0,0,0,,0,1,6,0.0,1,10,1
57,2001,2001-11-04,7,29.015,DAL,@,NYG,L 24-27,*,0,0,,0,0,0,,0,1,6,0.0,1,29,1
58,2001,2001-11-11,8,29.022,DAL,@,ATL,L 13-20,*,,,,,,,,,,,,,,
59,2001,2001-11-22,10,29.033,DAL,,DEN,L 24-26,*,,,,,,,,,,,,,,
60,2001,2001-12-02,11,29.043,DAL,@,WAS,W 20-14,*,,,,,,,,,,,,,,
61,2001,2001-12-09,12,29.050,DAL,,NYG,W 20-13,*,,,,,,,,,,,,,,
62,2001,2001-12-16,13,29.057,DAL,@,SEA,L 3-29,*,,,,,,,,,,,,,,
63,2001,2001-12-23,14,29.064,DAL,@,ARI,L 10-17,*,,,,,,,,,,,,,,
64,2001,2001-12-30,15,29.071,DAL,,SFO,W 27-21,*,,,,,,,,,,,,,,
65,2001,2002-01-06,16,29.078,DAL,@,DET,L 10-15,*,,,,,,,,,,,,,,
66,2002,2002-09-08,1,29.323,DAL,@,HOU,L 10-19,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
67,2002,2002-09-15,2,29.330,DAL,,TEN,W 21-13,*,0,0,,0,0,0,,0,1,6,0.0,1,52,1
68,2002,2002-09-22,3,29.337,DAL,@,PHI,L 13-44,*,,,,,,,,,,,,,,
69,2002,2002-09-29,4,29.344,DAL,@,STL,W 13-10,*,,,,,,,,,,,,,,
70,2002,2002-10-06,5,29.351,DAL,,NYG,L 17-21,*,,,,,,,,,,,,,,
71,2002,2002-10-13,6,29.358,DAL,,CAR,W 14-13,*,,,,,,,,,,,,,,
72,2002,2002-10-20,7,30.000,DAL,@,ARI,L 6-9,*,,,,,,,,,,,,,,
73,2002,2002-10-27,8,30.007,DAL,,SEA,L 14-17,*,,,,,,,,,,,,,,
74,2002,2002-11-03,9,30.014,DAL,@,DET,L 7-9,*,,,,,,,,,,,,,,
75,2002,2002-11-17,10,30.028,DAL,@,IND,L 3-20,*,,,,,,,,,,,,,,
76,2002,2002-11-24,11,30.035,DAL,,JAX,W 21-19,*,,,,,,,,,,,,,,
77,2002,2002-11-28,12,30.039,DAL,,WAS,W 27-20,*,,,,,,,,,,,,,,
78,2002,2002-12-08,13,30.049,DAL,,SFO,L 27-31,*,,,,,,,,,,,,,,
79,2002,2002-12-15,14,30.056,DAL,@,NYG,L 7-37,*,,,,,,,,,,,,,,
80,2002,2002-12-21,15,30.062,DAL,,PHI,L 3-27,*,,,,,,,,,,,,,,
81,2002,2002-12-29,16,30.070,DAL,@,WAS,L 14-20,*,,,,,,,,,,,,,,
82,2003,2003-09-07,1,30.322,DAL,,ATL,L 13-27,*,,,,,,,,,,,,,,
83,2003,2003-09-15,2,30.330,DAL,@,NYG,W 35-32,*,,,,,,,,,,,,,,
84,2003,2003-09-28,3,30.343,DAL,@,NYJ,W 17-6,*,,,,,,,,,,,,,,
85,2003,2003-10-05,4,30.350,DAL,,ARI,W 24-7,*,,,,,,,,,,,,,,
86,2003,2003-10-12,5,30.357,DAL,,PHI,W 23-21,*,,,,,,,,,,,,,,
87,2003,2003-10-19,6,30.364,DAL,@,DET,W 38-7,*,0,0,,0,0,0,,0,0,0,0.0,1,24,0
88,2003,2003-10-26,7,31.006,DAL,@,TAM,L 0-16,*,,,,,,,,,,,,,,
89,2003,2003-11-02,8,31.013,DAL,,WAS,W 21-14,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
90,2003,2003-11-09,9,31.020,DAL,,BUF,W 10-6,*,,,,,,,,,,,,,,
91,2003,2003-11-16,10,31.027,DAL,@,NWE,L 0-12,*,,,,,,,,,,,,,,
92,2003,2003-11-23,11,31.034,DAL,,CAR,W 24-20,*,,,,,,,,,,,,,,
93,2003,2003-11-27,12,31.038,DAL,,MIA,L 21-40,*,,,,,,,,,,,,,,
94,2003,2003-12-07,13,31.048,DAL,@,PHI,L 10-36,*,,,,,,,,,,,,,,
95,2003,2003-12-14,14,31.055,DAL,@,WAS,W 27-0,*,,,,,,,,,,,,,,
96,2003,2003-12-21,15,31.062,DAL,,NYG,W 19-3,*,,,,,,,,,,,,,,
97,2003,2003-12-28,16,31.069,DAL,@,NOR,L 7-13,*,,,,,,,,,,,,,,
98,2004,2004-09-12,1,31.328,DAL,@,MIN,L 17-35,*,,,,,,,,,,,,,,
99,2004,2004-09-19,2,31.335,DAL,,CLE,W 19-12,*,1,33,33.00,0,0,0,,0,0,0,0.0,0,0,0
100,2004,2004-09-27,3,31.343,DAL,@,WAS,W 21-18,*,,,,,,,,,,,,,,
101,2004,2004-10-10,4,31.356,DAL,,NYG,L 10-26,*,,,,,,,,,,,,,,
102,2004,2004-10-17,5,31.363,DAL,,PIT,L 20-24,*,,,,,,,,,,,,,,
103,2004,2004-10-24,6,32.004,DAL,@,GNB,L 20-41,*,,,,,,,,,,,,,,
104,2004,2004-10-31,7,32.011,DAL,,DET,W 31-21,*,,,,,,,,,,,,,,
105,2004,2004-11-07,8,32.018,DAL,@,CIN,L 3-26,*,,,,,,,,,,,,,,
106,2004,2004-11-15,9,32.026,DAL,,PHI,L 21-49,*,,,,,,,,,,,,,,
107,2004,2004-11-21,10,32.032,DAL,@,BAL,L 10-30,*,,,,,,,,,,,,,,
108,2004,2004-11-25,11,32.036,DAL,,CHI,W 21-7,*,,,,,,,,,,,,,,
109,2004,2004-12-06,12,32.047,DAL,@,SEA,W 43-39,*,,,,,,,,,,,,,,
110,2004,2004-12-12,13,32.053,DAL,,NOR,L 13-27,*,,,,,,,,,,,,,,
111,2004,2004-12-19,14,32.060,DAL,@,PHI,L 7-12,*,,,,,,,,,,,,,,
112,2004,2004-12-26,15,32.067,DAL,,WAS,W 13-10,*,,,,,,,,,,,,,,
113,2004,2005-01-02,16,32.074,DAL,@,NYG,L 24-28,*,,,,,,,,,,,,,,
114,2005,2005-09-11,1,32.326,STL,@,SFO,L 25-28,,,,,,,,,,,,,,,
115,2005,2005-09-18,2,32.333,STL,@,ARI,W 17-12,*,,,,,,,,,,,,,,
116,2005,2005-09-25,3,32.340,STL,,TEN,W 31-27,*,,,,,,,,,,,,,,
117,2005,2005-10-02,4,32.347,STL,@,NYG,L 24-44,*,,,,,,,,,,,,,,
118,2005,2005-10-09,5,32.354,STL,,SEA,L 31-37,,,,,,,,,,,,,,,
119,2005,2005-10-17,6,32.362,STL,@,IND,L 28-45,,,,,,,,,,,,,,,
120,2005,2005-10-23,7,33.003,STL,,NOR,W 28-17,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
121,2005,2005-10-30,8,33.010,STL,,JAX,W 24-21,*,,,,,,,,,,,,,,
122,2005,2005-11-13,9,33.024,STL,@,SEA,L 16-31,*,0,0,,0,0,0,,0,0,0,0.0,1,16,0
123,2005,2005-11-20,10,33.031,STL,,ARI,L 28-38,*,,,,,,,,,,,,,,
124,2005,2005-11-27,11,33.038,STL,@,HOU,W 33-27,*,0,0,,0,0,0,,0,0,0,1.0,0,0,0
125,2005,2005-12-04,12,33.045,STL,,WAS,L 9-24,*,,,,,,,,,,,,,,
126,2006,2006-09-10,1,33.325,STL,,DEN,W 18-10,,,,,,,,,,,,,,,
127,2006,2006-09-17,2,33.332,STL,@,SFO,L 13-20,,,,,,,,,,,,,,,
128,2006,2006-09-24,3,33.339,STL,@,ARI,W 16-14,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
129,2006,2006-10-01,4,33.346,STL,,DET,W 41-34,,,,,,,,,,,,,,,
130,2006,2006-10-08,5,33.353,STL,@,GNB,W 23-20,,,,,,,,,,,,,,,
131,2006,2006-10-15,6,33.360,STL,,SEA,L 28-30,,,,,,,,,,,,,,,
132,2006,2006-10-29,7,34.009,STL,@,SDG,L 24-38,*,,,,,,,,,,,,,,
133,2006,2006-11-05,8,34.016,STL,,KAN,L 17-31,*,,,,,,,,,,,,,,
134,2006,2006-11-12,9,34.023,STL,@,SEA,L 22-24,,,,,,,,,,,,,,,
135,2006,2006-11-19,10,34.030,STL,@,CAR,L 0-15,,,,,,,,,,,,,,,
136,2006,2006-11-26,11,34.037,STL,,SFO,W 20-17,,,,,,,,,,,,,,,
137,2006,2006-12-03,12,34.044,STL,,ARI,L 20-34,,,,,,,,,,,,,,,
138,2006,2006-12-11,13,34.052,STL,,CHI,L 27-42,,,,,,,,,,,,,,,
139,2006,2006-12-17,14,34.058,STL,@,OAK,W 20-0,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0
140,2006,2006-12-24,15,34.065,STL,,WAS,W 37-31,*,,,,,,,,,,,,,,
141,2006,2006-12-31,16,34.072,STL,@,MIN,W 41-21,*,,,,,,,,,,,,,,
