ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1958,1958-10-19,4,24.246,SFO,@,PHI,W 30-24,2,12,6.00,0,0,0,,0,,,,,,,,,0,,,,
2,1960,1960-09-25,1,26.223,SFO,,NYG,L 19-21,0,0,,0,0,0,,0,3,60,20.00,0,2,44,22.00,0,0,0,0,0,0
3,1960,1960-10-02,2,26.230,SFO,,RAM,W 13-9,0,0,,0,0,0,,0,4,77,19.25,0,0,0,,0,0,0,0,0,0
4,1960,1960-10-09,3,26.237,SFO,@,DET,W 14-10,0,0,,0,0,0,,0,1,25,25.00,0,3,50,16.67,0,0,0,0,0,0
5,1960,1960-10-16,4,26.244,SFO,@,CHI,L 10-27,0,0,,0,0,0,,0,3,108,36.00,0,5,5,1.00,0,0,0,0,0,0
6,1960,1960-10-30,6,26.258,SFO,,CHI,W 25-7,3,3,1.00,0,0,0,,0,0,0,,0,1,20,20.00,0,0,0,0,0,0
7,1960,1960-11-06,7,26.265,SFO,,DET,L 0-24,1,1,1.00,0,0,0,,0,2,38,19.00,0,1,48,48.00,0,0,0,0,0,0
8,1960,1960-11-20,8,26.279,SFO,@,DAL,W 26-14,0,0,,0,0,0,,0,2,74,37.00,0,0,0,,0,0,0,1,0,0
9,1960,1960-11-27,9,26.286,SFO,@,BAL,W 30-22,0,0,,0,0,0,,0,1,64,64.00,0,1,7,7.00,0,0,0,1,0,0
10,1960,1960-12-04,10,26.293,SFO,@,RAM,W 23-7,0,0,,0,0,0,,0,1,52,52.00,0,0,0,,0,0,0,0,0,0
11,1961,1961-09-17,1,27.214,SFO,,WAS,W 35-3,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0,0,0,0
12,1961,1961-09-24,2,27.221,SFO,@,GNB,L 10-30,0,0,,0,0,0,,0,2,72,36.00,0,1,29,29.00,0,0,0,0,0,0
13,1961,1961-10-01,3,27.228,SFO,@,DET,W 49-0,0,0,,0,0,0,,0,1,98,98.00,1,2,0,0.00,0,1,6,1,2,0
14,1961,1961-10-15,5,27.242,SFO,@,MIN,W 38-24,2,12,6.00,0,4,41,10.25,0,0,0,,0,2,18,9.00,0,0,0,0,0,0
15,1961,1961-10-22,6,27.249,SFO,@,CHI,L 0-31,3,7,2.33,0,1,-3,-3.00,0,5,123,24.60,0,1,6,6.00,0,0,0,0,0,0
16,1961,1961-10-29,7,27.256,SFO,@,PIT,L 10-20,1,0,0.00,0,2,8,4.00,0,4,75,18.75,0,4,29,7.25,0,0,0,0,0,0
17,1961,1961-11-05,8,27.263,SFO,,DET,T 20-20,5,12,2.40,0,0,0,,0,2,57,28.50,0,2,81,40.50,1,1,6,0,0,0
18,1961,1961-11-12,9,27.270,SFO,@,RAM,L 7-17,3,-8,-2.67,0,1,28,28.00,0,2,79,39.50,0,2,9,4.50,0,0,0,0,0,0
19,1961,1961-11-19,10,27.277,SFO,,CHI,W 41-31,0,0,,0,0,0,,0,2,41,20.50,0,0,0,,0,0,0,0,0,0
