ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists
1,1999,1999-10-17,5,24.121,IND,@,NYJ,W 16-13,,,,,,,,,,,,,,,
2,1999,1999-10-31,7,24.135,IND,,DAL,W 34-24,,,,,,,,,,,,,,,
3,1999,1999-11-07,8,24.142,IND,,KAN,W 25-17,,,,,,,,,,,,,,,
4,1999,1999-11-14,9,24.149,IND,@,NYG,W 27-19,,,,,,,,,,,,,,,
5,1999,1999-11-21,10,24.156,IND,@,PHI,W 44-17,*,,,,,,,,,,,,,,
6,1999,1999-11-28,11,24.163,IND,,NYJ,W 13-6,*,,,,,,,,,,,,,,
7,1999,1999-12-05,12,24.170,IND,@,MIA,W 37-34,,,,,,,,,,,,,,,
8,1999,1999-12-12,13,24.177,IND,,NWE,W 20-15,,,,,,,,,,,,,,,
9,1999,1999-12-19,14,24.184,IND,,WAS,W 24-21,,,,,,,,,,,,,,,
10,1999,1999-12-26,15,24.191,IND,@,CLE,W 29-28,,,,,,,,,,,,,,,
11,1999,2000-01-02,16,24.198,IND,@,BUF,L 6-31,,,,,,,,,,,,,,,
12,2000,2000-09-03,1,25.077,IND,@,KAN,W 27-14,,,,,,,,,,,,,,,
13,2000,2000-09-10,2,25.084,IND,,OAK,L 31-38,*,,,,,,,,,,,,,,
14,2000,2000-09-25,3,25.099,IND,,JAX,W 43-14,*,,,,,,,,,,,,,,
15,2000,2000-10-01,4,25.105,IND,@,BUF,W 18-16,*,,,,,,,,,,,,,,
16,2000,2000-10-08,5,25.112,IND,@,NWE,L 16-24,*,,,,,,,,,,,,,,
17,2000,2000-10-15,6,25.119,IND,@,SEA,W 37-24,*,,,,,,,,,,,,,,
18,2000,2000-10-22,7,25.126,IND,,NWE,W 30-23,,,,,,,,,,,,,,,
19,2000,2000-10-29,8,25.133,IND,,DET,W 30-18,*,,,,,,,,,,,,,,
20,2000,2000-11-05,9,25.140,IND,@,CHI,L 24-27,*,,,,,,,,,,,,,,
21,2000,2000-11-12,10,25.147,IND,,NYJ,W 23-15,*,,,,,,,,,,,,,,
22,2000,2000-11-19,11,25.154,IND,@,GNB,L 24-26,,,,,,,,,,,,,,,
23,2000,2000-11-26,12,25.161,IND,,MIA,L 14-17,,,,,,,,,,,,,,,
24,2000,2000-12-03,13,25.168,IND,@,NYJ,L 17-27,*,,,,,,,,,,,,,,
25,2000,2000-12-11,14,25.176,IND,,BUF,W 44-20,*,,,,,,,,,,,,,,
26,2000,2000-12-17,15,25.182,IND,@,MIA,W 20-13,*,,,,,,,,,,,,,,
27,2000,2000-12-24,16,25.189,IND,,MIN,W 31-10,*,,,,,,,,,,,,,,
28,2001,2001-09-09,1,26.083,IND,@,NYJ,W 45-24,*,,,,,,,,,,,,,,
29,2001,2001-09-23,2,26.097,IND,,BUF,W 42-26,*,,,,,,,,,,,,,,
30,2001,2001-09-30,3,26.104,IND,@,NWE,L 13-44,*,,,,,,,,,,,,,,
31,2001,2001-10-14,4,26.118,IND,,OAK,L 18-23,*,,,,,,,,,,,,,,
32,2001,2001-10-21,5,26.125,IND,,NWE,L 17-38,*,,,,,,,,,,,,,,
33,2001,2001-10-25,6,26.129,IND,@,KAN,W 35-28,*,,,,,,,,,,,,,,
34,2001,2001-11-04,7,26.139,IND,@,BUF,W 30-14,*,,,,,,,,,,,,,,
35,2001,2001-11-11,8,26.146,IND,,MIA,L 24-27,*,,,,,,,,,,,,,,
36,2001,2001-11-18,9,26.153,IND,@,NOR,L 20-34,*,,,,,,,,,,,,,,
37,2001,2001-11-25,10,26.160,IND,,SFO,L 21-40,*,,,,,,,,,,,,,,
38,2001,2001-12-02,11,26.167,IND,@,BAL,L 27-39,*,,,,,,,,,,,,,,
39,2001,2001-12-10,12,26.175,IND,@,MIA,L 6-41,*,,,,,,,,,,,,,,
40,2001,2001-12-16,13,26.181,IND,,ATL,W 41-27,*,,,,,,,,,,,,,,
41,2001,2001-12-23,14,26.188,IND,,NYJ,L 28-29,*,,,,,,,,,,,,,,
42,2001,2001-12-30,15,26.195,IND,@,STL,L 17-42,*,,,,,,,,,,,,,,
43,2001,2002-01-06,16,26.202,IND,,DEN,W 29-10,*,,,,,,,,,,,,,,
44,2002,2002-09-08,1,27.082,IND,@,JAX,W 28-25,*,,,,,,,,,,,,,,
45,2002,2002-09-15,2,27.089,IND,,MIA,L 13-21,*,,,,,,,,,,,,,,
46,2002,2002-09-22,3,27.096,IND,@,HOU,W 23-3,*,,,,,,,,,,,,,,
47,2002,2002-10-06,4,27.110,IND,,CIN,W 28-21,*,,,,,,,,,,,,,,
48,2002,2002-10-13,5,27.117,IND,,BAL,W 22-20,*,,,,,,,,,,,,,,
49,2002,2002-10-21,6,27.125,IND,@,PIT,L 10-28,*,,,,,,,,,,,,,,
50,2002,2002-10-27,7,27.131,IND,@,WAS,L 21-26,*,,,,,,,,,,,,,,
51,2002,2002-11-03,8,27.138,IND,,TEN,L 15-23,*,,,,,,,,,,,,,,
52,2002,2002-11-10,9,27.145,IND,@,PHI,W 35-13,*,,,,,,,,,,,,,,
53,2002,2002-11-17,10,27.152,IND,,DAL,W 20-3,*,,,,,,,,,,,,,,
54,2002,2002-11-24,11,27.159,IND,@,DEN,W 23-20,*,,,,,,,,,,,,,,
55,2002,2002-12-01,12,27.166,IND,,HOU,W 19-3,*,,,,,,,,,,,,,,
56,2002,2002-12-08,13,27.173,IND,@,TEN,L 17-27,*,,,,,,,,,,,,,,
57,2002,2002-12-15,14,27.180,IND,@,CLE,W 28-23,*,,,,,,,,,,,,,,
58,2002,2002-12-22,15,27.187,IND,,NYG,L 27-44,*,,,,,,,,,,,,,,
59,2002,2002-12-29,16,27.194,IND,,JAX,W 20-13,*,,,,,,,,,,,,,,
60,2003,2003-09-07,1,28.081,IND,@,CLE,W 9-6,*,,,,,,,,,,,,,,
61,2003,2003-09-14,2,28.088,IND,,TEN,W 33-7,*,,,,,,,,,,,,,,
62,2003,2003-09-21,3,28.095,IND,,JAX,W 23-13,*,,,,,,,,,,,,,,
63,2003,2003-09-28,4,28.102,IND,@,NOR,W 55-21,*,,,,,,,,,,,,,,
64,2003,2003-10-06,5,28.110,IND,@,TAM,W 38-35,*,,,,,,,,,,,,,,
65,2003,2003-10-12,6,28.116,IND,,CAR,L 20-23,*,,,,,,,,,,,,,,
66,2003,2003-10-26,7,28.130,IND,,HOU,W 30-21,*,,,,,,,,,,,,,,
67,2003,2003-11-02,8,28.137,IND,@,MIA,W 23-17,*,,,,,,,,,,,,,,
68,2003,2003-11-09,9,28.144,IND,@,JAX,L 23-28,*,,,,,,,,,,,,,,
69,2003,2003-11-16,10,28.151,IND,,NYJ,W 38-31,*,,,,,,,,,,,,,,
70,2003,2003-11-23,11,28.158,IND,@,BUF,W 17-14,*,,,,,,,,,,,,,,
71,2003,2003-11-30,12,28.165,IND,,NWE,L 34-38,*,,,,,,,,,,,,,,
72,2003,2003-12-07,13,28.172,IND,@,TEN,W 29-27,*,,,,,,,,,,,,,,
73,2003,2003-12-14,14,28.179,IND,,ATL,W 38-7,*,,,,,,,,,,,,,,
74,2003,2003-12-21,15,28.186,IND,,DEN,L 17-31,*,,,,,,,,,,,,,,
75,2003,2003-12-28,16,28.193,IND,@,HOU,W 20-17,*,,,,,,,,,,,,,,
76,2004,2004-09-09,1,29.083,IND,@,NWE,L 24-27,*,,,,,,,,0,,,,,,
77,2004,2004-09-19,2,29.093,IND,@,TEN,W 31-17,*,,,,,,,,0,,,,,,
78,2004,2004-09-26,3,29.100,IND,,GNB,W 45-31,*,,,,,,,,0,,,,,,
79,2004,2004-10-03,4,29.107,IND,@,JAX,W 24-17,*,,,,,,,,0,,,,,,
80,2004,2004-10-10,5,29.114,IND,,OAK,W 35-14,*,,,,,,,,0,,,,,,
81,2004,2004-10-24,6,29.128,IND,,JAX,L 24-27,*,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,,
82,2004,2004-10-31,7,29.135,IND,@,KAN,L 35-45,*,,,,,,,,0,,,,,,
83,2004,2004-11-08,8,29.143,IND,,MIN,W 31-28,*,,,,,,,,0,,,,,,
84,2004,2004-11-14,9,29.149,IND,,HOU,W 49-14,*,,,,,,,,0,,,,,,
85,2004,2004-11-21,10,29.156,IND,@,CHI,W 41-10,*,,,,,,,,0,,,,,,
86,2004,2004-11-25,11,29.160,IND,@,DET,W 41-9,*,,,,,,,,0,,,,,,
87,2004,2004-12-19,14,29.184,IND,,BAL,W 20-10,*,,,,,,,,0,,,,,,
88,2004,2004-12-26,15,29.191,IND,,SDG,W 34-31,*,,,,,,,,0,,,,,,
89,2004,2005-01-02,16,29.198,IND,@,DEN,L 14-33,*,,,,,,,,0,,,,,,
90,2005,2005-09-11,1,30.085,IND,@,BAL,W 24-7,*,,,,,,,,,,,,,,
91,2005,2005-09-18,2,30.092,IND,,JAX,W 10-3,*,,,,,,,,,,,,,,
92,2005,2005-09-25,3,30.099,IND,,CLE,W 13-6,*,,,,,,,,,,,,,,
93,2005,2005-10-02,4,30.106,IND,@,TEN,W 31-10,*,,,,,,,,,,,,,,
94,2005,2005-10-09,5,30.113,IND,@,SFO,W 28-3,*,,,,,,,,,,,,,,
95,2005,2005-10-17,6,30.121,IND,,STL,W 45-28,*,,,,,,,,,,,,,,
96,2005,2005-10-23,7,30.127,IND,@,HOU,W 38-20,*,,,,,,,,,,,,,,
97,2005,2005-11-07,8,30.142,IND,@,NWE,W 40-21,*,,,,,,,,,,,,,,
98,2005,2005-11-13,9,30.148,IND,,HOU,W 31-17,*,,,,,,,,,,,,,,
99,2005,2005-11-20,10,30.155,IND,@,CIN,W 45-37,*,,,,,,,,,,,,,,
100,2005,2005-11-28,11,30.163,IND,,PIT,W 26-7,*,,,,,,,,,,,,,,
101,2005,2005-12-04,12,30.169,IND,,TEN,W 35-3,*,,,,,,,,,,,,,,
102,2005,2005-12-11,13,30.176,IND,@,JAX,W 26-18,*,,,,,,,,,,,,,,
103,2005,2005-12-18,14,30.183,IND,,SDG,L 17-26,*,,,,,,,,,,,,,,
104,2005,2005-12-24,15,30.189,IND,@,SEA,L 13-28,*,,,,,,,,,,,,,,
105,2005,2006-01-01,16,30.197,IND,,ARI,W 17-13,*,,,,,,,,,,,,,,
106,2006,2006-09-10,1,31.084,IND,@,NYG,W 26-21,*,,,,,,,,,,,,,,
107,2006,2006-09-17,2,31.091,IND,,HOU,W 43-24,*,,,,,,,,,,,,,,
108,2006,2006-09-24,3,31.098,IND,,JAX,W 21-14,*,,,,,,,,,,,,,,
109,2006,2006-10-01,4,31.105,IND,@,NYJ,W 31-28,*,,,,,,,,,,,,,,
110,2006,2006-10-08,5,31.112,IND,,TEN,W 14-13,*,,,,,,,,,,,,,,
111,2006,2006-10-22,6,31.126,IND,,WAS,W 36-22,*,,,,,,,,,,,,,,
112,2006,2006-10-29,7,31.133,IND,@,DEN,W 34-31,*,,,,,,,,,,,,,,
113,2006,2006-11-05,8,31.140,IND,@,NWE,W 27-20,*,,,,,,,,,,,,,,
114,2006,2006-11-12,9,31.147,IND,,BUF,W 17-16,*,,,,,,,,,,,,,,
115,2006,2006-11-19,10,31.154,IND,@,DAL,L 14-21,*,,,,,,,,,,,,,,
116,2006,2006-11-26,11,31.161,IND,,PHI,W 45-21,*,,,,,,,,,,,,,,
117,2006,2006-12-03,12,31.168,IND,@,TEN,L 17-20,*,,,,,,,,,,,,,,
118,2006,2006-12-10,13,31.175,IND,@,JAX,L 17-44,*,,,,,,,,,,,,,,
119,2006,2006-12-18,14,31.183,IND,,CIN,W 34-16,*,,,,,,,,,,,,,,
120,2006,2006-12-24,15,31.189,IND,@,HOU,L 24-27,*,,,,,,,,,,,,,,
121,2006,2006-12-31,16,31.196,IND,,MIA,W 27-22,*,,,,,,,,,,,,,,
122,2007,2007-09-06,1,32.080,IND,,NOR,W 41-10,*,,,,,,,,,,,,,,
123,2007,2007-09-16,2,32.090,IND,@,TEN,W 22-20,*,,,,,,,,,,,,,,
124,2007,2007-09-23,3,32.097,IND,@,HOU,W 30-24,*,,,,,,,,,,,,,,
125,2007,2007-09-30,4,32.104,IND,,DEN,W 38-20,*,,,,,,,,,,,,,,
126,2007,2007-10-07,5,32.111,IND,,TAM,W 33-14,*,,,,,,,,,,,,,,
127,2007,2007-10-22,6,32.126,IND,@,JAX,W 29-7,*,,,,,,,,,,,,,,
128,2007,2007-10-28,7,32.132,IND,@,CAR,W 31-7,*,,,,,,,,,,,,,,
129,2007,2007-11-04,8,32.139,IND,,NWE,L 20-24,*,,,,,,,,,,,,,,
130,2007,2007-11-11,9,32.146,IND,@,SDG,L 21-23,*,,,,,,,,,,,,,,
131,2007,2007-11-18,10,32.153,IND,,KAN,W 13-10,*,,,,,,,,,,,,,,
132,2007,2007-11-22,11,32.157,IND,@,ATL,W 31-13,*,,,,,,,,,,,,,,
133,2007,2007-12-02,12,32.167,IND,,JAX,W 28-25,*,,,,,,,,,,,,,,
134,2007,2007-12-09,13,32.174,IND,@,BAL,W 44-20,*,,,,,,,,,,,,,,
135,2007,2007-12-16,14,32.181,IND,@,OAK,W 21-14,*,,,,,,,,,,,,,,
136,2007,2007-12-23,15,32.188,IND,,HOU,W 38-15,*,,,,,,,,,,,,,,
137,2007,2007-12-30,16,32.195,IND,,TEN,L 10-16,*,,,,,,,,,,,,,,
138,2008,2008-09-21,3,33.095,IND,,JAX,L 21-23,*,,,,,,,,,,,,,,
139,2008,2008-10-05,4,33.109,IND,@,HOU,W 31-27,*,,,,,,,,,,,,,,
140,2008,2008-10-12,5,33.116,IND,,BAL,W 31-3,*,,,,,,,,,,,,,,
141,2008,2008-10-19,6,33.123,IND,@,GNB,L 14-34,*,,,,,,,,,,,,,,
142,2008,2008-10-27,7,33.131,IND,@,TEN,L 21-31,*,,,,,,,,,,,,,,
143,2008,2008-11-02,8,33.137,IND,,NWE,W 18-15,*,,,,,,,,,,,,,,
144,2008,2008-11-09,9,33.144,IND,@,PIT,W 24-20,*,,,,,,,,,,,,,,
145,2008,2008-11-16,10,33.151,IND,,HOU,W 33-27,*,,,,,,,,,,,,,,
146,2008,2008-11-23,11,33.158,IND,@,SDG,W 23-20,*,,,,,,,,,,,,,,
147,2008,2008-12-14,14,33.179,IND,,DET,W 31-21,*,,,,,,,,,,,,,,
148,2008,2008-12-18,15,33.183,IND,@,JAX,W 31-24,*,,,,,,,,,,,,,,
149,2008,2008-12-28,16,33.193,IND,,TEN,W 23-0,*,,,,,,,,,,,,,,
150,2009,2009-09-13,1,34.087,IND,,JAX,W 14-12,*,,,,,,,,,,,,,,
151,2009,2009-09-21,2,34.095,IND,@,MIA,W 27-23,*,,,,,,,,,,,,,,
152,2009,2009-09-27,3,34.101,IND,@,ARI,W 31-10,*,,,,,,,,,,,,,,
153,2009,2009-10-04,4,34.108,IND,,SEA,W 34-17,*,,,,,,,,,,,,,,
154,2009,2009-10-11,5,34.115,IND,@,TEN,W 31-9,*,,,,,,,,,,,,,,
155,2009,2009-10-25,6,34.129,IND,@,STL,W 42-6,*,,,,,,,,,,,,,,
156,2009,2009-11-01,7,34.136,IND,,SFO,W 18-14,*,,,,,,,,,,,,,,
157,2009,2009-11-08,8,34.143,IND,,HOU,W 20-17,*,,,,,,,,,,,,,,
158,2009,2009-11-15,9,34.150,IND,,NWE,W 35-34,*,,,,,,,,,,,,,,
159,2009,2009-11-22,10,34.157,IND,@,BAL,W 17-15,*,,,,,,,,,,,,,,
160,2009,2009-11-29,11,34.164,IND,@,HOU,W 35-27,*,,,,,,,,,,,,,,
161,2009,2009-12-06,12,34.171,IND,,TEN,W 27-17,*,,,,,,,,,,,,,,
162,2009,2009-12-13,13,34.178,IND,,DEN,W 28-16,*,,,,,,,,,,,,,,
163,2009,2009-12-17,14,34.182,IND,@,JAX,W 35-31,*,,,,,,,,,,,,,,
164,2009,2009-12-27,15,34.192,IND,,NYJ,L 15-29,*,,,,,,,,,,,,,,
165,2009,2010-01-03,16,34.199,IND,@,BUF,L 7-30,*,,,,,,,,,,,,,,
