ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-22,2,23.333,NYY,@,RAM,L 28-45,2,43,21.50,0,0,0,,0
2,1950,1950-09-29,3,23.340,NYY,,DET,W 44-21,2,8,4.00,0,1,10,10.00,0
3,1950,1950-10-08,4,23.349,NYY,@,GNB,W 44-31,3,5,1.67,0,0,0,,0
4,1950,1950-10-12,5,23.353,NYY,,SFO,W 29-24,4,5,1.25,0,0,0,,0
5,1950,1950-11-19,9,24.026,NYY,,RAM,L 35-43,2,5,2.50,0,0,0,,0
6,1950,1950-11-23,10,24.030,NYY,@,DET,L 14-49,1,-2,-2.00,0,2,31,15.50,0
7,1952,1952-10-12,3,25.354,SFO,@,DET,W 28-0,1,4,4.00,0,1,8,8.00,0
8,1952,1952-10-19,4,25.361,SFO,@,CHI,W 40-16,2,4,2.00,0,0,0,,0
9,1952,1952-10-26,5,26.002,SFO,,DTX,W 48-21,5,15,3.00,0,2,10,5.00,1
10,1952,1952-11-02,6,26.009,SFO,,CHI,L 17-20,2,2,1.00,0,0,0,,0
11,1952,1952-11-09,7,26.016,SFO,@,NYG,L 14-23,2,4,2.00,0,0,0,,0
12,1952,1952-11-23,9,26.030,SFO,@,RAM,L 9-35,1,7,7.00,0,0,0,,0
13,1952,1952-12-14,12,26.051,SFO,,GNB,W 24-14,0,0,,0,1,4,4.00,0
