ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2000,2000-12-10,14,22.365,DAL,,WAS,W 32-13,,,,,,,0.0%,
2,2000,2000-12-17,15,23.006,DAL,,NYG,L 13-17,,,,,,,0.0%,
3,2000,2000-12-25,16,23.014,DAL,@,TEN,L 0-31,,,,,,,0.0%,
4,2002,2002-09-08,1,24.271,DAL,@,HOU,L 10-19,,,,,,,0.0%,
5,2002,2002-09-15,2,24.278,DAL,,TEN,W 21-13,,1,,,,,0.0%,
6,2002,2002-09-22,3,24.285,DAL,@,PHI,L 13-44,,1,,,,,0.0%,
7,2002,2002-09-29,4,24.292,DAL,@,STL,W 13-10,,6,5,38,7.60,0,83.3%,6.33
8,2002,2002-10-06,5,24.299,DAL,,NYG,L 17-21,,2,1,33,33.00,0,50.0%,16.50
9,2002,2002-10-13,6,24.306,DAL,,CAR,W 14-13,,0,,,,,0.0%,
10,2002,2002-10-20,7,24.313,DAL,@,ARI,L 6-9,,1,1,5,5.00,0,100.0%,5.00
11,2002,2002-10-27,8,24.320,DAL,,SEA,L 14-17,,2,,,,,0.0%,
12,2002,2002-11-03,9,24.327,DAL,@,DET,L 7-9,*,3,2,17,8.50,0,66.7%,5.67
13,2002,2002-11-17,10,24.341,DAL,@,IND,L 3-20,*,3,2,16,8.00,0,66.7%,5.33
14,2002,2002-11-24,11,24.348,DAL,,JAX,W 21-19,*,0,,,,,0.0%,
15,2002,2002-11-28,12,24.352,DAL,,WAS,W 27-20,,0,,,,,0.0%,
16,2002,2002-12-08,13,24.362,DAL,,SFO,L 27-31,*,1,1,7,7.00,0,100.0%,7.00
17,2002,2002-12-15,14,25.004,DAL,@,NYG,L 7-37,,3,1,4,4.00,0,33.3%,1.33
18,2002,2002-12-21,15,25.010,DAL,,PHI,L 3-27,*,4,3,24,8.00,0,75.0%,6.00
19,2002,2002-12-29,16,25.018,DAL,@,WAS,L 14-20,*,2,1,8,8.00,0,50.0%,4.00
20,2003,2003-09-07,1,25.270,DAL,,ATL,L 13-27,,,,,,,0.0%,
21,2003,2003-09-15,2,25.278,DAL,@,NYG,W 35-32,,0,,,,,0.0%,
22,2003,2003-09-28,3,25.291,DAL,@,NYJ,W 17-6,,0,,,,,0.0%,
23,2003,2003-10-19,6,25.312,DAL,@,DET,W 38-7,,0,,,,,0.0%,
24,2003,2003-11-16,10,25.340,DAL,@,NWE,L 0-12,,0,,,,,0.0%,
25,2003,2003-11-23,11,25.347,DAL,,CAR,W 24-20,,,,,,,0.0%,
26,2003,2003-11-27,12,25.351,DAL,,MIA,L 21-40,,,,,,,0.0%,
