ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-10-18,6,24.005,NWE,,TEN,W 59-0,,9,11,81.82,52,0,0,86.4,0,0,4.73,4.73,6,-2,-0.33,1,1,6,0.0,0,0
2,2009,2009-10-25,7,24.012,NWE,@,TAM,W 35-7,,0,0,,0,0,0,,0,,,,3,17,5.67,0,0,0,0.0,0,0
3,2009,2009-11-30,11,24.048,NWE,@,NOR,L 17-38,,2,4,50.00,19,0,0,63.5,1,8,4.75,4.75,0,0,,0,0,0,0.0,0,0
4,2009,2009-12-27,15,24.075,NWE,,JAX,W 35-7,,,,,,,,,0,,,,,,,,,,,,
5,2009,2010-01-03,16,24.082,NWE,@,HOU,L 27-34,,8,12,66.67,71,0,0,82.3,1,10,5.92,5.92,1,10,10.00,0,0,0,0.0,0,0
6,2010,2010-10-04,4,24.356,NWE,@,MIA,W 41-14,,0,0,,0,0,0,,0,,,,1,-2,-2.00,0,0,0,0.0,0,0
7,2010,2010-11-07,8,25.025,NWE,@,CLE,L 14-34,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,1,-1,-1.00,0,0,0,0.0,0,0
8,2010,2010-12-12,13,25.060,NWE,@,CHI,W 36-7,,0,0,,0,0,0,,0,,,,3,-2,-0.67,0,0,0,0.0,0,0
9,2010,2010-12-26,15,25.074,NWE,@,BUF,W 34-3,,0,0,,0,0,0,,0,,,,4,-2,-0.50,0,0,0,0.0,0,0
10,2010,2011-01-02,16,25.081,NWE,,MIA,W 38-7,,7,13,53.85,122,1,0,111.7,0,0,9.38,10.92,1,-1,-1.00,0,0,0,0.0,0,0
11,2011,2011-11-27,11,26.045,NWE,@,PHI,W 38-20,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,0.0,0,0
12,2011,2011-12-04,12,26.052,NWE,,IND,W 31-24,,,,,,,,,,,,,,,,,,,,,
13,2011,2012-01-01,16,26.080,NWE,,BUF,W 49-21,,1,1,100.00,22,0,0,118.7,0,0,22.00,22.00,3,-2,-0.67,0,0,0,0.0,0,0
14,2012,2012-12-23,15,27.071,ARI,,CHI,L 13-28,,11,19,57.89,105,0,1,51.4,2,12,5.53,3.16,0,0,,0,0,0,0.0,0,0
15,2012,2012-12-30,16,27.078,ARI,@,SFO,L 13-27,*,19,34,55.88,225,1,1,73.8,2,18,6.62,5.88,1,6,6.00,0,0,0,0.0,0,0
16,2013,2013-09-22,3,27.344,CLE,@,MIN,W 31-27,*,30,54,55.56,321,3,3,68.5,3,26,5.94,4.56,1,-2,-2.00,0,0,0,0.0,0,0
17,2013,2013-09-29,4,27.351,CLE,,CIN,W 17-6,*,25,38,65.79,269,2,0,103.9,3,22,7.08,8.13,4,7,1.75,0,0,0,0.0,0,0
18,2013,2013-10-03,5,27.355,CLE,,BUF,W 37-24,*,2,4,50.00,25,0,0,69.8,0,0,6.25,6.25,1,11,11.00,0,0,0,0.0,0,0
19,2014,2014-09-07,1,28.329,CLE,@,PIT,L 27-30,*,18,30,60.00,222,1,0,94.0,3,24,7.40,8.07,1,-2,-2.00,0,0,0,0.0,0,0
20,2014,2014-09-14,2,28.336,CLE,,NOR,W 26-24,*,24,40,60.00,204,1,0,81.7,1,2,5.10,5.60,0,0,,0,0,0,0.0,0,0
21,2014,2014-09-21,3,28.343,CLE,,BAL,L 21-23,*,19,25,76.00,290,1,0,127.1,0,0,11.60,12.40,3,-2,-0.67,0,0,0,0.0,0,0
22,2014,2014-10-05,4,28.357,CLE,@,TEN,W 29-28,*,21,37,56.76,291,3,1,97.9,1,7,7.86,8.27,1,2,2.00,0,0,0,0.0,0,0
23,2014,2014-10-12,5,28.364,CLE,,PIT,W 31-10,*,8,17,47.06,217,1,0,113.0,1,7,12.76,13.94,1,0,0.00,0,0,0,0.0,0,0
24,2014,2014-10-19,6,29.006,CLE,@,JAX,L 6-24,*,16,41,39.02,215,0,1,46.3,3,18,5.24,4.15,1,-1,-1.00,0,0,0,0.0,0,0
25,2014,2014-10-26,7,29.013,CLE,,OAK,W 23-13,*,19,28,67.86,275,1,0,111.5,1,8,9.82,10.54,2,1,0.50,0,0,0,0.0,0,0
26,2014,2014-11-02,8,29.020,CLE,,TAM,W 22-17,*,21,34,61.76,300,2,2,85.4,4,26,8.82,7.35,2,5,2.50,0,0,0,0.0,0,0
27,2014,2014-11-06,9,29.024,CLE,@,CIN,W 24-3,*,15,23,65.22,198,0,0,92.3,0,0,8.61,8.61,4,1,0.25,0,0,0,0.0,0,0
28,2014,2014-11-16,10,29.034,CLE,,HOU,L 7-23,*,20,50,40.00,330,1,1,61.2,3,20,6.60,6.10,2,1,0.50,0,0,0,0.0,1,0
29,2014,2014-11-23,11,29.041,CLE,@,ATL,W 26-24,*,23,40,57.50,322,0,3,52.3,1,9,8.05,4.68,3,12,4.00,0,0,0,0.0,0,0
30,2014,2014-11-30,12,29.048,CLE,@,BUF,L 10-26,*,18,30,60.00,192,0,2,51.0,2,14,6.40,3.40,0,0,,0,0,0,0.0,0,0
31,2014,2014-12-07,13,29.055,CLE,,IND,L 24-25,*,13,30,43.33,136,0,2,29.3,1,3,4.53,1.53,2,3,1.50,0,0,0,0.0,0,0
32,2014,2014-12-21,15,29.069,CLE,@,CAR,L 13-17,,7,13,53.85,134,1,1,83.5,3,22,10.31,8.38,2,19,9.50,0,0,0,0.0,0,0
33,2015,2015-09-13,1,29.335,HOU,,KAN,L 20-27,*,18,34,52.94,236,1,1,72.7,4,29,6.94,6.21,0,0,,0,0,0,0.0,0,0
34,2015,2015-10-04,4,29.356,HOU,@,ATL,L 21-48,,17,30,56.67,232,2,0,103.7,1,8,7.73,9.07,0,0,,0,0,0,0.0,0,0
35,2015,2015-10-08,5,29.360,HOU,,IND,L 20-27,,24,31,77.42,312,2,1,116.6,0,0,10.06,9.90,1,14,14.00,0,0,0,0.0,0,0
36,2015,2015-10-18,6,30.005,HOU,@,JAX,W 31-20,*,24,36,66.67,293,3,0,119.3,1,6,8.14,9.81,5,5,1.00,0,0,0,0.0,0,0
37,2015,2015-10-25,7,30.012,HOU,@,MIA,L 26-44,*,23,49,46.94,273,3,1,76.3,4,22,5.57,5.88,0,0,,0,0,0,0.0,0,0
38,2015,2015-11-01,8,30.019,HOU,,TEN,W 20-6,*,23,35,65.71,235,2,0,103.9,3,21,6.71,7.86,1,-1,-1.00,0,0,0,0.0,0,0
39,2015,2015-11-16,9,30.034,HOU,@,CIN,W 10-6,*,12,22,54.55,123,0,1,51.9,2,10,5.59,3.55,1,15,15.00,0,0,0,0.0,0,0
40,2015,2015-11-29,11,30.047,HOU,,NOR,W 24-6,*,21,27,77.78,205,2,1,107.6,1,10,7.59,7.41,3,-3,-1.00,0,0,0,0.0,0,0
41,2015,2015-12-06,12,30.054,HOU,@,BUF,L 21-30,*,26,43,60.47,293,3,1,94.4,2,18,6.81,7.16,3,15,5.00,0,0,0,0.0,0,0
42,2015,2015-12-13,13,30.061,HOU,,NWE,L 6-27,*,11,22,50.00,155,0,0,73.1,5,54,7.05,7.05,1,-1,-1.00,0,0,0,0.0,0,0
43,2015,2016-01-03,16,30.082,HOU,,JAX,W 30-6,*,25,40,62.50,249,1,1,78.0,2,7,6.23,5.60,0,0,,0,0,0,0.0,0,0
44,2016,2016-09-19,2,30.342,CHI,,PHI,L 14-29,,9,12,75.00,78,0,0,91.7,0,0,6.50,6.50,0,0,,0,0,0,0.0,0,0
45,2016,2016-09-25,3,30.348,CHI,@,DAL,L 17-31,*,30,49,61.22,317,2,0,93.7,1,5,6.47,7.29,2,2,1.00,0,0,0,0.0,0,0
46,2016,2016-10-02,4,30.355,CHI,,DET,W 17-14,*,28,36,77.78,302,2,0,120.1,2,8,8.39,9.50,3,-3,-1.00,0,0,0,0.0,0,0
47,2016,2016-10-09,5,30.362,CHI,@,IND,L 23-29,*,33,43,76.74,397,2,0,120.0,0,0,9.23,10.16,1,-1,-1.00,0,0,0,0.0,0,0
48,2016,2016-10-16,6,31.003,CHI,,JAX,L 16-17,*,30,49,61.22,302,0,0,78.8,1,5,6.16,6.16,1,0,0.00,0,0,0,0.0,0,0
49,2016,2016-10-20,7,31.007,CHI,@,GNB,L 10-26,*,4,11,36.36,49,0,0,50.9,0,0,4.45,4.45,0,0,,0,0,0,0.0,0,0
50,2017,2017-09-10,1,31.332,SFO,,CAR,L 3-23,*,24,35,68.57,193,0,1,70.3,4,27,5.51,4.23,1,-5,-5.00,0,0,0,0.0,0,0
51,2017,2017-09-17,2,31.339,SFO,@,SEA,L 9-12,*,15,27,55.56,99,0,1,48.2,2,10,3.67,2.00,0,0,,0,0,0,0.0,0,0
52,2017,2017-09-21,3,31.343,SFO,,LAR,L 39-41,*,23,37,62.16,332,2,1,98.0,4,24,8.97,8.84,1,9,9.00,1,1,6,0.0,0,0
53,2017,2017-10-01,4,31.353,SFO,@,ARI,L 15-18,*,24,49,48.98,234,0,1,54.3,3,24,4.78,3.86,1,3,3.00,0,0,0,0.0,0,0
54,2017,2017-10-08,5,31.360,SFO,@,IND,L 23-26,*,29,46,63.04,353,2,0,101.1,2,17,7.67,8.54,2,0,0.00,0,0,0,0.0,0,0
55,2017,2017-10-15,6,32.002,SFO,@,WAS,L 24-26,*,4,11,36.36,34,0,0,45.3,1,10,3.09,3.09,0,0,,0,0,0,0.0,0,0
56,2017,2017-11-12,9,32.030,NWE,@,DEN,W 41-16,,3,3,100.00,37,0,0,118.1,0,0,12.33,12.33,0,0,,0,0,0,0.0,0,0
57,2017,2017-11-19,10,32.037,NWE,@,OAK,W 33-8,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
58,2017,2017-12-03,12,32.051,NWE,@,BUF,W 23-3,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0,0,0,0.0,0,0
59,2017,2017-12-24,15,32.072,NWE,,BUF,W 37-16,,0,0,,0,0,0,,0,0,,,2,-1,-0.50,0,0,0,0.0,0,0
