ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1977,1977-09-18,1,23.326,CIN,,CLE,L 3-13,,,,,,,,
2,1977,1977-09-25,2,23.333,CIN,,SEA,W 42-20,,,,,,,,
3,1977,1977-10-02,3,23.340,CIN,@,SDG,L 3-24,2,42,21.00,0,0,0,,0
4,1977,1977-10-09,4,23.347,CIN,@,GNB,W 17-7,,,,,,,,
5,1977,1977-10-17,5,23.355,CIN,@,PIT,L 14-20,,,,,,,,
6,1977,1977-10-23,6,23.361,CIN,,DEN,L 13-24,,,,,,,,
7,1977,1977-10-30,7,24.003,CIN,,HOU,W 13-10,2,34,17.00,0,0,0,,0
8,1977,1977-11-06,8,24.010,CIN,@,CLE,W 10-7,,,,,,,,
9,1977,1977-11-13,9,24.017,CIN,@,MIN,L 10-42,2,28,14.00,0,0,0,,0
10,1977,1977-11-20,10,24.024,CIN,,MIA,W 23-17,2,25,12.50,0,0,0,,0
11,1977,1977-11-27,11,24.031,CIN,,NYG,W 30-13,0,0,,0,1,0,0.00,0
12,1977,1977-12-04,12,24.038,CIN,@,KAN,W 27-7,,,,,,,,
13,1977,1977-12-10,13,24.044,CIN,,PIT,W 17-10,,,,,,,,
14,1977,1977-12-18,14,24.052,CIN,@,HOU,L 16-21,,,,,,,,
15,1978,1978-09-02,1,24.310,TAM,,NYG,L 13-19,,,,,,,,
16,1978,1978-09-09,2,24.317,TAM,,DET,L 7-15,,,,,,,,
