ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1957,1957-10-13,3,23.051,PHI,@,CLE,L 7-24,,4,10,40.00,17,0,1,8.3,0,0,1.70,-2.80,2,-18,-9.00,0,0,0,,0,0,
2,1957,1957-10-20,4,23.058,PHI,,CLE,W 17-7,*,6,9,66.67,84,1,0,133.6,0,0,9.33,11.56,2,6,3.00,1,0,0,,0,1,
3,1957,1957-10-27,5,23.065,PHI,@,PIT,L 0-6,,1,5,20.00,12,0,1,0.0,0,0,2.40,-6.60,1,-2,-2.00,0,0,0,,0,0,
4,1957,1957-11-03,6,23.072,PHI,@,CRD,W 38-21,,2,3,66.67,8,0,0,70.1,0,0,2.67,2.67,0,0,,0,0,0,,0,0,
5,1957,1957-11-10,7,23.079,PHI,,DET,L 16-27,,1,4,25.00,15,0,1,3.1,0,0,3.75,-7.50,1,1,1.00,1,0,0,,0,1,
6,1957,1957-11-17,8,23.086,PHI,@,NYG,L 0-13,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,1,1.00,0,0,0,,0,0,
7,1957,1957-11-24,9,23.093,PHI,,WAS,W 21-12,*,9,14,64.29,211,3,2,107.7,0,0,15.07,12.93,1,8,8.00,0,0,0,,0,0,
8,1957,1957-12-01,10,23.100,PHI,,PIT,W 7-6,*,4,5,80.00,56,1,0,152.9,0,0,11.20,15.20,2,1,0.50,0,0,0,,0,0,
9,1957,1957-12-08,11,23.107,PHI,@,WAS,L 7-42,*,5,17,29.41,61,0,3,2.5,0,0,3.59,-4.35,0,0,,0,0,0,,0,0,
10,1957,1957-12-14,12,23.113,PHI,,CRD,L 27-31,,1,2,50.00,6,0,0,56.2,0,0,3.00,3.00,0,0,,0,0,0,,0,0,
11,1958,1958-11-16,8,24.085,PHI,,CRD,W 49-21,,2,4,50.00,33,0,1,38.5,0,0,8.25,-3.00,1,1,1.00,0,0,0,,0,0,
12,1958,1958-12-14,12,24.113,PHI,@,WAS,L 0-20,,10,18,55.56,226,0,0,100.5,0,0,12.56,12.56,0,0,,0,0,0,,0,0,
13,1959,1959-10-04,2,25.042,PHI,,NYG,W 49-21,,3,5,60.00,27,1,0,114.2,0,0,5.40,9.40,0,0,,0,0,0,,0,0,
14,1960,1960-09-25,1,26.033,PHI,,CLE,L 24-41,,5,6,83.33,57,1,0,145.8,0,0,9.50,12.83,0,0,,0,0,0,,0,0,0
15,1960,1960-10-16,4,26.054,PHI,,DET,W 28-10,,1,4,25.00,-3,0,0,39.6,0,0,-0.75,-0.75,0,0,,0,0,0,,0,0,0
16,1960,1960-11-06,6,26.075,PHI,,PIT,W 34-7,,2,4,50.00,25,0,0,69.8,0,0,6.25,6.25,0,0,,0,0,0,,0,0,0
17,1960,1960-12-11,11,26.110,PHI,@,PIT,L 21-27,,8,19,42.11,211,2,1,96.6,0,0,11.11,10.84,1,-4,-4.00,0,0,0,,0,0,0
18,1960,1960-12-18,12,26.117,PHI,@,WAS,W 38-28,,8,11,72.73,196,2,0,154.4,0,0,17.82,21.45,3,9,3.00,0,0,0,,0,0,0
19,1961,1961-09-17,1,27.025,PHI,,CLE,W 27-20,*,11,17,64.71,183,2,1,115.6,0,0,10.76,10.47,1,1,1.00,0,0,0,,0,0,0
20,1961,1961-09-24,2,27.032,PHI,,WAS,W 14-7,*,11,28,39.29,210,2,3,50.3,0,0,7.50,4.11,1,4,4.00,0,0,0,,0,0,0
21,1961,1961-10-01,3,27.039,PHI,,STL,L 27-30,*,24,36,66.67,399,3,2,108.4,0,0,11.08,10.25,4,4,1.00,0,0,0,,0,0,0
22,1961,1961-10-08,4,27.046,PHI,,PIT,W 21-16,*,11,22,50.00,109,2,3,55.1,0,0,4.95,0.64,4,10,2.50,0,0,0,,0,0,0
23,1961,1961-10-15,5,27.053,PHI,@,STL,W 20-7,*,17,32,53.13,233,2,0,97.5,0,0,7.28,8.53,3,0,0.00,0,0,0,,0,0,0
24,1961,1961-10-22,6,27.060,PHI,@,DAL,W 43-7,*,10,15,66.67,154,0,0,100.4,0,0,10.27,10.27,0,0,,0,0,0,,0,0,0
