ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-04,1,22.333,KAN,,SEA,W 17-13,,,,,,
2,1983,1983-09-12,2,22.341,KAN,,SDG,L 14-17,,,,,,
3,1983,1983-09-18,3,22.347,KAN,@,WAS,L 12-27,,,,,,
4,1983,1983-09-25,4,22.354,KAN,@,MIA,L 6-14,,,,,,
5,1983,1983-10-02,5,22.361,KAN,,STL,W 38-14,0,0,0.0,1,0,0
6,1983,1983-10-09,6,23.003,KAN,@,RAI,L 20-21,0,0,0.0,2,8,0
7,1983,1983-10-16,7,23.010,KAN,,NYG,W 38-17,,,,,,
8,1983,1983-10-23,8,23.017,KAN,@,HOU,W 13-10,,,,,,
9,1983,1983-10-30,9,23.024,KAN,@,DEN,L 24-27,,,,,,
10,1983,1983-11-06,10,23.031,KAN,,RAI,L 20-28,,,,,,
11,1983,1983-11-13,11,23.038,KAN,,CIN,W 20-15,,,,,,
12,1983,1983-11-20,12,23.045,KAN,@,DAL,L 21-41,,,,,,
13,1983,1983-11-27,13,23.052,KAN,@,SEA,L 48-51,0,0,0.0,1,34,0
14,1983,1983-12-04,14,23.059,KAN,,BUF,L 9-14,,,,,,
15,1983,1983-12-11,15,23.066,KAN,@,SDG,L 38-41,,,,,,
16,1983,1983-12-18,16,23.073,KAN,,DEN,W 48-17,,,,,,
17,1984,1984-09-02,1,23.332,KAN,@,PIT,W 37-27,,,,,,
18,1984,1984-09-09,2,23.339,KAN,@,CIN,W 27-22,,,,,,
19,1984,1984-09-16,3,23.346,KAN,,RAI,L 20-22,,,,,,
20,1984,1984-09-23,4,23.353,KAN,@,DEN,L 0-21,,,,,,
21,1984,1984-09-30,5,23.360,KAN,,CLE,W 10-6,,,,,,
22,1984,1984-10-07,6,24.001,KAN,,NYJ,L 16-17,,,,,,
23,1984,1984-10-14,7,24.008,KAN,,SDG,W 31-13,,,,,,
24,1984,1984-10-21,8,24.015,KAN,@,NYJ,L 7-28,,,,,,
25,1984,1984-10-28,9,24.022,KAN,,TAM,W 24-20,,,,,,
26,1984,1984-11-04,10,24.029,KAN,@,SEA,L 0-45,0,0,0.0,1,31,0
27,1984,1984-11-11,11,24.036,KAN,,HOU,L 16-17,0,0,1.0,0,0,0
28,1984,1984-11-18,12,24.043,KAN,@,RAI,L 7-17,0,0,0.0,1,0,0
29,1984,1984-11-25,13,24.050,KAN,@,NYG,L 27-28,0,0,0.0,1,26,0
30,1984,1984-12-02,14,24.057,KAN,,DEN,W 16-13,0,0,0.0,1,0,0
31,1984,1984-12-09,15,24.064,KAN,,SEA,W 34-7,,,,,,
32,1985,1985-09-08,1,24.337,KAN,@,NOR,W 47-27,0,0,0.0,1,0,0
33,1985,1985-09-12,2,24.341,KAN,,RAI,W 36-20,0,0,0.0,1,0,0
34,1985,1985-09-22,3,24.351,KAN,@,MIA,L 0-31,,,,,,
35,1985,1985-09-29,4,24.358,KAN,,SEA,W 28-7,,,,,,
36,1985,1985-10-06,5,25.000,KAN,@,RAI,L 10-19,,,,,,
37,1985,1985-10-13,6,25.007,KAN,@,SDG,L 20-31,,,,,,
38,1985,1985-10-20,7,25.014,KAN,,RAM,L 0-16,,,,,,
39,1985,1985-10-27,8,25.021,KAN,,DEN,L 10-30,,,,,,
40,1985,1985-11-03,9,25.028,KAN,@,HOU,L 20-23,,,,,,
41,1985,1985-11-10,10,25.035,KAN,,PIT,L 28-36,,,,,,
42,1985,1985-11-17,11,25.042,KAN,@,SFO,L 3-31,,,,,,
43,1985,1985-11-24,12,25.049,KAN,,IND,W 20-7,,,,,,
44,1985,1985-12-01,13,25.056,KAN,@,SEA,L 6-24,,,,,,
45,1985,1985-12-08,14,25.063,KAN,,ATL,W 38-10,0,0,1.0,3,22,0
46,1985,1985-12-14,15,25.069,KAN,@,DEN,L 13-14,0,0,0.0,2,21,0
47,1985,1985-12-22,16,25.077,KAN,,SDG,W 38-34,0,0,0.5,1,16,0
48,1986,1986-09-07,1,25.336,KAN,,CIN,W 24-14,,,,,,
49,1986,1986-09-14,2,25.343,KAN,@,SEA,L 17-23,,,,,,
50,1986,1986-09-21,3,25.350,KAN,,HOU,W 27-13,,,,,,
51,1986,1986-09-28,4,25.357,KAN,@,BUF,W 20-17,,,,,,
52,1986,1986-10-05,5,25.364,KAN,,RAI,L 17-24,,,,,,
53,1986,1986-10-19,7,26.013,KAN,,SDG,W 42-41,0,0,0.0,1,0,0
54,1986,1986-10-26,8,26.020,KAN,,TAM,W 27-20,,,,,,
55,1986,1986-11-02,9,26.027,KAN,@,SDG,W 24-23,0,0,1.0,2,18,0
