ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1996,1996-09-08,2,24.150,NWE,@,BUF,L 10-17,,2,0,0,,0,0.0%,0.00,,,,,,
2,1996,1996-09-15,3,24.157,NWE,,ARI,W 31-0,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0
3,1996,1996-09-22,4,24.164,NWE,,JAX,W 28-25,,,0,0,,0,0.0%,,,,,,,
4,1996,1996-10-06,5,24.178,NWE,@,BAL,W 46-38,,,0,0,,0,0.0%,,,,,,,
5,1996,1996-10-13,6,24.185,NWE,,WAS,L 22-27,,,0,0,,0,0.0%,,,,,,,
6,1996,1996-10-20,7,24.192,NWE,@,IND,W 27-9,,,0,0,,0,0.0%,,,,,,,
7,1996,1996-12-21,16,24.254,NWE,@,NYG,W 23-22,,,0,0,,0,0.0%,,,,,,,
8,1997,1997-09-07,2,25.149,NWE,@,IND,W 31-6,,0,0,0,,0,0.0%,,,,,,,
9,1997,1997-09-14,3,25.156,NWE,,NYJ,W 27-24,,,0,0,,0,0.0%,,,,,,,
10,1997,1997-09-21,4,25.163,NWE,,CHI,W 31-3,,1,0,0,,0,0.0%,0.00,,,,,,
11,1997,1997-10-06,5,25.178,NWE,@,DEN,L 13-34,,,0,0,,0,0.0%,,,,,,,
12,1997,1997-10-12,6,25.184,NWE,,BUF,W 33-6,,,0,0,,0,0.0%,,,,,,,
13,1997,1997-10-19,7,25.191,NWE,@,NYJ,L 19-24,,,0,0,,0,0.0%,,,,,,,
14,1997,1997-11-02,9,25.205,NWE,@,MIN,L 18-23,,,0,0,,0,0.0%,,,,,,,
15,1997,1997-11-16,11,25.219,NWE,@,TAM,L 7-27,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
16,1997,1997-11-23,12,25.226,NWE,,MIA,W 27-24,,,0,0,,0,0.0%,,,,,,,
17,1997,1997-12-07,14,25.240,NWE,@,JAX,W 26-20,,,0,0,,0,0.0%,,,,,,,
18,1997,1997-12-13,15,25.246,NWE,,PIT,L 21-24,,,0,0,,0,0.0%,,,,,,,
19,1998,1998-11-02,8,26.205,PHI,,DAL,L 0-34,,1,,,,,0.0%,,,,,,,
20,1998,1998-11-08,9,26.211,PHI,,DET,W 10-9,,1,,,,,0.0%,,,,,,,
21,1998,1998-11-15,10,26.218,PHI,@,WAS,L 3-28,,1,,,,,0.0%,,,,,,,
22,1998,1998-11-22,11,26.225,PHI,@,NYG,L 0-20,,2,1,16,16.00,0,50.0%,8.00,1,13,13.00,0,0,0
23,1998,1998-11-29,12,26.232,PHI,@,GNB,L 16-24,,1,0,0,,0,0.0%,0.00,1,-4,-4.00,0,0,0
24,1998,1998-12-03,13,26.236,PHI,,STL,W 17-14,,1,,,,,0.0%,,,,,,,
25,1998,1998-12-13,14,26.246,PHI,,ARI,L 17-20,,1,,,,,0.0%,,,,,,,
26,1998,1998-12-20,15,26.253,PHI,@,DAL,L 9-13,,,,,,,0.0%,,,,,,,
27,1998,1998-12-27,16,26.260,PHI,,NYG,L 10-20,,1,1,37,37.00,0,100.0%,37.00,0,0,,0,0,0
28,1999,1999-09-12,1,27.154,PHI,,ARI,L 24-25,,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0
29,1999,1999-09-19,2,27.161,PHI,,TAM,L 5-19,*,3,,,,,0.0%,,,,,,,
30,1999,1999-09-26,3,27.168,PHI,@,BUF,L 0-26,,3,,,,,0.0%,,,,,,,
31,1999,1999-10-03,4,27.175,PHI,@,NYG,L 15-16,*,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0
32,1999,1999-10-10,5,27.182,PHI,,DAL,W 13-10,,3,,,,,0.0%,,,,,,,
33,1999,1999-10-17,6,27.189,PHI,@,CHI,W 20-16,,3,2,69,34.50,1,66.7%,23.00,0,0,,0,1,6
34,1999,1999-10-24,7,27.196,PHI,@,MIA,L 13-16,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
35,1999,1999-10-31,8,27.203,PHI,,NYG,L 17-23,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
36,1999,1999-11-07,9,27.210,PHI,@,CAR,L 7-33,,2,,,,,0.0%,,,,,,,
37,1999,1999-11-28,12,27.231,PHI,@,WAS,L 17-20,,1,,,,,0.0%,,,,,,,
38,1999,1999-12-05,13,27.238,PHI,@,ARI,L 17-21,,2,,,,,0.0%,,,,,,,
39,1999,1999-12-12,14,27.245,PHI,@,DAL,L 10-20,,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0
40,1999,1999-12-19,15,27.252,PHI,,NWE,W 24-9,,1,1,44,44.00,1,100.0%,44.00,0,0,,0,1,6
41,1999,2000-01-02,16,27.266,PHI,,STL,W 38-31,*,1,,,,,0.0%,,,,,,,
