ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2000,2000-09-10,2,21.018,CHI,@,TAM,L 0-41,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0
2,2000,2000-09-17,3,21.025,CHI,,NYG,L 7-14,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,0
3,2000,2000-09-24,4,21.032,CHI,,DET,L 14-21,,,,,,,0.0%,,,,,,,,,,,
4,2000,2000-10-01,5,21.039,CHI,@,GNB,W 27-24,,,,,,,0.0%,,,,,,,,,,,
5,2000,2000-10-08,6,21.046,CHI,,NOR,L 10-31,,2,,,,,0.0%,,,,,,,,,,,
6,2000,2000-10-15,7,21.053,CHI,,MIN,L 16-28,,1,1,25,25.00,1,100.0%,25.00,0,0,,0,0,0,,0,1,6
7,2000,2000-10-22,8,21.060,CHI,@,PHI,L 9-13,,0,,,,,0.0%,,,,,,,,,,,
8,2000,2000-11-05,9,21.074,CHI,,IND,W 27-24,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0
9,2000,2000-11-12,10,21.081,CHI,@,BUF,L 3-20,,,,,,,0.0%,,,,,,,,,,,
10,2000,2000-11-19,11,21.088,CHI,,TAM,W 13-10,,,,,,,0.0%,,,,,,,,,,,
11,2000,2000-11-26,12,21.095,CHI,@,NYJ,L 10-17,,,,,,,0.0%,,,,,,,,,,,
12,2000,2000-12-03,13,21.102,CHI,,GNB,L 6-28,,9,2,20,10.00,0,22.2%,2.22,0,0,,0,0,0,,0,0,0
13,2000,2000-12-10,14,21.109,CHI,,NWE,W 24-17,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0
14,2000,2000-12-17,15,21.116,CHI,@,SFO,L 0-17,,1,,,,,0.0%,,,,,,,,,,,
15,2000,2000-12-24,16,21.123,CHI,@,DET,W 23-20,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0
16,2001,2001-09-09,1,22.017,CHI,@,BAL,L 6-17,*,9,3,44,14.67,0,33.3%,4.89,0,0,,0,0,0,,0,0,0
17,2001,2001-09-23,2,22.031,CHI,,MIN,W 17-10,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0
18,2001,2001-10-07,3,22.045,CHI,@,ATL,W 31-3,,4,1,2,2.00,0,25.0%,0.50,0,0,,0,0,0,,0,0,0
19,2001,2001-10-14,4,22.052,CHI,,ARI,W 20-13,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0
20,2001,2001-10-21,5,22.059,CHI,@,CIN,W 24-0,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0
21,2001,2001-10-28,6,22.066,CHI,,SFO,W 37-31,*,9,7,68,9.71,0,77.8%,7.56,0,0,,0,0,0,,0,0,0
22,2001,2001-11-04,7,22.073,CHI,,CLE,W 27-21,*,12,7,92,13.14,0,58.3%,7.67,0,0,,0,0,0,,0,0,0
23,2001,2001-11-11,8,22.080,CHI,,GNB,L 12-20,*,13,7,45,6.43,0,53.8%,3.46,0,0,,0,0,0,,0,0,0
24,2001,2001-11-18,9,22.087,CHI,@,TAM,W 27-24,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0
25,2001,2001-11-25,10,22.094,CHI,@,MIN,W 13-6,*,8,4,32,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0
26,2001,2001-12-02,11,22.101,CHI,,DET,W 13-10,*,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0
27,2001,2001-12-09,12,22.108,CHI,@,GNB,L 7-17,,6,5,48,9.60,0,83.3%,8.00,0,0,,0,0,0,,0,0,0
28,2001,2001-12-16,13,22.115,CHI,,TAM,W 27-3,,7,3,32,10.67,0,42.9%,4.57,0,0,,0,0,0,,0,0,0
29,2001,2001-12-23,14,22.122,CHI,@,WAS,W 20-15,,3,2,5,2.50,0,66.7%,1.67,0,0,,0,0,0,,0,0,0
30,2002,2002-09-08,1,23.016,CHI,,MIN,W 27-23,*,8,4,46,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0
31,2002,2002-09-15,2,23.023,CHI,@,ATL,W 14-13,*,6,1,4,4.00,0,16.7%,0.67,1,21,21.00,0,0,0,,0,0,0
32,2002,2002-09-22,3,23.030,CHI,,NOR,L 23-29,*,7,3,41,13.67,1,42.9%,5.86,0,0,,0,0,0,,0,1,6
33,2002,2002-09-29,4,23.037,CHI,@,BUF,L 27-33,*,4,2,28,14.00,0,50.0%,7.00,1,0,0.00,0,0,0,,0,0,0
34,2002,2002-10-07,5,23.045,CHI,,GNB,L 21-34,*,9,6,70,11.67,0,66.7%,7.78,0,0,,0,2,47,23.50,0,0,0
35,2002,2002-10-20,6,23.058,CHI,@,DET,L 20-23,*,6,3,70,23.33,0,50.0%,11.67,1,-10,-10.00,0,0,0,,0,0,0
36,2002,2002-10-27,7,23.065,CHI,@,MIN,L 7-25,*,5,4,65,16.25,0,80.0%,13.00,0,0,,0,0,0,,0,0,0
37,2002,2002-11-03,8,23.072,CHI,,PHI,L 13-19,*,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0,,0,0,0
38,2002,2002-11-10,9,23.079,CHI,,NWE,L 30-33,*,5,2,8,4.00,0,40.0%,1.60,0,0,,0,0,0,,0,0,0
39,2002,2002-11-18,10,23.087,CHI,@,STL,L 16-21,*,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0
40,2002,2002-11-24,11,23.093,CHI,,DET,W 20-17,,12,8,106,13.25,1,66.7%,8.83,0,0,,0,0,0,,0,1,6
41,2002,2002-12-01,12,23.100,CHI,@,GNB,L 20-30,*,8,5,39,7.80,0,62.5%,4.88,0,0,,0,0,0,,0,0,0
42,2002,2002-12-09,13,23.108,CHI,@,MIA,L 9-27,*,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,0
43,2002,2002-12-15,14,23.114,CHI,,NYJ,W 20-13,*,5,4,28,7.00,0,80.0%,5.60,0,0,,0,0,0,,0,0,0
44,2002,2002-12-22,15,23.121,CHI,@,CAR,L 14-24,*,4,2,81,40.50,2,50.0%,20.25,0,0,,0,0,0,,0,2,12
45,2002,2002-12-29,16,23.128,CHI,,TAM,L 0-15,,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0
