ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1997,1997-08-31,1,21.351,NOR,@,STL,L 24-38,,4,30,7.50,0,2,1,18,18.00,0,50.0%,9.00,1,29,29.00,0,0,0
2,1997,1997-09-07,2,21.358,NOR,,SDG,L 6-20,,10,34,3.40,0,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,0
3,1997,1997-09-14,3,22.000,NOR,@,SFO,L 7-33,,5,11,2.20,0,0,0,0,,0,0.0%,,4,55,13.75,0,0,0
4,1997,1997-09-21,4,22.007,NOR,,DET,W 35-17,,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
5,1997,1997-09-28,5,22.014,NOR,@,NYG,L 9-14,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
6,1997,1997-10-05,6,22.021,NOR,@,CHI,W 20-17,,6,14,2.33,0,2,0,0,,0,0.0%,0.00,1,22,22.00,0,0,0
7,1997,1997-10-12,7,22.028,NOR,,ATL,L 17-23,,2,15,7.50,0,2,2,2,1.00,0,100.0%,1.00,0,0,,0,0,0
8,1997,1997-10-19,8,22.035,NOR,,CAR,L 0-13,,12,45,3.75,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0
9,1997,1997-10-26,9,22.042,NOR,,SFO,L 0-23,,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
10,1997,1997-11-09,10,22.056,NOR,@,OAK,W 13-10,,5,1,0.20,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0
11,1997,1997-11-16,11,22.063,NOR,,SEA,W 20-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
12,1997,1997-11-23,12,22.070,NOR,@,ATL,L 3-20,,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
13,1997,1997-11-30,13,22.077,NOR,@,CAR,W 16-13,,9,37,4.11,0,0,0,0,,0,0.0%,,3,67,22.33,0,0,0
