ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1998,1998-09-20,3,23.092,NYJ,,IND,W 44-6,,,,,,,0.0%,,,
2,1998,1998-10-04,4,23.106,NYJ,,MIA,W 20-9,,,,,,,0.0%,,,
3,1998,1998-10-19,6,23.121,NYJ,@,NWE,W 24-14,,,,,,,0.0%,,,
4,1998,1998-10-25,7,23.127,NYJ,,ATL,W 28-3,,1,1,5,5.00,0,100.0%,5.00,0,0
5,1999,1999-09-19,2,24.091,NYJ,@,BUF,L 3-17,,2,2,13,6.50,0,100.0%,6.50,0,0
6,1999,1999-09-26,3,24.098,NYJ,,WAS,L 20-27,,0,,,,,0.0%,,,
7,1999,1999-10-03,4,24.105,NYJ,@,DEN,W 21-13,,,,,,,0.0%,,,
8,1999,1999-10-11,5,24.113,NYJ,,JAX,L 6-16,,0,,,,,0.0%,,,
9,1999,1999-10-17,6,24.119,NYJ,,IND,L 13-16,,,,,,,0.0%,,,
10,1999,1999-11-15,9,24.148,NYJ,@,NWE,W 24-17,,,,,,,0.0%,,,
11,1999,1999-11-21,10,24.154,NYJ,,BUF,W 17-7,,,,,,,0.0%,,,
12,1999,1999-12-19,14,24.182,NYJ,@,DAL,W 22-21,,1,1,2,2.00,1,100.0%,2.00,1,6
13,1999,1999-12-27,15,24.190,NYJ,@,MIA,W 38-31,,,,,,,0.0%,,,
14,1999,2000-01-02,16,24.196,NYJ,,SEA,W 19-9,,1,,,,,0.0%,,,
15,2000,2000-09-03,1,25.075,TAM,@,NWE,W 21-16,,,,,,,0.0%,,,
16,2000,2000-09-17,3,25.089,TAM,@,DET,W 31-10,,0,,,,,0.0%,,,
17,2000,2000-09-24,4,25.096,TAM,,NYJ,L 17-21,,,,,,,0.0%,,,
