ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,22.272,CHI,@,IND,W 29-13,*,23,123,5.35,1,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
2,2008,2008-09-14,2,22.279,CHI,@,CAR,L 17-20,*,23,92,4.00,0,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
3,2008,2008-09-21,3,22.286,CHI,,TAM,L 24-27,*,27,89,3.30,0,10,7,66,9.43,1,70.0%,6.60,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
4,2008,2008-09-28,4,22.293,CHI,,PHI,W 24-20,*,19,43,2.26,0,6,5,42,8.40,0,83.3%,7.00,0,0,,0,0,0,,,,,,,0,0,0.0,2,0
5,2008,2008-10-05,5,22.300,CHI,@,DET,W 34-7,*,15,36,2.40,1,4,4,25,6.25,1,100.0%,6.25,0,0,,0,0,0,,,,,,,2,12,0.0,0,0
6,2008,2008-10-12,6,22.307,CHI,@,ATL,L 20-22,*,20,76,3.80,1,5,5,34,6.80,0,100.0%,6.80,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
7,2008,2008-10-19,7,22.314,CHI,,MIN,W 48-41,*,20,56,2.80,1,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
8,2008,2008-11-02,8,22.328,CHI,,DET,W 27-23,*,22,126,5.73,0,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
9,2008,2008-11-09,9,22.335,CHI,,TEN,L 14-21,*,20,72,3.60,0,7,7,54,7.71,1,100.0%,7.71,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
10,2008,2008-11-16,10,22.342,CHI,@,GNB,L 3-37,*,16,64,4.00,0,7,6,40,6.67,0,85.7%,5.71,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
11,2008,2008-11-23,11,22.349,CHI,@,STL,W 27-3,*,21,139,6.62,2,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,,2,12,0.0,0,0
