ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-06,1,23.060,SFO,@,NYG,W 31-14,,,,,,0.0%,,,,,
2,1992,1992-09-13,2,23.067,SFO,,BUF,L 31-34,,,,,,0.0%,,,,,
3,1992,1992-09-27,4,23.081,SFO,@,NOR,W 16-10,,0,0,,0,0.0%,,0.0,1,0,0
4,1992,1992-10-04,5,23.088,SFO,,RAM,W 27-24,,,,,,0.0%,,,,,
5,1992,1992-10-11,6,23.095,SFO,@,NWE,W 24-12,,0,0,,0,0.0%,,0.0,1,34,0
6,1992,1992-10-18,7,23.102,SFO,,ATL,W 56-17,,,,,,0.0%,,,,,
7,1992,1992-11-01,8,23.116,SFO,@,PHO,L 14-24,,,,,,0.0%,,,,,
8,1992,1992-11-09,9,23.124,SFO,@,ATL,W 41-3,,,,,,0.0%,,,,,
9,1992,1992-11-15,10,23.130,SFO,,NOR,W 21-20,,0,0,,0,0.0%,,1.0,0,0,0
10,1992,1992-11-22,11,23.137,SFO,@,RAM,W 27-10,,,,,,0.0%,,,,,
11,1992,1992-11-29,12,23.144,SFO,,PHI,W 20-14,,,,,,0.0%,,,,,
12,1992,1992-12-06,13,23.151,SFO,,MIA,W 27-3,,,,,,0.0%,,,,,
13,1992,1992-12-13,14,23.158,SFO,@,MIN,W 20-17,,,,,,0.0%,,,,,
14,1992,1992-12-19,15,23.164,SFO,,TAM,W 21-14,,,,,,0.0%,,,,,
15,1992,1992-12-28,16,23.173,SFO,,DET,W 24-6,,,,,,0.0%,,,,,
16,1993,1993-09-05,1,24.059,SFO,@,PIT,W 24-13,,,,,,0.0%,,,,,
17,1993,1993-09-13,2,24.067,SFO,@,CLE,L 13-23,,,,,,0.0%,,,,,
18,1993,1993-09-19,3,24.073,SFO,,ATL,W 37-30,,,,,,0.0%,,,,,
19,1993,1993-10-24,7,24.108,SFO,,PHO,W 28-14,,,,,,0.0%,,,,,
20,1993,1993-10-31,8,24.115,SFO,,RAM,W 40-17,,,,,,0.0%,,,,,
