ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1960,1960-09-25,1,25.133,BAL,,WAS,W 20-0,0,0,,0,1,3,0
2,1960,1960-10-02,2,25.140,BAL,,CHI,W 42-7,0,0,,0,2,18,0
3,1960,1960-10-30,6,25.168,BAL,@,DAL,W 45-7,0,0,,0,2,19,0
4,1961,1961-12-03,12,26.202,BAL,,SFO,W 20-17,0,0,,0,1,0,0
5,1961,1961-12-16,14,26.215,BAL,@,SFO,W 27-24,0,0,,0,1,15,0
6,1962,1962-09-30,3,27.138,BAL,,DET,L 20-29,0,0,,0,2,9,0
7,1962,1962-11-11,9,27.180,BAL,@,RAM,W 14-2,0,0,,0,1,0,0
8,1962,1962-12-08,13,27.207,BAL,,WAS,W 34-21,0,0,,0,2,7,0
9,1962,1962-12-16,14,27.215,BAL,,MIN,W 42-17,0,29,,0,,,
10,1963,1963-10-27,7,28.165,BAL,,GNB,L 20-34,0,0,,0,1,18,0
11,1963,1963-12-01,12,28.200,BAL,@,WAS,W 36-20,0,0,,0,1,2,0
12,1964,1964-09-20,2,29.128,BAL,@,GNB,W 21-20,0,0,,0,1,0,0
13,1964,1964-09-27,3,29.135,BAL,,CHI,W 52-0,0,0,,0,1,9,0
14,1964,1964-11-08,9,29.177,BAL,@,CHI,W 40-24,0,0,,0,1,1,0
15,1965,1965-11-07,8,30.176,BAL,@,CHI,W 26-21,0,0,,0,1,4,0
16,1966,1966-11-13,9,31.182,BAL,@,ATL,W 19-7,0,0,,0,2,0,0
17,1966,1966-11-20,10,31.189,BAL,@,DET,L 14-20,0,0,,0,1,4,0
18,1967,1967-09-24,2,32.132,BAL,@,PHI,W 38-6,0,0,,0,2,20,0
19,1967,1967-11-05,8,32.174,BAL,,GNB,W 13-10,0,0,,0,1,0,0
20,1968,1968-11-24,11,33.193,BAL,,MIN,W 21-9,0,0,,0,1,2,0
