ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2004,2004-09-12,1,26.132,KAN,@,DEN,L 24-34,,3,3,100.0,1,2,50.0,0,6,0,0,,0
2,2004,2004-09-19,2,26.139,KAN,,CAR,L 17-28,,2,2,100.0,1,2,50.0,0,5,0,0,,0
3,2004,2004-09-26,3,26.146,KAN,,HOU,L 21-24,,3,3,100.0,,,,0,3,,,,
4,2004,2004-10-04,4,26.154,KAN,@,BAL,W 27-24,,3,3,100.0,2,2,100.0,0,9,0,0,,0
5,2004,2004-10-17,5,26.167,KAN,@,JAX,L 16-22,,1,2,50.0,1,2,50.0,0,4,0,0,,0
6,2004,2004-10-24,6,26.174,KAN,,ATL,W 56-10,,8,8,100.0,,,,0,8,,,,
7,2004,2004-10-31,7,26.181,KAN,,IND,W 45-35,,6,6,100.0,1,1,100.0,0,9,0,0,,0
8,2004,2004-11-07,8,26.188,KAN,@,TAM,L 31-34,,4,4,100.0,1,1,100.0,0,7,0,0,,0
9,2004,2004-11-14,9,26.195,KAN,@,NOR,L 20-27,,2,2,100.0,2,2,100.0,0,8,0,0,,0
10,2004,2004-11-22,10,26.203,KAN,,NWE,L 19-27,,1,1,100.0,2,2,100.0,0,7,0,0,,0
11,2004,2004-11-28,11,26.209,KAN,,SDG,L 31-34,,2,3,66.7,1,1,100.0,0,5,0,0,,0
12,2004,2004-12-05,12,26.216,KAN,@,OAK,W 34-27,,4,4,100.0,2,2,100.0,0,10,0,0,,0
13,2004,2004-12-13,13,26.224,KAN,@,TEN,W 49-38,,7,7,100.0,,,,0,7,,,,
14,2004,2004-12-19,14,26.230,KAN,,DEN,W 45-17,,6,6,100.0,1,1,100.0,0,9,0,0,,0
15,2004,2004-12-25,15,26.236,KAN,,OAK,W 31-30,,4,4,100.0,1,3,33.3,0,7,0,0,,0
16,2004,2005-01-02,16,26.244,KAN,@,SDG,L 17-24,,2,2,100.0,1,2,50.0,0,5,0,0,,0
17,2005,2005-09-11,1,27.131,KAN,,NYJ,W 27-7,,3,3,100.0,2,3,66.7,0,9,0,0,,0
18,2005,2005-09-18,2,27.138,KAN,@,OAK,W 23-17,,2,2,100.0,3,4,75.0,0,11,0,0,,0
19,2005,2005-09-26,3,27.146,KAN,@,DEN,L 10-30,,1,1,100.0,1,1,100.0,0,4,0,0,,0
20,2005,2005-10-02,4,27.152,KAN,,PHI,L 31-37,,4,4,100.0,1,1,100.0,0,7,0,0,,0
21,2005,2005-10-16,5,27.166,KAN,,WAS,W 28-21,,2,2,100.0,2,2,100.0,0,8,0,0,,0
22,2005,2005-10-21,6,27.171,KAN,@,MIA,W 30-20,,3,3,100.0,3,3,100.0,0,12,0,0,,0
23,2005,2005-10-30,7,27.180,KAN,@,SDG,L 20-28,,2,2,100.0,2,2,100.0,0,8,0,0,,0
24,2005,2005-11-06,8,27.187,KAN,,OAK,W 27-23,,3,3,100.0,2,2,100.0,0,9,0,0,,0
25,2005,2005-11-13,9,27.194,KAN,@,BUF,L 3-14,,,,,1,3,33.3,0,3,0,0,,0
26,2005,2005-11-20,10,27.201,KAN,@,HOU,W 45-17,,6,6,100.0,1,1,100.0,0,9,0,0,,0
27,2005,2005-11-27,11,27.208,KAN,,NWE,W 26-16,,2,2,100.0,4,4,100.0,0,14,0,0,,0
28,2005,2005-12-04,12,27.215,KAN,,DEN,W 31-27,,4,4,100.0,1,1,100.0,0,7,0,0,,0
29,2005,2005-12-11,13,27.222,KAN,@,DAL,L 28-31,,4,4,100.0,,1,0.0,0,4,0,0,,0
30,2005,2005-12-17,14,27.228,KAN,@,NYG,L 17-27,,2,2,100.0,1,1,100.0,0,5,0,0,,0
31,2005,2005-12-24,15,27.235,KAN,,SDG,W 20-7,,2,3,66.7,,1,0.0,0,2,0,0,,0
32,2005,2006-01-01,16,27.243,KAN,,CIN,W 37-3,,4,4,100.0,3,3,100.0,0,13,0,0,,0
33,2006,2006-09-10,1,28.130,KAN,,CIN,L 10-23,,1,1,100.0,1,2,50.0,0,4,0,0,,0
34,2006,2006-09-17,2,28.137,KAN,@,DEN,L 6-9,,,,,2,2,100.0,0,6,0,0,,0
35,2006,2006-10-01,3,28.151,KAN,,SFO,W 41-0,,5,5,100.0,2,2,100.0,0,11,1,33,33.00,0
