ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,21.265,DET,@,ATL,L 21-34,*,16,48,3.00,1,4,4,32,8.00,0,100.0%,8.00,,1,6,0.0,0,0
2,2008,2008-09-14,2,21.272,DET,,GNB,L 25-48,*,10,40,4.00,0,5,4,21,5.25,0,80.0%,4.20,,0,0,0.0,0,0
3,2008,2008-09-21,3,21.279,DET,@,SFO,L 13-31,*,3,14,4.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
4,2008,2008-10-05,4,21.293,DET,,CHI,L 7-34,*,8,31,3.88,1,4,4,25,6.25,0,100.0%,6.25,,1,6,0.0,0,0
5,2008,2008-10-12,5,21.300,DET,@,MIN,L 10-12,,5,62,12.40,0,2,2,11,5.50,0,100.0%,5.50,,0,0,0.0,0,0
6,2008,2008-10-19,6,21.307,DET,@,HOU,L 21-28,,10,61,6.10,1,2,1,7,7.00,0,50.0%,3.50,,1,6,0.0,0,0
7,2008,2008-10-26,7,21.314,DET,,WAS,L 17-25,,4,12,3.00,0,8,7,50,7.14,0,87.5%,6.25,,0,0,0.0,0,0
8,2008,2008-11-02,8,21.321,DET,@,CHI,L 23-27,,14,37,2.64,1,4,2,16,8.00,0,50.0%,4.00,,1,6,0.0,0,0
9,2008,2008-11-09,9,21.328,DET,,JAX,L 14-38,*,23,96,4.17,1,2,1,27,27.00,0,50.0%,13.50,,1,6,0.0,0,0
10,2008,2008-11-16,10,21.335,DET,@,CAR,L 22-31,*,24,112,4.67,0,3,2,23,11.50,0,66.7%,7.67,,0,0,0.0,1,0
11,2008,2008-11-23,11,21.342,DET,,TAM,L 20-38,*,16,86,5.38,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
12,2008,2008-11-27,12,21.346,DET,,TEN,L 10-47,*,12,22,1.83,0,4,1,9,9.00,0,25.0%,2.25,,0,0,0.0,0,0
13,2008,2008-12-07,13,21.356,DET,,MIN,L 16-20,*,21,64,3.05,0,3,2,27,13.50,0,66.7%,9.00,,0,0,0.0,0,0
14,2008,2008-12-14,14,21.363,DET,@,IND,L 21-31,*,20,88,4.40,1,7,6,31,5.17,0,85.7%,4.43,,1,6,0.0,1,0
15,2008,2008-12-21,15,22.004,DET,,NOR,L 7-42,*,24,111,4.63,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,0,0
16,2008,2008-12-28,16,22.011,DET,@,GNB,L 21-31,*,28,92,3.29,1,5,3,7,2.33,0,60.0%,1.40,,1,6,0.0,0,0
17,2009,2009-09-13,1,22.270,DET,@,NOR,L 27-45,*,15,20,1.33,1,9,7,52,7.43,0,77.8%,5.78,,1,6,0.0,1,0
18,2009,2009-09-20,2,22.277,DET,,MIN,L 13-27,*,24,83,3.46,0,3,2,10,5.00,0,66.7%,3.33,,0,0,0.0,0,0
19,2009,2009-09-27,3,22.284,DET,,WAS,W 19-14,*,16,101,6.31,0,3,3,18,6.00,0,100.0%,6.00,,0,0,0.0,0,0
20,2009,2009-10-04,4,22.291,DET,@,CHI,L 24-48,*,19,30,1.58,2,4,4,21,5.25,0,100.0%,5.25,,2,12,0.0,0,0
21,2009,2009-10-11,5,22.298,DET,,PIT,L 20-28,*,20,53,2.65,0,5,4,48,12.00,0,80.0%,9.60,,0,0,0.0,0,0
22,2009,2009-10-18,6,22.305,DET,@,GNB,L 0-26,*,15,61,4.07,0,2,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
23,2009,2009-11-01,7,22.319,DET,,STL,L 10-17,*,16,45,2.81,0,5,4,49,12.25,0,80.0%,9.80,1,0,2,0.0,1,0
24,2009,2009-11-08,8,22.326,DET,@,SEA,L 20-32,*,13,67,5.15,0,3,2,9,4.50,0,66.7%,3.00,,0,0,0.0,0,0
25,2009,2009-11-15,9,22.333,DET,@,MIN,L 10-27,*,12,55,4.58,0,5,3,10,3.33,0,60.0%,2.00,,0,0,0.0,1,0
26,2009,2009-11-22,10,22.340,DET,,CLE,W 38-37,*,12,45,3.75,0,6,4,104,26.00,1,66.7%,17.33,,1,6,0.0,0,0
27,2009,2009-11-26,11,22.344,DET,,GNB,L 12-34,*,18,43,2.39,0,7,4,46,11.50,0,57.1%,6.57,,0,0,0.0,0,0
28,2009,2009-12-06,12,22.354,DET,@,CIN,L 13-23,*,16,75,4.69,1,3,2,29,14.50,0,66.7%,9.67,,1,6,0.0,0,0
29,2009,2009-12-13,13,22.361,DET,@,BAL,L 3-48,*,21,69,3.29,0,2,2,19,9.50,0,100.0%,9.50,,0,0,0.0,0,0
30,2010,2010-10-03,4,23.290,DET,@,GNB,L 26-28,,3,12,4.00,0,5,4,22,5.50,0,80.0%,4.40,,0,0,0.0,0,0
31,2010,2010-10-10,5,23.297,DET,,STL,W 44-6,,4,24,6.00,0,2,1,17,17.00,0,50.0%,8.50,,0,0,0.0,0,0
32,2010,2010-10-17,6,23.304,DET,@,NYG,L 20-28,,4,17,4.25,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
33,2010,2010-10-31,7,23.318,DET,,WAS,W 37-25,,12,51,4.25,0,3,2,16,8.00,0,66.7%,5.33,,0,0,0.0,1,0
34,2010,2010-11-07,8,23.325,DET,,NYJ,L 20-23,,5,10,2.00,0,1,1,27,27.00,0,100.0%,27.00,,0,0,0.0,0,0
35,2010,2010-11-14,9,23.332,DET,@,BUF,L 12-14,,6,19,3.17,0,4,3,41,13.67,0,75.0%,10.25,,0,0,0.0,0,0
36,2011,2011-11-13,9,24.331,DET,@,CHI,L 13-37,,4,19,4.75,0,2,2,10,5.00,0,100.0%,5.00,,0,0,0.0,0,0
37,2011,2011-11-20,10,24.338,DET,,CAR,W 49-35,,16,140,8.75,2,4,4,61,15.25,1,100.0%,15.25,,3,18,0.0,0,0
38,2011,2011-11-24,11,24.342,DET,,GNB,L 15-27,*,7,36,5.14,0,3,3,21,7.00,0,100.0%,7.00,,0,0,0.0,0,0
39,2011,2011-12-04,12,24.352,DET,@,NOR,L 17-31,*,6,34,5.67,1,7,6,46,7.67,0,85.7%,6.57,,1,6,0.0,0,0
40,2011,2011-12-18,14,25.001,DET,@,OAK,W 28-27,,15,43,2.87,0,3,1,3,3.00,0,33.3%,1.00,,0,0,0.0,0,0
41,2011,2011-12-24,15,25.007,DET,,SDG,W 38-10,*,15,49,3.27,1,3,2,12,6.00,1,66.7%,4.00,,2,12,0.0,0,0
42,2011,2012-01-01,16,25.015,DET,@,GNB,L 41-45,*,9,35,3.89,0,6,4,26,6.50,1,66.7%,4.33,,1,6,0.0,0,0
43,2012,2012-09-09,1,25.267,DET,,STL,W 27-23,*,13,62,4.77,1,6,4,29,7.25,1,66.7%,4.83,,2,12,0.0,0,0
44,2012,2012-09-16,2,25.274,DET,@,SFO,L 19-27,*,16,53,3.31,0,3,2,17,8.50,0,66.7%,5.67,,0,0,0.0,0,0
45,2012,2012-09-23,3,25.281,DET,@,TEN,L 41-44,,,,,,,,,,,0.0%,,,,,,,
