ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2013,2013-09-08,1,24.317,OAK,@,IND,L 17-21,,0,0,,0,0.0,0,0,2,101,50.50,0
2,2013,2013-09-15,2,24.324,OAK,,JAX,W 19-9,,0,0,,0,0.0,0,0,4,192,48.00,0
3,2013,2013-09-23,3,24.332,OAK,@,DEN,L 21-37,,0,0,,0,0.0,0,0,6,315,52.50,0
4,2013,2013-09-29,4,24.338,OAK,,WAS,L 14-24,,0,0,,0,0.0,0,0,7,314,44.86,0
5,2013,2013-10-06,5,24.345,OAK,,SDG,W 27-17,,0,0,,0,0.0,0,0,6,297,49.50,0
6,2013,2013-10-13,6,24.352,OAK,@,KAN,L 7-24,,0,0,,0,0.0,0,0,8,414,51.75,0
7,2013,2013-10-27,7,25.001,OAK,,PIT,W 21-18,,0,0,,0,0.0,1,0,8,372,46.50,0
8,2013,2013-11-03,8,25.008,OAK,,PHI,L 20-49,,0,0,,0,0.0,1,0,7,315,45.00,0
9,2013,2013-11-10,9,25.015,OAK,@,NYG,L 20-24,,0,0,,0,0.0,0,0,5,254,50.80,1
10,2013,2013-11-17,10,25.022,OAK,@,HOU,W 28-23,,0,0,,0,0.0,0,0,11,540,49.09,0
11,2013,2013-11-24,11,25.029,OAK,,TEN,L 19-23,,0,0,,0,0.0,0,0,2,95,47.50,0
12,2013,2013-11-28,12,25.033,OAK,@,DAL,L 24-31,,0,0,,0,0.0,0,0,5,265,53.00,0
13,2013,2013-12-08,13,25.043,OAK,@,NYJ,L 27-37,,0,0,,0,0.0,0,0,2,85,42.50,1
14,2013,2013-12-15,14,25.050,OAK,,KAN,L 31-56,,0,0,,0,0.0,0,0,1,48,48.00,0
15,2013,2013-12-22,15,25.057,OAK,@,SDG,L 13-26,,0,0,,0,0.0,0,0,5,271,54.20,0
16,2013,2013-12-29,16,25.064,OAK,,DEN,L 14-34,,0,0,,0,0.0,0,0,5,229,45.80,0
17,2014,2014-09-07,1,25.316,OAK,@,NYJ,L 14-19,,0,0,,0,0.0,0,0,9,401,44.56,0
18,2014,2014-09-14,2,25.323,OAK,,HOU,L 14-30,,0,0,,0,0.0,0,0,3,120,40.00,0
19,2014,2014-09-21,3,25.330,OAK,@,NWE,L 9-16,,0,0,,0,0.0,0,0,5,216,43.20,0
20,2014,2014-09-28,4,25.337,OAK,,MIA,L 14-38,,0,0,,0,0.0,0,0,6,292,48.67,0
21,2014,2014-10-12,5,25.351,OAK,,SDG,L 28-31,,0,0,,0,0.0,0,0,4,165,41.25,0
22,2014,2014-10-19,6,25.358,OAK,,ARI,L 13-24,,0,0,,0,0.0,0,0,6,236,39.33,0
