ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1966,1966-11-20,10,23.037,ATL,@,NYG,W 27-16,0,1,,0
2,1970,1970-09-27,2,26.348,BUF,,RAM,L 0-19,,,,
3,1970,1970-10-04,3,26.355,BUF,,NYJ,W 34-31,,,,
4,1970,1970-10-11,4,26.362,BUF,@,PIT,L 10-23,,,,
5,1970,1970-10-18,5,27.004,BUF,,MIA,L 14-33,,,,
6,1970,1970-10-25,6,27.011,BUF,@,NYJ,W 10-6,,,,
7,1970,1970-11-01,7,27.018,BUF,@,BOS,W 45-10,,,,
8,1970,1970-11-08,8,27.025,BUF,,CIN,L 14-43,,,,
9,1970,1970-11-15,9,27.032,BUF,@,BAL,T 17-17,,,,
10,1970,1970-11-22,10,27.039,BUF,@,CHI,L 13-31,,,,
11,1970,1970-11-29,11,27.046,BUF,,BOS,L 10-14,,,,
12,1970,1970-12-06,12,27.053,BUF,@,NYG,L 6-20,,,,
13,1970,1970-12-13,13,27.060,BUF,,BAL,L 14-20,,,,
14,1970,1970-12-20,14,27.067,BUF,@,MIA,L 7-45,,,,
