ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1970,1970-09-20,1,27.039,BOS,,MIA,W 27-14,,,,
2,1970,1970-09-27,2,27.046,BOS,,NYJ,L 21-31,,,,
3,1970,1970-10-04,3,27.053,BOS,,BAL,L 6-14,,,,
4,1970,1970-10-11,4,27.060,BOS,@,KAN,L 10-23,,,,
5,1970,1970-10-18,5,27.067,BOS,,NYG,L 0-16,,,,
6,1970,1970-10-25,6,27.074,BOS,@,BAL,L 3-27,,,,
7,1970,1970-11-01,7,27.081,BOS,,BUF,L 10-45,,,,
8,1970,1970-11-15,9,27.095,BOS,,SDG,L 14-16,,,,
9,1970,1970-11-22,10,27.102,BOS,@,NYJ,L 3-17,,,,
10,1970,1970-11-29,11,27.109,BOS,@,BUF,W 14-10,,,,
11,1970,1970-12-06,12,27.116,BOS,@,MIA,L 20-37,,,,
12,1970,1970-12-13,13,27.123,BOS,,MIN,L 14-35,,,,
13,1970,1970-12-20,14,27.130,BOS,@,CIN,L 7-45,,,,
14,1971,1971-09-19,1,28.038,NWE,,OAK,W 20-6,,,,
15,1971,1971-09-26,2,28.045,NWE,,DET,L 7-34,,,,
16,1971,1971-10-03,3,28.052,NWE,,BAL,L 3-23,0,-8,,0
17,1971,1971-10-10,4,28.059,NWE,,NYJ,W 20-0,,,,
18,1971,1971-10-17,5,28.066,NWE,@,MIA,L 3-41,,,,
19,1971,1971-10-24,6,28.073,NWE,@,DAL,L 21-44,,,,
20,1971,1971-10-31,7,28.080,NWE,@,SFO,L 10-27,,,,
21,1971,1971-11-07,8,28.087,NWE,,HOU,W 28-20,,,,
22,1971,1971-11-14,9,28.094,NWE,,BUF,W 38-33,,,,
23,1971,1971-11-21,10,28.101,NWE,@,CLE,L 7-27,,,,
24,1971,1971-11-28,11,28.108,NWE,@,BUF,L 20-27,,,,
25,1971,1971-12-05,12,28.115,NWE,,MIA,W 34-13,,,,
26,1971,1971-12-12,13,28.122,NWE,@,NYJ,L 6-13,,,,
27,1971,1971-12-19,14,28.129,NWE,@,BAL,W 21-17,,,,
28,1972,1972-09-17,1,29.036,NWE,,CIN,L 7-31,,,,
29,1972,1972-09-24,2,29.043,NWE,,ATL,W 21-20,,,,
30,1972,1972-10-01,3,29.050,NWE,,WAS,W 24-23,,,,
31,1972,1972-10-08,4,29.057,NWE,@,BUF,L 14-38,,,,
32,1972,1972-10-15,5,29.064,NWE,,NYJ,L 13-41,,,,
33,1972,1972-10-22,6,29.071,NWE,@,PIT,L 3-33,,,,
34,1972,1972-10-29,7,29.078,NWE,@,NYJ,L 10-34,,,,
35,1972,1972-11-06,8,29.086,NWE,,BAL,L 17-24,,,,
36,1972,1972-11-12,9,29.092,NWE,@,MIA,L 0-52,,,,
37,1972,1972-11-19,10,29.099,NWE,,BUF,L 24-27,,,,
38,1972,1972-11-26,11,29.106,NWE,@,BAL,L 0-31,,,,
39,1972,1972-12-03,12,29.113,NWE,,MIA,L 21-37,,,,
40,1972,1972-12-10,13,29.120,NWE,@,NOR,W 17-10,,,,
41,1973,1973-09-16,1,30.035,NWE,,BUF,L 13-31,,,,
42,1973,1973-09-23,2,30.042,NWE,,KAN,L 7-10,,,,
43,1973,1973-09-30,3,30.049,NWE,@,MIA,L 23-44,,,,
44,1973,1973-10-07,4,30.056,NWE,,BAL,W 24-16,,,,
45,1973,1973-10-14,5,30.063,NWE,,NYJ,L 7-9,,,,
46,1973,1973-12-02,12,30.112,NWE,,SDG,W 30-14,,,,
47,1973,1973-12-09,13,30.119,NWE,@,BUF,L 13-37,,,,
48,1973,1973-12-16,14,30.126,NWE,@,BAL,L 13-18,,,,
49,1974,1974-09-15,1,31.034,NWE,,MIA,W 34-24,,,,
50,1974,1974-09-22,2,31.041,NWE,@,NYG,W 28-20,,,,
51,1974,1974-09-29,3,31.048,NWE,,RAM,W 20-14,,,,
52,1974,1974-10-06,4,31.055,NWE,,BAL,W 42-3,,,,
53,1974,1974-10-13,5,31.062,NWE,@,NYJ,W 24-0,,,,
54,1974,1974-10-20,6,31.069,NWE,@,BUF,L 28-30,,,,
55,1974,1974-10-27,7,31.076,NWE,@,MIN,W 17-14,,,,
56,1974,1974-11-03,8,31.083,NWE,,BUF,L 28-29,,,,
57,1974,1974-11-10,9,31.090,NWE,,CLE,L 14-21,,,,
58,1974,1974-11-17,10,31.097,NWE,,NYJ,L 16-21,,,,
