ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2017,2017-09-10,1,22.235,JAX,@,HOU,W 29-7,*,26,100,3.85,1,3,3,24,8.00,0,100.0%,8.00,1,6
2,2017,2017-09-17,2,22.242,JAX,,TEN,L 16-37,*,14,40,2.86,1,5,2,21,10.50,0,40.0%,4.20,1,6
3,2017,2017-09-24,3,22.249,JAX,,BAL,W 44-7,*,17,59,3.47,1,4,3,21,7.00,0,75.0%,5.25,1,6
4,2017,2017-10-01,4,22.256,JAX,@,NYJ,L 20-23,*,24,86,3.58,0,5,4,59,14.75,1,80.0%,11.80,1,6
5,2017,2017-10-08,5,22.263,JAX,@,PIT,W 30-9,*,28,181,6.46,2,1,1,3,3.00,0,100.0%,3.00,2,12
6,2017,2017-10-15,6,22.270,JAX,,LAR,L 17-27,*,21,130,6.19,1,2,2,8,4.00,0,100.0%,4.00,1,6
7,2017,2017-11-12,9,22.298,JAX,,LAC,W 20-17,*,17,33,1.94,0,4,2,13,6.50,0,50.0%,3.25,0,0
8,2017,2017-11-19,10,22.305,JAX,@,CLE,W 19-7,*,28,111,3.96,0,3,2,7,3.50,0,66.7%,2.33,0,0
9,2017,2017-11-26,11,22.312,JAX,@,ARI,L 24-27,*,12,25,2.08,0,3,3,17,5.67,0,100.0%,5.67,0,0
10,2017,2017-12-03,12,22.319,JAX,,IND,W 30-10,*,20,57,2.85,1,4,3,22,7.33,0,75.0%,5.50,1,6
11,2017,2017-12-10,13,22.326,JAX,,SEA,W 30-24,*,24,101,4.21,1,6,4,18,4.50,0,66.7%,3.00,1,6
12,2017,2017-12-24,15,22.340,JAX,@,SFO,L 33-44,*,18,48,2.67,1,3,3,22,7.33,0,100.0%,7.33,1,6
13,2017,2017-12-31,16,22.347,JAX,@,TEN,L 10-15,*,19,69,3.63,0,5,4,67,16.75,0,80.0%,13.40,0,0
14,2018,2018-09-09,1,23.234,JAX,@,NYG,W 20-15,*,9,41,4.56,0,3,3,14,4.67,0,100.0%,4.67,0,0
