ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-18,2,23.041,DAL,@,SFO,W 27-24,,,,,,,,,,,0.0%,,,,,,
2,2011,2011-10-02,4,23.055,DAL,,DET,L 30-34,,,,,,0,,,,,0.0%,,,,,,
3,2011,2011-10-16,5,23.069,DAL,@,NWE,L 16-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,2
4,2011,2011-10-23,6,23.076,DAL,,STL,W 34-7,,6,34,5.67,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
5,2011,2011-10-30,7,23.083,DAL,@,PHI,L 7-34,,1,2,2.00,0,2,2,19,9.50,0,100.0%,9.50,0,0,0.0,0,0
6,2011,2011-11-06,8,23.090,DAL,,SEA,W 23-13,,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2011,2011-11-13,9,23.097,DAL,,BUF,W 44-7,,11,29,2.64,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
8,2011,2011-11-20,10,23.104,DAL,@,WAS,W 27-24,,,,,,0,,,,,0.0%,,,,,,
9,2011,2011-11-24,11,23.108,DAL,,MIA,W 20-19,,,,,,,,,,,0.0%,,,,,,
10,2011,2011-12-11,13,23.125,DAL,,NYG,L 34-37,,,,,,,,,,,0.0%,,,,,,
11,2012,2012-09-05,1,24.028,DAL,@,NYG,W 24-17,,,,,,,,,,,0.0%,,,,,,
12,2012,2012-09-16,2,24.039,DAL,@,SEA,L 7-27,,,,,,,,,,,0.0%,,,,,,
13,2012,2012-09-23,3,24.046,DAL,,TAM,W 16-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
14,2012,2012-10-01,4,24.054,DAL,,CHI,L 18-34,,0,0,,0,3,2,20,10.00,0,66.7%,6.67,0,0,0.0,0,0
15,2012,2012-10-14,5,24.067,DAL,@,BAL,L 29-31,,9,31,3.44,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
16,2012,2012-10-21,6,24.074,DAL,@,CAR,W 19-14,,13,30,2.31,0,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0
