ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-12,1,22.320,BUF,@,IND,L 14-31,,3,3,51,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
2,1999,1999-09-19,2,22.327,BUF,,NYJ,W 17-3,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1999,1999-09-26,3,22.334,BUF,,PHI,W 26-0,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,16,16.00,0,0,0
4,1999,1999-10-04,4,22.342,BUF,@,MIA,W 23-18,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1999,1999-10-10,5,22.348,BUF,,PIT,W 24-21,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1999,1999-10-17,6,22.355,BUF,,OAK,L 14-20,*,6,2,30,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
7,1999,1999-10-24,7,22.362,BUF,@,SEA,L 16-26,*,10,5,106,21.20,1,50.0%,10.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
8,1999,1999-10-31,8,23.004,BUF,@,BAL,W 13-10,*,7,3,26,8.67,0,42.9%,3.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
9,1999,1999-11-07,9,23.011,BUF,@,WAS,W 34-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1999,1999-11-14,10,23.018,BUF,,MIA,W 23-3,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
11,1999,1999-11-21,11,23.025,BUF,@,NYJ,L 7-17,,0,3,12,4.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
12,1999,1999-11-28,12,23.032,BUF,,NWE,W 17-7,,5,1,7,7.00,0,20.0%,1.40,1,-7,-7.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
13,1999,1999-12-12,13,23.046,BUF,,NYG,L 17-19,,8,2,16,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,1,27,27.00,0,0,0,,0,0,0
14,1999,1999-12-19,14,23.053,BUF,@,ARI,W 31-21,,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
15,1999,1999-12-26,15,23.060,BUF,@,NWE,W 13-10,,8,5,62,12.40,0,62.5%,7.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
16,1999,2000-01-02,16,23.067,BUF,,IND,W 31-6,,2,2,31,15.50,1,100.0%,15.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
