ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2016,2016-09-11,1,23.111,IND,,DET,L 35-39,,2,2,26,13.00,0,100.0%,13.00,1,-2,-2.00,0,0,0,,0,0,0,,0
2,2016,2016-09-18,2,23.118,IND,@,DEN,L 20-34,,5,5,29,5.80,0,100.0%,5.80,2,7,3.50,0,0,0,,0,0,0,,0
3,2016,2016-09-25,3,23.125,IND,,SDG,W 26-22,,4,3,29,9.67,0,75.0%,7.25,1,2,2.00,0,0,0,,0,0,0,,0
4,2016,2016-10-02,4,23.132,IND,@,JAX,L 27-30,,10,7,33,4.71,0,70.0%,3.30,3,-2,-0.67,0,0,0,,0,0,0,,0
5,2016,2016-10-09,5,23.139,IND,,CHI,W 29-23,,4,2,10,5.00,0,50.0%,2.50,1,3,3.00,0,0,0,,0,0,0,,0
6,2016,2016-10-16,6,23.146,IND,@,HOU,L 23-26,,0,0,0,,0,0.0%,,0,0,,0,1,23,23.00,0,0,0,,0
7,2016,2016-10-23,7,23.153,IND,@,TEN,W 34-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0
8,2016,2016-10-30,8,23.160,IND,,KAN,L 14-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,0.00,0
9,2016,2016-11-06,9,23.167,IND,@,GNB,W 31-26,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0
10,2016,2016-11-20,10,23.181,IND,,TEN,W 24-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0
11,2016,2016-11-24,11,23.185,IND,,PIT,L 7-28,,0,0,0,,0,0.0%,,0,0,,0,1,24,24.00,0,0,0,,0
12,2016,2016-12-05,12,23.196,IND,@,NYJ,W 41-10,,0,0,0,,0,0.0%,,5,11,2.20,0,0,0,,0,0,0,,0
13,2016,2016-12-11,13,23.202,IND,,HOU,L 17-22,,0,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,0,0,,0
14,2016,2016-12-18,14,23.209,IND,@,MIN,W 34-6,,0,0,0,,0,0.0%,,2,1,0.50,0,0,0,,0,0,0,,0
15,2016,2016-12-24,15,23.215,IND,@,OAK,L 25-33,,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0,0,0,,0
16,2016,2017-01-01,16,23.223,IND,,JAX,W 24-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0
17,2017,2017-10-22,7,24.152,IND,,JAX,L 0-27,,0,0,0,,0,0.0%,,1,5,5.00,0,0,0,,0,0,0,,0
18,2017,2017-10-29,8,24.159,IND,@,CIN,L 23-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0
19,2017,2017-11-05,9,24.166,IND,@,HOU,W 20-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0
20,2017,2017-11-12,10,24.173,IND,,PIT,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0
21,2017,2017-11-26,11,24.187,IND,,TEN,L 16-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0
22,2017,2017-12-03,12,24.194,IND,@,JAX,L 10-30,,3,3,16,5.33,0,100.0%,5.33,0,0,,0,3,52,17.33,0,0,0,,0
23,2017,2017-12-10,13,24.201,IND,@,BUF,L 7-13,,0,0,0,,0,0.0%,,0,0,,0,2,34,17.00,0,0,0,,0
24,2017,2017-12-14,14,24.205,IND,,DEN,L 13-25,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0
25,2017,2017-12-23,15,24.214,IND,@,BAL,L 16-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0
26,2017,2017-12-31,16,24.222,IND,,HOU,W 22-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0
