ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-10-08,4,22.201,BOS,@,LAC,W 35-0,0,0,,0,1,0,0,0,0,,0
2,1960,1960-10-23,6,22.216,BOS,@,DEN,L 24-31,0,0,,0,1,0,0,0,0,,0
3,1960,1960-10-28,7,22.221,BOS,,LAC,L 16-45,1,7,7.00,0,0,0,0,0,0,,0
4,1960,1960-11-04,8,22.228,BOS,,OAK,W 34-28,0,0,,0,0,0,0,5,137,27.40,0
5,1960,1960-11-11,9,22.235,BOS,,NYT,W 38-21,1,3,3.00,0,0,0,0,1,38,38.00,0
6,1960,1960-11-18,10,22.242,BOS,,DTX,W 42-14,0,0,,0,1,13,0,6,165,27.50,0
7,1960,1960-11-25,11,22.249,BOS,,HOU,L 10-24,0,0,,0,0,0,0,5,199,39.80,0
8,1961,1961-09-23,3,23.186,BOS,@,BUF,W 23-21,1,3,3.00,0,1,0,0,0,0,,0
9,1961,1961-10-07,5,23.200,BOS,,SDG,L 27-38,0,0,,0,1,9,0,0,0,,0
10,1961,1961-11-12,10,23.236,BOS,@,HOU,L 15-27,0,0,,0,1,3,0,0,0,,0
11,1961,1961-12-17,14,23.271,BOS,@,SDG,W 41-0,0,0,,0,1,33,0,0,0,,0
12,1963,1963-12-14,13,25.268,NYJ,,BUF,L 10-19,0,0,,0,2,2,0,0,0,,0
