ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2012,2012-09-10,1,21.227,CIN,@,BAL,L 13-44,*,,,,,,0.0%,,,,,,,,
2,2012,2012-09-16,2,21.233,CIN,,CLE,W 34-27,,,,,,,0.0%,,,,,,,,
3,2012,2012-09-23,3,21.240,CIN,@,WAS,W 38-31,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0.0,0,0
4,2012,2012-09-30,4,21.247,CIN,@,JAX,W 27-10,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0.0,0,0
5,2012,2012-10-07,5,21.254,CIN,,MIA,L 13-17,,,,,,,0.0%,,,,,,,,
6,2012,2012-10-14,6,21.261,CIN,@,CLE,L 24-34,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0.0,0,0
7,2012,2012-10-21,7,21.268,CIN,,PIT,L 17-24,,,,,,,0.0%,,,,,,,,
8,2012,2012-11-04,8,21.282,CIN,,DEN,L 23-31,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0
9,2012,2012-11-11,9,21.289,CIN,,NYG,W 31-13,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0.0,0,0
10,2012,2012-11-18,10,21.296,CIN,@,KAN,W 28-6,*,0,,,,,0.0%,,,,,,,,
11,2012,2012-11-25,11,21.303,CIN,,OAK,W 34-10,*,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
12,2012,2012-12-02,12,21.310,CIN,@,SDG,W 20-13,,,,,,,0.0%,,,,,,,,
13,2012,2012-12-09,13,21.317,CIN,,DAL,L 19-20,,1,1,17,17.00,0,100.0%,17.00,1,10,10.00,0,0.0,0,0
14,2012,2012-12-13,14,21.321,CIN,@,PHI,W 34-13,,0,0,0,,0,0.0%,,1,7,7.00,0,0.0,0,0
15,2012,2012-12-23,15,21.331,CIN,@,PIT,W 13-10,*,0,,,,,0.0%,,,,,,,,
16,2012,2012-12-30,16,21.338,CIN,,BAL,W 23-17,*,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
17,2013,2013-09-08,1,22.224,CIN,@,CHI,L 21-24,,0,,,,,0.0%,,,,,,,,
18,2013,2013-09-22,3,22.238,CIN,,GNB,W 34-30,,,,,,,0.0%,,,,,,,,
19,2013,2013-09-29,4,22.245,CIN,@,CLE,L 6-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
20,2013,2013-10-06,5,22.252,CIN,,NWE,W 13-6,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0
21,2013,2013-10-13,6,22.259,CIN,@,BUF,W 27-24,,,,,,,0.0%,,,,,,,,
22,2013,2013-10-20,7,22.266,CIN,@,DET,W 27-24,,,,,,,0.0%,,,,,,,,
23,2013,2013-10-27,8,22.273,CIN,,NYJ,W 49-9,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1
24,2013,2013-10-31,9,22.277,CIN,@,MIA,L 20-22,,,,,,,0.0%,,,,,,,,
25,2013,2013-11-10,10,22.287,CIN,@,BAL,L 17-20,,,,,,,0.0%,,,,,,,,
26,2013,2013-11-17,11,22.294,CIN,,CLE,W 41-20,,0,,,,,0.0%,,,,,,,,
27,2013,2013-12-01,12,22.308,CIN,@,SDG,W 17-10,,,,,,,0.0%,,,,,,,,
28,2013,2013-12-22,15,22.329,CIN,,MIN,W 42-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0
29,2013,2013-12-29,16,22.336,CIN,,BAL,W 34-17,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0.0,0,0
30,2016,2016-09-18,2,25.235,DET,,TEN,L 15-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
31,2016,2016-10-02,4,25.249,DET,@,CHI,L 14-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
32,2017,2017-12-03,12,26.310,KAN,@,NYJ,L 31-38,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
33,2017,2017-12-10,13,26.317,KAN,,OAK,W 26-15,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
34,2017,2017-12-16,14,26.323,KAN,,LAC,W 30-13,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0.0,0,0
35,2017,2017-12-24,15,26.331,KAN,,MIA,W 29-13,,1,1,35,35.00,0,100.0%,35.00,0,0,,0,0.0,0,0
36,2017,2017-12-31,16,26.338,KAN,@,DEN,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
37,2018,2018-09-09,1,27.225,CLE,,PIT,T 21-21,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
38,2018,2018-09-16,2,27.232,CLE,@,NOR,L 18-21,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
39,2018,2018-09-20,3,27.236,CLE,,NYJ,W 21-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
