ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1981,1981-09-06,1,22.009,SFO,@,DET,L 17-24,,,,
2,1981,1981-09-13,2,22.016,SFO,,CHI,W 28-17,,,,
3,1981,1981-09-20,3,22.023,SFO,@,ATL,L 17-34,,,,
4,1981,1981-09-27,4,22.030,SFO,,NOR,W 21-14,,,,
5,1981,1981-10-04,5,22.037,SFO,@,WAS,W 30-17,0.0,1,22,0
6,1981,1981-10-11,6,22.044,SFO,,DAL,W 45-14,,,,
7,1981,1981-10-18,7,22.051,SFO,@,GNB,W 13-3,,,,
8,1981,1981-10-25,8,22.058,SFO,,RAM,W 20-17,,,,
9,1981,1981-11-01,9,22.065,SFO,@,PIT,W 17-14,,,,
10,1981,1981-11-08,10,22.072,SFO,,ATL,W 17-14,,,,
11,1981,1981-11-15,11,22.079,SFO,,CLE,L 12-15,,,,
12,1981,1981-11-22,12,22.086,SFO,@,RAM,W 33-31,,,,
13,1981,1981-11-29,13,22.093,SFO,,NYG,W 17-10,,,,
14,1981,1981-12-06,14,22.100,SFO,@,CIN,W 21-3,,,,
15,1981,1981-12-13,15,22.107,SFO,,HOU,W 28-6,,,,
16,1981,1981-12-20,16,22.114,SFO,@,NOR,W 21-17,,,,
17,1982,1982-09-12,1,23.015,SFO,,RAI,L 17-23,0.5,0,0,0
18,1982,1982-09-19,2,23.022,SFO,@,DEN,L 21-24,,,,
19,1982,1982-11-21,3,23.085,SFO,@,STL,W 31-20,,,,
20,1982,1982-11-28,4,23.092,SFO,,NOR,L 20-23,,,,
21,1982,1982-12-02,5,23.096,SFO,@,RAM,W 30-24,,,,
22,1982,1982-12-11,6,23.105,SFO,,SDG,L 37-41,,,,
23,1982,1982-12-19,7,23.113,SFO,,ATL,L 7-17,,,,
24,1982,1982-12-26,8,23.120,SFO,@,KAN,W 26-13,,,,
25,1982,1983-01-02,9,23.127,SFO,,RAM,L 20-21,,,,
26,1983,1983-09-03,1,24.006,SFO,,PHI,L 17-22,,,,
27,1983,1983-09-08,2,24.011,SFO,@,MIN,W 48-17,,,,
28,1983,1983-09-18,3,24.021,SFO,@,STL,W 42-27,,,,
29,1983,1983-09-25,4,24.028,SFO,,ATL,W 24-20,1.0,0,0,0
30,1983,1983-10-02,5,24.035,SFO,@,NWE,W 33-13,,,,
31,1983,1983-10-09,6,24.042,SFO,,RAM,L 7-10,,,,
32,1983,1983-10-16,7,24.049,SFO,@,NOR,W 32-13,,,,
33,1983,1983-11-20,12,24.084,SFO,@,ATL,L 24-28,,,,
34,1983,1983-11-27,13,24.091,SFO,@,CHI,L 3-13,,,,
35,1983,1983-12-04,14,24.098,SFO,,TAM,W 35-21,,,,
36,1983,1983-12-11,15,24.105,SFO,@,BUF,W 23-10,,,,
37,1983,1983-12-19,16,24.113,SFO,,DAL,W 42-17,,,,
38,1984,1984-09-02,1,25.005,SFO,@,DET,W 30-27,,,,
39,1984,1984-09-10,2,25.013,SFO,,WAS,W 37-31,3.0,0,0,0
40,1984,1984-09-16,3,25.019,SFO,,NOR,W 30-20,,,,
41,1984,1984-09-23,4,25.026,SFO,@,PHI,W 21-9,,,,
42,1984,1984-09-30,5,25.033,SFO,,ATL,W 14-5,,,,
43,1984,1984-10-08,6,25.041,SFO,@,NYG,W 31-10,1.0,0,0,0
44,1984,1984-10-14,7,25.047,SFO,,PIT,L 17-20,,,,
45,1984,1984-10-21,8,25.054,SFO,@,HOU,W 34-21,,,,
46,1984,1984-10-28,9,25.061,SFO,@,RAM,W 33-0,,,,
47,1984,1984-11-04,10,25.068,SFO,,CIN,W 23-17,,,,
48,1984,1984-11-11,11,25.075,SFO,@,CLE,W 41-7,,,,
49,1984,1984-11-18,12,25.082,SFO,,TAM,W 24-17,,,,
50,1984,1984-11-25,13,25.089,SFO,@,NOR,W 35-3,,,,
51,1984,1984-12-02,14,25.096,SFO,@,ATL,W 35-17,,,,
52,1984,1984-12-08,15,25.102,SFO,,MIN,W 51-7,,,,
53,1984,1984-12-14,16,25.108,SFO,,RAM,W 19-16,,,,
54,1985,1985-09-08,1,26.011,SFO,@,MIN,L 21-28,,,,
55,1985,1985-09-15,2,26.018,SFO,,ATL,W 35-16,,,,
56,1985,1985-09-22,3,26.025,SFO,@,RAI,W 34-10,,,,
57,1985,1985-09-29,4,26.032,SFO,,NOR,L 17-20,,,,
58,1985,1985-10-06,5,26.039,SFO,@,ATL,W 38-17,,,,
59,1985,1985-10-13,6,26.046,SFO,,CHI,L 10-26,,,,
60,1985,1985-10-20,7,26.053,SFO,@,DET,L 21-23,,,,
61,1985,1985-10-27,8,26.060,SFO,@,RAM,W 28-14,,,,
62,1985,1985-11-03,9,26.067,SFO,,PHI,W 24-13,,,,
63,1985,1985-11-11,10,26.075,SFO,@,DEN,L 16-17,,,,
64,1985,1985-11-17,11,26.081,SFO,,KAN,W 31-3,,,,
65,1985,1985-11-25,12,26.089,SFO,,SEA,W 19-6,,,,
66,1985,1985-12-01,13,26.095,SFO,@,WAS,W 35-8,,,,
67,1985,1985-12-09,14,26.103,SFO,,RAM,L 20-27,,,,
68,1985,1985-12-15,15,26.109,SFO,@,NOR,W 31-19,,,,
69,1985,1985-12-22,16,26.116,SFO,,DAL,W 31-16,,,,
70,1986,1986-09-07,1,27.010,SFO,@,TAM,W 31-7,,,,
71,1986,1986-09-14,2,27.017,SFO,@,RAM,L 13-16,,,,
72,1986,1986-09-21,3,27.024,SFO,,NOR,W 26-17,,,,
73,1986,1986-09-28,4,27.031,SFO,@,MIA,W 31-16,,,,
74,1986,1986-10-05,5,27.038,SFO,,IND,W 35-14,,,,
75,1986,1986-10-12,6,27.045,SFO,,MIN,L 24-27,,,,
76,1986,1986-10-19,7,27.052,SFO,@,ATL,T 10-10,1.0,0,0,0
77,1986,1986-10-26,8,27.059,SFO,@,GNB,W 31-17,,,,
78,1986,1986-11-02,9,27.066,SFO,@,NOR,L 10-23,,,,
79,1986,1986-11-09,10,27.073,SFO,,STL,W 43-17,,,,
80,1986,1986-11-17,11,27.081,SFO,@,WAS,L 6-14,,,,
81,1986,1986-11-23,12,27.087,SFO,,ATL,W 20-0,,,,
82,1986,1986-12-01,13,27.095,SFO,,NYG,L 17-21,1.0,0,0,0
83,1986,1986-12-07,14,27.101,SFO,,NYJ,W 24-10,,,,
84,1986,1986-12-14,15,27.108,SFO,@,NWE,W 29-24,,,,
85,1986,1986-12-19,16,27.113,SFO,,RAM,W 24-14,,,,
86,1987,1987-09-13,1,28.016,SFO,@,PIT,L 17-30,,,,
87,1987,1987-09-20,2,28.023,SFO,@,CIN,W 27-26,,,,
88,1987,1987-10-25,6,28.058,SFO,@,NOR,W 24-22,0.0,1,0,0
89,1987,1987-11-01,7,28.065,SFO,@,RAM,W 31-10,,,,
90,1987,1987-11-08,8,28.072,SFO,,HOU,W 27-20,,,,
91,1987,1987-11-15,9,28.079,SFO,,NOR,L 24-26,,,,
92,1987,1987-11-22,10,28.086,SFO,@,TAM,W 24-10,,,,
93,1987,1987-11-29,11,28.093,SFO,,CLE,W 38-24,,,,
94,1987,1987-12-06,12,28.100,SFO,@,GNB,W 23-12,,,,
95,1987,1987-12-14,13,28.108,SFO,,CHI,W 41-0,,,,
96,1987,1987-12-20,14,28.114,SFO,,ATL,W 35-7,1.0,0,0,0
97,1987,1987-12-27,15,28.121,SFO,,RAM,W 48-0,,,,
98,1988,1988-09-11,2,29.014,RAI,@,HOU,L 35-38,,,,
99,1988,1988-09-18,3,29.021,RAI,,RAM,L 17-22,,,,
100,1988,1988-09-26,4,29.029,RAI,@,DEN,W 30-27,,,,
101,1988,1988-10-02,5,29.035,RAI,,CIN,L 21-45,,,,
102,1988,1988-10-09,6,29.042,RAI,,MIA,L 14-24,,,,
103,1988,1988-10-16,7,29.049,RAI,@,KAN,W 27-17,,,,
104,1988,1988-10-23,8,29.056,RAI,@,NOR,L 6-20,,,,
105,1988,1988-10-30,9,29.063,RAI,,KAN,W 17-10,,,,
106,1988,1988-11-06,10,29.070,RAI,@,SDG,W 13-3,,,,
107,1988,1988-11-13,11,29.077,RAI,@,SFO,W 9-3,,,,
108,1988,1988-11-20,12,29.084,RAI,,ATL,L 6-12,,,,
109,1988,1988-11-28,13,29.092,RAI,@,SEA,L 27-35,,,,
110,1988,1988-12-04,14,29.098,RAI,,DEN,W 21-20,,,,
111,1988,1988-12-11,15,29.105,RAI,@,BUF,L 21-37,,,,
112,1988,1988-12-18,16,29.112,RAI,,SEA,L 37-43,,,,
