ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2012,2012-10-14,6,23.280,CLE,,CIN,W 34-24,,3,2,39,19.50,0,66.7%,13.00
2,2012,2012-10-21,7,23.287,CLE,@,IND,L 13-17,,9,4,53,13.25,0,44.4%,5.89
3,2012,2012-10-28,8,23.294,CLE,,SDG,W 7-6,,1,0,0,,0,0.0%,0.00
4,2012,2012-11-18,10,23.315,CLE,@,DAL,L 20-23,,2,1,6,6.00,0,50.0%,3.00
5,2012,2012-12-23,15,23.350,CLE,@,DEN,L 12-34,,2,0,0,,0,0.0%,0.00
6,2012,2012-12-30,16,23.357,CLE,@,PIT,L 10-24,,2,1,8,8.00,0,50.0%,4.00
7,2013,2013-09-08,1,24.243,CLE,,MIA,L 10-23,,,,,,,0.0%,
8,2013,2013-11-24,11,24.320,CLE,,PIT,L 11-27,,,,,,,0.0%,
9,2013,2013-12-01,12,24.327,CLE,,JAX,L 28-32,,,,,,,0.0%,
10,2013,2013-12-22,15,24.348,CLE,@,NYJ,L 13-24,,6,4,26,6.50,0,66.7%,4.33
11,2013,2013-12-29,16,24.355,CLE,@,PIT,L 7-20,,8,5,34,6.80,0,62.5%,4.25
