ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1975,1975-09-28,2,22.017,CLE,,MIN,L 10-42
2,1975,1975-10-12,4,22.031,CLE,,HOU,L 10-40
3,1975,1975-10-19,5,22.038,CLE,@,DEN,L 15-16
4,1975,1975-10-26,6,22.045,CLE,,WAS,L 7-23
5,1975,1975-11-02,7,22.052,CLE,@,BAL,L 7-21
6,1975,1975-11-09,8,22.059,CLE,@,DET,L 10-21
