ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2016,2016-09-11,1,23.309,SDG,@,KAN,L 27-33,,0,0,,0,0,0,0,,0,0.0%,
2,2016,2016-09-18,2,23.316,SDG,,JAX,W 38-14,*,0,0,,0,0,0,0,,0,0.0%,
3,2016,2016-09-25,3,23.323,SDG,@,IND,L 22-26,,0,0,,0,1,1,6,6.00,0,100.0%,6.00
4,2016,2016-10-02,4,23.330,SDG,,NOR,L 34-35,,0,0,,0,0,0,0,,0,0.0%,
5,2016,2016-10-09,5,23.337,SDG,@,OAK,L 31-34,,1,2,2.00,0,0,0,0,,0,0.0%,
6,2016,2016-10-13,6,23.341,SDG,,DEN,W 21-13,,0,0,,0,1,1,8,8.00,0,100.0%,8.00
7,2016,2016-10-23,7,23.351,SDG,@,ATL,W 33-30,,0,0,,0,0,0,0,,0,0.0%,
8,2016,2016-10-30,8,23.358,SDG,@,DEN,L 19-27,,0,0,,0,1,1,53,53.00,0,100.0%,53.00
9,2016,2016-11-06,9,23.365,SDG,,TEN,W 43-35,,0,0,,0,0,0,0,,0,0.0%,
10,2016,2016-11-13,10,24.006,SDG,,MIA,L 24-31,,0,0,,0,0,0,0,,0,0.0%,
11,2016,2016-11-27,11,24.020,SDG,@,HOU,W 21-13,*,0,0,,0,0,0,0,,0,0.0%,
12,2016,2016-12-04,12,24.027,SDG,,TAM,L 21-28,,1,2,2.00,0,0,0,0,,0,0.0%,
13,2016,2016-12-11,13,24.034,SDG,@,CAR,L 16-28,,0,0,,0,0,0,0,,0,0.0%,
14,2016,2016-12-18,14,24.041,SDG,,OAK,L 16-19,,0,0,,0,0,0,0,,0,0.0%,
15,2016,2016-12-24,15,24.047,SDG,@,CLE,L 17-20,,0,0,,0,1,1,16,16.00,0,100.0%,16.00
16,2016,2017-01-01,16,24.055,SDG,,KAN,L 27-37,,0,0,,0,0,0,0,,0,0.0%,
17,2017,2017-09-11,1,24.308,LAC,@,DEN,L 21-24,*,0,0,,0,0,0,0,,0,0.0%,
18,2017,2017-09-17,2,24.314,LAC,,MIA,L 17-19,*,1,0,0.00,0,0,0,0,,0,0.0%,
19,2017,2017-09-24,3,24.321,LAC,,KAN,L 10-24,,0,0,,0,0,0,0,,0,0.0%,
20,2017,2017-10-01,4,24.328,LAC,,PHI,L 24-26,,0,0,,0,0,0,0,,0,0.0%,
21,2017,2017-10-08,5,24.335,LAC,@,NYG,W 27-22,,0,0,,0,0,0,0,,0,0.0%,
22,2017,2017-10-15,6,24.342,LAC,@,OAK,W 17-16,,0,0,,0,0,0,0,,0,0.0%,
23,2017,2017-10-22,7,24.349,LAC,,DEN,W 21-0,,0,0,,0,0,0,0,,0,0.0%,
24,2017,2017-10-29,8,24.356,LAC,@,NWE,L 13-21,*,0,0,,0,0,0,0,,0,0.0%,
25,2017,2017-11-12,9,25.005,LAC,@,JAX,L 17-20,,0,0,,0,2,1,12,12.00,0,50.0%,6.00
26,2017,2017-11-19,10,25.012,LAC,,BUF,W 54-24,,2,17,8.50,0,0,0,0,,0,0.0%,
27,2017,2017-11-23,11,25.016,LAC,@,DAL,W 28-6,,0,0,,0,0,0,0,,0,0.0%,
28,2017,2017-12-03,12,25.026,LAC,,CLE,W 19-10,,0,0,,0,0,0,0,,0,0.0%,
29,2017,2017-12-10,13,25.033,LAC,,WAS,W 30-13,,1,2,2.00,0,0,0,0,,0,0.0%,
30,2017,2017-12-16,14,25.039,LAC,@,KAN,L 13-30,,0,0,,0,0,0,0,,0,0.0%,
31,2017,2017-12-24,15,25.047,LAC,@,NYJ,W 14-7,*,1,3,3.00,0,1,1,23,23.00,0,100.0%,23.00
32,2017,2017-12-31,16,25.054,LAC,,OAK,W 30-10,,1,2,2.00,0,0,0,0,,0,0.0%,
33,2018,2018-09-09,1,25.306,LAC,,KAN,L 28-38,,1,1,1.00,0,0,0,0,,0,0.0%,
34,2018,2018-09-16,2,25.313,LAC,@,BUF,W 31-20,,0,0,,0,0,0,0,,0,0.0%,
35,2018,2018-09-23,3,25.320,LAC,@,LAR,L 23-35,,0,0,,0,0,0,0,,0,0.0%,
