ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1961,1961-09-17,1,22.253,WAS,@,SFO,L 3-35,1,33,33.00,0,,,,,,,0,0
2,1961,1961-10-15,5,22.281,WAS,@,PIT,L 0-20,1,40,40.00,0,,,,,,,0,0
3,1964,1964-09-13,1,25.250,NYG,@,PHI,L 7-38,,,,,,,,,,,,
4,1964,1964-09-20,2,25.257,NYG,@,PIT,L 24-27,,,,,,,,,,,,
5,1964,1964-09-25,3,25.262,NYG,,WAS,W 13-10,,,,,,,,,,,,
6,1964,1964-10-04,4,25.271,NYG,@,DET,L 3-26,,,,,,,,,,,,
7,1964,1964-10-11,5,25.278,NYG,@,DAL,T 13-13,,,,,,,,,,,,
8,1964,1964-10-18,6,25.285,NYG,,PHI,L 17-23,,,,,,,,,,,,
9,1964,1964-10-25,7,25.292,NYG,@,CLE,L 20-42,,,,,,,,,,,,
10,1964,1964-11-01,8,25.299,NYG,,STL,W 34-17,,,,,,,,,,,,
11,1964,1964-11-08,9,25.306,NYG,,DAL,L 21-31,,,,,1,1,100.0,,,,0,1
12,1964,1964-11-15,10,25.313,NYG,@,STL,T 10-10,,,,,,,,,,,,
13,1964,1964-11-22,11,25.320,NYG,,PIT,L 17-44,,,,,,,,,,,,
14,1964,1964-11-29,12,25.327,NYG,@,WAS,L 21-36,,,,,,,,,,,,
15,1964,1964-12-06,13,25.334,NYG,,MIN,L 21-30,,,,,,,,,,,,
16,1964,1964-12-12,14,25.340,NYG,,CLE,L 20-52,,,,,,,,,,,,
17,1965,1965-09-26,2,26.262,NYG,@,PHI,W 16-14,0,0,,0,1,1,100.0,3,3,100.0,0,10
18,1965,1965-10-03,3,26.269,NYG,@,PIT,W 23-13,,,,,2,2,100.0,,,,0,2
19,1965,1965-10-09,4,26.275,NYG,@,MIN,L 14-40,0,0,,0,2,2,100.0,,1,0.0,0,2
20,1965,1965-10-17,5,26.283,NYG,,PHI,W 35-27,0,0,,0,5,5,100.0,,2,0.0,0,5
21,1965,1965-12-19,14,26.346,NYG,,DAL,L 20-38,0,0,,0,2,3,66.7,,1,0.0,0,2
