ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-12,1,23.231,NYG,@,PHI,L 17-31,,,,,,,,,,,
2,2004,2004-09-19,2,23.238,NYG,,WAS,W 20-14,*,,,,,,,,,,
3,2004,2004-09-26,3,23.245,NYG,,CLE,W 27-10,,,,,,,,,,,
4,2004,2004-10-03,4,23.252,NYG,@,GNB,W 14-7,,,,,,,,,,,
5,2004,2004-10-10,5,23.259,NYG,@,DAL,W 26-10,,,,,,,,,,,
6,2004,2004-10-24,6,23.273,NYG,,DET,L 13-28,,,,,,,,,,,
7,2004,2004-10-31,7,23.280,NYG,@,MIN,W 34-13,,,,,,,,,,,
8,2004,2004-11-07,8,23.287,NYG,,CHI,L 21-28,,,,,,,,,,,
9,2004,2004-11-14,9,23.294,NYG,@,ARI,L 14-17,,,,,,,,,,,
10,2004,2004-11-21,10,23.301,NYG,,ATL,L 10-14,,,,,,,,,,,
11,2004,2004-11-28,11,23.308,NYG,,PHI,L 6-27,,,,,,,,,,,
12,2004,2004-12-05,12,23.315,NYG,@,WAS,L 7-31,,,,,,,,,,,
13,2004,2004-12-12,13,23.322,NYG,@,BAL,L 14-37,,0,0,,0,1.0,,,0,0,0
14,2004,2004-12-18,14,23.328,NYG,,PIT,L 30-33,,,,,,,,,,,
15,2004,2004-12-26,15,23.336,NYG,@,CIN,L 22-23,,0,0,,0,1.5,,,0,0,0
16,2004,2005-01-02,16,23.343,NYG,,DAL,W 28-24,,0,0,,0,0.5,,,0,0,0
17,2005,2005-09-11,1,24.229,NYG,,ARI,W 42-19,*,,,,,,,,,,
18,2005,2005-09-19,2,24.237,NYG,@,NOR,W 27-10,*,,,,,,,,,,
19,2005,2005-09-25,3,24.243,NYG,@,SDG,L 23-45,*,,,,,,,,,,
20,2005,2005-10-02,4,24.250,NYG,,STL,W 44-24,*,0,0,,0,0.0,,,1,37,0
21,2005,2005-10-16,5,24.264,NYG,@,DAL,L 13-16,,,,,,,,,,,
22,2005,2005-10-23,6,24.271,NYG,,DEN,W 24-23,,,,,,,,,,,
23,2005,2005-10-30,7,24.278,NYG,,WAS,W 36-0,*,,,,,,,,,,
24,2005,2005-11-06,8,24.285,NYG,@,SFO,W 24-6,*,,,,,,,,,,
25,2005,2005-11-13,9,24.292,NYG,,MIN,L 21-24,*,,,,,,,,,,
26,2005,2005-11-27,11,24.306,NYG,@,SEA,L 21-24,,,,,,,,,,,
27,2005,2005-12-04,12,24.313,NYG,,DAL,W 17-10,,,,,,,,,,,
28,2005,2005-12-11,13,24.320,NYG,@,PHI,W 26-23,,,,,,,,,,,
29,2005,2005-12-17,14,24.326,NYG,,KAN,W 27-17,*,,,,,,,,,,
30,2005,2005-12-24,15,24.333,NYG,@,WAS,L 20-35,*,,,,,,,,,,
31,2006,2006-09-10,1,25.228,NYG,,IND,L 21-26,,,,,,,,,,,
32,2006,2006-09-17,2,25.235,NYG,@,PHI,W 30-24,,,,,,,,,,,
33,2006,2006-09-24,3,25.242,NYG,@,SEA,L 30-42,,,,,,,,,,,
34,2006,2006-10-08,4,25.256,NYG,,WAS,W 19-3,,,,,,,,,,,
35,2006,2006-10-15,5,25.263,NYG,@,ATL,W 27-14,,,,,,,,,,,
36,2006,2006-10-23,6,25.271,NYG,@,DAL,W 36-22,,,,,,,,,,,
37,2006,2006-10-29,7,25.277,NYG,,TAM,W 17-3,,0,0,,0,1.0,,,0,0,0
38,2006,2006-11-05,8,25.284,NYG,,HOU,W 14-10,,,,,,,,,,,
39,2006,2006-11-12,9,25.291,NYG,,CHI,L 20-38,*,,,,,,,,,,
40,2006,2006-11-20,10,25.299,NYG,@,JAX,L 10-26,*,,,,,,,,,,
41,2006,2006-11-26,11,25.305,NYG,@,TEN,L 21-24,*,,,,,,,,,,
42,2006,2006-12-03,12,25.312,NYG,,DAL,L 20-23,,,,,,,,,,,
43,2006,2006-12-10,13,25.319,NYG,@,CAR,W 27-13,,,,,,,,,,,
44,2006,2006-12-17,14,25.326,NYG,,PHI,L 22-36,,,,,,,,,,,
45,2006,2006-12-24,15,25.333,NYG,,NOR,L 7-30,,,,,,,,,,,
46,2006,2006-12-30,16,25.339,NYG,@,WAS,W 34-28,,,,,,,,,,,
47,2007,2007-09-09,1,26.227,NYG,@,DAL,L 35-45,,,,,,,,,,,
48,2007,2007-09-16,2,26.234,NYG,,GNB,L 13-35,,,,,,,,,,,
49,2007,2007-09-23,3,26.241,NYG,@,WAS,W 24-17,,,,,,,,,,,
50,2007,2007-09-30,4,26.248,NYG,,PHI,W 16-3,,,,,,,,,,,
51,2007,2007-10-07,5,26.255,NYG,,NYJ,W 35-24,,,,,,,,,,,
52,2007,2007-10-15,6,26.263,NYG,@,ATL,W 31-10,,,,,,,,,,,
53,2007,2007-10-21,7,26.269,NYG,,SFO,W 33-15,,,,,,,,,,,
54,2007,2007-10-28,8,26.276,NYG,@,MIA,W 13-10,,,,,,,,,,,
55,2007,2007-11-11,9,26.290,NYG,,DAL,L 20-31,,,,,,,,,,,
56,2007,2007-11-18,10,26.297,NYG,@,DET,W 16-10,,,,,,,,,,,
57,2007,2007-11-25,11,26.304,NYG,,MIN,L 17-41,,,,,,,,,,,
58,2007,2007-12-02,12,26.311,NYG,@,CHI,W 21-16,*,,,,,,,,,,
59,2007,2007-12-09,13,26.318,NYG,@,PHI,W 16-13,*,,,,,,,,,,
60,2007,2007-12-16,14,26.325,NYG,,WAS,L 10-22,*,,,,,,,,,,
61,2007,2007-12-23,15,26.332,NYG,@,BUF,W 38-21,*,,,,,,,,,,
62,2007,2007-12-29,16,26.338,NYG,,NWE,L 35-38,*,0,0,,0,1.0,,,0,0,0
63,2008,2008-09-07,1,27.226,MIA,,NYJ,L 14-20,,0,0,,0,0.0,1,0,0,0,0
64,2008,2008-09-14,2,27.233,MIA,@,ARI,L 10-31,,0,0,,0,0.0,0,1,0,0,0
65,2008,2008-09-21,3,27.240,MIA,@,NWE,W 38-13,,0,0,,0,0.0,0,0,0,0,0
66,2008,2008-10-05,4,27.254,MIA,,SDG,W 17-10,,0,0,,0,0.0,0,1,0,0,0
67,2008,2008-10-12,5,27.261,MIA,@,HOU,L 28-29,,0,0,,0,0.0,1,2,0,0,0
68,2008,2008-10-19,6,27.268,MIA,,BAL,L 13-27,,0,0,,0,0.0,0,0,0,0,0
69,2008,2008-10-26,7,27.275,MIA,,BUF,W 25-16,,0,0,,0,0.0,0,0,0,0,0
70,2008,2008-11-02,8,27.282,MIA,@,DEN,W 26-17,,0,0,,0,0.0,1,0,0,0,0
71,2008,2008-11-09,9,27.289,MIA,,SEA,W 21-19,,,,,,,,,,,
72,2008,2008-11-16,10,27.296,MIA,,OAK,W 17-15,,,,,,,,,,,
73,2008,2008-11-23,11,27.303,MIA,,NWE,L 28-48,,0,0,,0,0.0,0,0,0,0,0
74,2008,2008-11-30,12,27.310,MIA,@,STL,W 16-12,,,,,,,,,,,
75,2008,2008-12-07,13,27.317,MIA,@,BUF,W 16-3,,0,0,,0,0.5,0,1,0,0,0
76,2008,2008-12-14,14,27.324,MIA,,SFO,W 14-9,,,,,,,,,,,
77,2008,2008-12-21,15,27.331,MIA,@,KAN,W 38-31,*,0,0,,0,0.0,1,0,0,0,0
78,2008,2008-12-28,16,27.338,MIA,@,NYJ,W 24-17,,0,0,,0,0.0,0,0,0,0,0
79,2009,2009-09-13,1,28.231,MIA,@,ATL,L 7-19,,,,,,,,,,,
80,2009,2009-09-21,2,28.239,MIA,,IND,L 23-27,,0,0,,0,0.0,0,0,0,0,0
81,2009,2009-09-27,3,28.245,MIA,@,SDG,L 13-23,,0,0,,0,0.0,0,0,0,0,0
82,2009,2009-10-04,4,28.252,MIA,,BUF,W 38-10,,0,0,,0,0.0,2,0,0,0,0
83,2009,2009-10-12,5,28.260,MIA,,NYJ,W 31-27,,0,0,,0,0.0,0,0,0,0,0
84,2009,2009-10-25,6,28.273,MIA,,NOR,L 34-46,,1,9,9.00,0,0.0,0,0,1,0,0
85,2009,2009-11-01,7,28.280,MIA,@,NYJ,W 30-25,*,0,0,,0,0.0,4,3,0,0,0
86,2009,2009-11-08,8,28.287,MIA,@,NWE,L 17-27,*,0,0,,0,0.0,4,3,0,0,0
87,2009,2009-11-15,9,28.294,MIA,,TAM,W 25-23,,0,0,,0,0.0,0,1,0,0,0
88,2009,2009-11-19,10,28.298,MIA,@,CAR,W 24-17,,0,0,,0,0.0,0,0,0,0,0
89,2009,2009-11-29,11,28.308,MIA,@,BUF,L 14-31,,,,,,,,,,,
90,2009,2009-12-06,12,28.315,MIA,,NWE,W 22-21,,0,0,,0,0.0,0,1,0,0,0
91,2009,2009-12-13,13,28.322,MIA,@,JAX,W 14-10,,0,0,,0,1.0,3,0,0,0,0
92,2009,2009-12-20,14,28.329,MIA,@,TEN,L 24-27,,0,0,,0,0.0,1,0,0,0,0
93,2009,2009-12-27,15,28.336,MIA,,HOU,L 20-27,,0,0,,0,0.0,1,1,0,0,0
94,2009,2010-01-03,16,28.343,MIA,,PIT,L 24-30,,0,0,,0,0.0,5,0,0,0,0
95,2010,2010-09-19,2,29.237,BUF,@,GNB,L 7-34,*,0,0,,0,0.0,0,1,0,0,0
96,2010,2010-09-26,3,29.244,BUF,@,NWE,L 30-38,,0,0,,0,0.0,1,2,0,0,0
97,2010,2010-10-03,4,29.251,BUF,,NYJ,L 14-38,*,0,0,,0,0.0,5,0,0,0,0
98,2010,2010-10-10,5,29.258,BUF,,JAX,L 26-36,,0,0,,0,0.0,0,2,0,0,0
99,2010,2010-10-24,6,29.272,BUF,@,BAL,L 34-37,,0,0,,0,0.0,1,0,0,0,0
100,2010,2010-10-31,7,29.279,BUF,@,KAN,L 10-13,*,0,0,,0,0.0,2,3,0,0,0
101,2010,2010-11-07,8,29.286,BUF,,CHI,L 19-22,*,0,0,,0,0.0,3,3,0,0,0
102,2010,2010-11-14,9,29.293,BUF,,DET,W 14-12,*,0,0,,0,0.0,5,0,0,0,0
103,2010,2010-11-21,10,29.300,BUF,@,CIN,W 49-31,*,0,0,,0,0.0,2,4,0,0,0
104,2010,2010-11-28,11,29.307,BUF,,PIT,L 16-19,*,0,0,,0,0.0,4,3,0,0,0
