ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,22.084,NYJ,@,CLE,L 17-38,,,,,,,,,,
2,1976,1976-09-19,2,22.091,NYJ,@,DEN,L 3-46,,,,,,,,,,
3,1976,1976-09-26,3,22.098,NYJ,@,MIA,L 0-16,,,,,,,,,,
4,1976,1976-10-03,4,22.105,NYJ,@,SFO,L 6-17,0,0,,0,0,0,0.0,1,14,0
5,1976,1976-10-10,5,22.112,NYJ,,BUF,W 17-14,,,,,,,,,,
6,1976,1976-10-18,6,22.120,NYJ,@,NWE,L 7-41,1,26,26.00,0,0,0,0.0,0,0,0
7,1976,1976-10-24,7,22.126,NYJ,,BAL,L 0-20,,,,,,,,,,
8,1976,1976-10-31,8,22.133,NYJ,@,BUF,W 19-14,,,,,,,,,,
9,1976,1976-11-07,9,22.140,NYJ,,MIA,L 7-27,,,,,,,,,,
10,1976,1976-11-14,10,22.147,NYJ,,TAM,W 34-0,,,,,,,,,,
11,1976,1976-11-21,11,22.154,NYJ,,NWE,L 24-38,0,0,,0,0,0,0.0,1,6,0
12,1976,1976-11-28,12,22.161,NYJ,@,BAL,L 16-33,,,,,,,,,,
13,1976,1976-12-05,13,22.168,NYJ,,WAS,L 16-37,,,,,,,,,,
14,1976,1976-12-12,14,22.175,NYJ,,CIN,L 3-42,,,,,,,,,,
15,1977,1977-09-18,1,23.090,NYJ,@,HOU,L 0-20,,,,,,,,,,
16,1977,1977-09-25,2,23.097,NYJ,,BAL,L 12-20,,,,,,,,,,
17,1977,1977-10-02,3,23.104,NYJ,,NWE,W 30-27,0,0,,0,1,6,0.0,1,44,1
18,1977,1977-10-09,4,23.111,NYJ,@,BUF,W 24-19,,,,,,,,,,
19,1977,1977-10-23,6,23.125,NYJ,,OAK,L 27-28,,,,,,,,,,
20,1977,1977-10-30,7,23.132,NYJ,@,NWE,L 13-24,,,,,,,,,,
21,1977,1977-11-06,8,23.139,NYJ,,MIA,L 10-14,,,,,,,,,,
22,1977,1977-11-13,9,23.146,NYJ,,SEA,L 0-17,,,,,,,,,,
23,1977,1977-11-20,10,23.153,NYJ,@,BAL,L 12-33,,,,,,,,,,
24,1977,1977-11-27,11,23.160,NYJ,,PIT,L 20-23,0,0,,0,0,0,0.0,1,10,0
25,1977,1977-12-04,12,23.167,NYJ,@,NOR,W 16-13,,,,,,,,,,
26,1977,1977-12-11,13,23.174,NYJ,,BUF,L 10-14,,,,,,,,,,
27,1977,1977-12-18,14,23.181,NYJ,@,PHI,L 0-27,,,,,,,,,,
