ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2010,2010-11-28,11,22.339,BUF,,PIT,L 16-19,,,,,,,0.0%,,,,,,,,,,,
2,2010,2010-12-05,12,22.346,BUF,@,MIN,L 14-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
3,2010,2010-12-12,13,22.353,BUF,,CLE,W 13-6,,,,,,,0.0%,,,,,,,,,,,
4,2010,2010-12-19,14,22.360,BUF,@,MIA,W 17-14,,3,2,35,17.50,0,66.7%,11.67,0,0,,0,0,0,,0,0,0
5,2010,2010-12-26,15,23.002,BUF,,NWE,L 3-34,,8,4,74,18.50,0,50.0%,9.25,0,0,,0,2,31,15.50,0,0,0
6,2010,2011-01-02,16,23.009,BUF,@,NYJ,L 7-38,*,6,3,30,10.00,0,50.0%,5.00,1,3,3.00,0,0,0,,0,0,0
7,2011,2011-09-25,3,23.275,BUF,,NWE,W 34-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
8,2011,2011-10-02,4,23.282,BUF,@,CIN,L 20-23,,1,1,28,28.00,0,100.0%,28.00,0,0,,0,0,0,,0,0,0
9,2011,2011-10-09,5,23.289,BUF,,PHI,W 31-24,,7,5,41,8.20,0,71.4%,5.86,0,0,,0,0,0,,0,0,0
10,2011,2011-10-16,6,23.296,BUF,@,NYG,L 24-27,,2,1,60,60.00,1,50.0%,30.00,0,0,,0,0,0,,0,1,6
11,2011,2011-10-30,7,23.310,BUF,,WAS,W 23-0,,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,0,0
12,2011,2011-11-06,8,23.317,BUF,,NYJ,L 11-27,,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0
13,2011,2011-11-13,9,23.324,BUF,@,DAL,L 7-44,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,0,0
14,2011,2011-11-20,10,23.331,BUF,@,MIA,L 8-35,,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0
15,2011,2011-12-04,12,23.345,BUF,,TEN,L 17-23,,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,,0,0,0
16,2011,2011-12-11,13,23.352,BUF,@,SDG,L 10-37,,,,,,,0.0%,,,,,,,,,,,
17,2011,2012-01-01,16,24.008,BUF,@,NWE,L 21-49,,6,3,29,9.67,0,50.0%,4.83,0,0,,0,0,0,,0,0,0
