ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1983,1983-10-09,6,23.130,WAS,@,STL,W 38-14,,0,0,,0,0,0,,0,,,,1,13,13.00,0,0,0
2,1983,1983-10-23,8,23.144,WAS,,DET,W 38-17,,0,0,,0,0,0,,0,,,,2,0,0.00,0,0,0
3,1983,1983-11-06,10,23.158,WAS,,STL,W 45-7,,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,0,0,,0,0,0
4,1983,1983-11-20,12,23.172,WAS,@,RAM,W 42-20,,0,0,,0,0,0,,0,,,,1,0,0.00,0,0,0
5,1983,1983-12-04,14,23.186,WAS,,ATL,W 37-21,,0,0,,0,0,0,,0,,,,0,0,,0,,
6,1985,1985-10-06,5,25.127,ATL,,SFO,L 17-38,,11,16,68.75,132,0,0,93.7,2,20,8.25,8.25,2,32,16.00,1,1,6
7,1985,1985-10-27,8,25.148,ATL,@,DAL,L 10-24,,3,4,75.00,26,0,1,52.1,0,0,6.50,-4.75,0,0,,0,0,0
8,1985,1985-11-03,9,25.155,ATL,,WAS,L 10-44,,9,17,52.94,131,1,1,73.4,4,26,7.71,6.24,1,4,4.00,0,0,0
9,1985,1985-11-24,12,25.176,ATL,@,CHI,L 0-36,,1,2,50.00,6,0,0,56.2,2,15,3.00,3.00,0,0,,0,0,0
10,1985,1985-12-08,14,25.190,ATL,@,KAN,L 10-38,,0,0,,0,0,0,,0,,,,0,0,,0,,
