ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2016,2016-11-13,9,24.057,GNB,@,TEN,L 25-47,,0,0,,0,0,0,0,,0,0.0%,
2,2016,2016-11-20,10,24.064,GNB,@,WAS,L 24-42,,0,0,,0,0,0,0,,0,0.0%,
3,2016,2016-11-28,11,24.072,GNB,@,PHI,W 27-13,,0,0,,0,0,0,0,,0,0.0%,
4,2016,2016-12-04,12,24.078,GNB,,HOU,W 21-13,,0,0,,0,0,0,0,,0,0.0%,
5,2016,2016-12-11,13,24.085,GNB,,SEA,W 38-10,,0,0,,0,0,0,0,,0,0.0%,
6,2016,2016-12-18,14,24.092,GNB,@,CHI,W 30-27,,0,0,,0,0,0,0,,0,0.0%,
7,2016,2016-12-24,15,24.098,GNB,,MIN,W 38-25,,0,0,,0,0,0,0,,0,0.0%,
8,2016,2017-01-01,16,24.106,GNB,@,DET,W 31-24,,1,0,0.00,0,0,0,0,,0,0.0%,
9,2017,2017-11-19,10,25.063,GNB,,BAL,L 0-23,,0,0,,0,1,1,3,3.00,0,100.0%,3.00
10,2017,2017-11-26,11,25.070,GNB,@,PIT,L 28-31,,0,0,,0,0,0,0,,0,0.0%,
11,2017,2017-12-03,12,25.077,GNB,,TAM,W 26-20,,0,0,,0,0,0,0,,0,0.0%,
12,2017,2017-12-10,13,25.084,GNB,@,CLE,W 27-21,,0,0,,0,0,0,0,,0,0.0%,
